DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,SUNDARMFIN, EQ,2305.1,2316.0,2316.0,2282.0, 2303.00,2298.45,2299.72,38621,888.17,3152, 32124, 83.18
2023-01-03,SUNDARMFIN, EQ,2298.45,2286.0,2322.0,2286.0, 2300.00,2301.55,2307.71,22597,521.47,2231, 17596, 77.87
2023-01-04,SUNDARMFIN, EQ,2301.55,2313.05,2347.75,2281.5, 2294.50,2296.15,2316.6,23642,547.69,5484, 8047, 34.04
2023-01-05,SUNDARMFIN, EQ,2296.15,2300.35,2410.0,2282.0,2388.35,2387.25,2371.85,81449,1931.85,9484, 47723, 58.59
2023-01-06,SUNDARMFIN, EQ,2387.25,2395.0,2397.0,2315.75,2330.0,2326.75,2349.9,11980,281.52,2584, 3507, 29.27
2023-01-09,SUNDARMFIN, EQ,2326.75,2327.0,2365.5,2292.15,2345.15,2336.5,2328.22,12446,289.77,2994, 5571, 44.76
2023-01-10,SUNDARMFIN, EQ,2336.5,2348.2,2355.1,2315.9,2352.0,2348.6,2341.53,8295,194.23,1880, 4480, 54.01
2023-01-11,SUNDARMFIN, EQ,2348.6,2326.0,2341.6,2290.0, 2300.05,2301.45,2314.74,6369,147.43,1657, 3905, 61.31
2023-01-12,SUNDARMFIN, EQ,2301.45,2305.0,2320.95,2283.15, 2316.90,2302.15,2303.67,10427,240.2,2739, 4851, 46.52
2023-01-13,SUNDARMFIN, EQ,2302.15,2302.0,2329.85,2293.9,2328.6,2321.65,2315.73,6877,159.25,1701, 4126, 60.00
2023-01-16,SUNDARMFIN, EQ,2321.65,2344.0,2344.0,2310.05, 2315.00,2315.1,2316.27,11892,275.45,1914, 7995, 67.23
2023-01-17,SUNDARMFIN, EQ,2315.1,2324.0,2329.95,2305.4,2307.0,2319.65,2318.73,3163,73.34,1042, 1329, 42.02
2023-01-18,SUNDARMFIN, EQ,2319.65,2312.5,2329.0,2276.0,2278.05,2292.85,2300.71,10837,249.33,2247, 5741, 52.98
2023-01-19,SUNDARMFIN, EQ,2292.85,2294.75,2307.75,2261.55, 2262.00,2268.9,2290.12,13770,315.35,2153, 9568, 69.48
