DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,SUNFLAG, EQ,112.25,113.0,124.6,113.0, 123.65,122.95,120.2,2719672,3269.03,22044, 878347, 32.30
2023-01-03,SUNFLAG, EQ,122.95,123.75,123.9,118.55, 121.60,121.0,121.42,1572618,1909.41,10072, 513913, 32.68
2023-01-04,SUNFLAG, EQ,121.0,121.55,121.75,112.75, 113.95,113.6,115.48,1429850,1651.21,11342, 506312, 35.41
2023-01-05,SUNFLAG, EQ,113.6,114.6,116.5,111.55,114.95,115.05,114.0,1053672,1201.23,8174, 217290, 20.62
2023-01-06,SUNFLAG, EQ,115.05,114.6,116.1,112.0,112.55,113.0,113.69,642941,730.96,5190, 200913, 31.25
2023-01-09,SUNFLAG, EQ,113.0,113.85,118.2,113.65,116.0,116.4,116.29,703411,817.96,5815, 255105, 36.27
2023-01-10,SUNFLAG, EQ,116.4,116.5,120.45,115.55,116.4,116.85,118.57,1324893,1570.87,13403, 420667, 31.75
2023-01-11,SUNFLAG, EQ,116.85,117.45,119.2,117.05, 118.20,118.45,118.33,554562,656.21,5715, 147281, 26.56
2023-01-12,SUNFLAG, EQ,118.45,119.1,119.1,115.5, 116.05,116.0,116.72,409480,477.95,4277, 152236, 37.18
2023-01-13,SUNFLAG, EQ,116.0,116.05,131.6,115.75,129.5,129.9,126.59,6294361,7968.1,44954, 1085813, 17.25
2023-01-16,SUNFLAG, EQ,129.9,129.9,135.6,127.95, 134.85,133.35,131.72,3137275,4132.35,22965, 808202, 25.76
2023-01-17,SUNFLAG, EQ,133.35,134.05,139.4,131.5,134.65,135.2,135.64,3277430,4445.36,21493, 552407, 16.85
2023-01-18,SUNFLAG, EQ,135.2,135.25,135.6,131.0,131.5,131.6,132.62,1440350,1910.24,12596, 279754, 19.42
2023-01-19,SUNFLAG, EQ,131.6,131.0,136.4,128.75, 134.20,134.55,133.36,1819128,2426.04,14941, 348347, 19.15
2023-01-20,SUNFLAG, EQ,134.55,135.05,135.95,129.5,131.15,130.85,132.63,950787,1261.01,8439, 282628, 29.73
2023-01-23,SUNFLAG, EQ,130.85,131.5,132.3,128.65,130.0,130.0,130.4,1003012,1307.91,8687, 245549, 24.48
2023-01-24,SUNFLAG, EQ,130.0,130.0,139.8,129.7,139.0,138.0,134.84,2342952,3159.22,20223, 591799, 25.26
2023-01-25,SUNFLAG, EQ,138.0,138.6,146.05,137.65, 140.00,141.1,142.96,4739025,6774.68,34636, 998013, 21.06
2023-01-27,SUNFLAG, EQ,141.1,141.1,142.2,128.5, 132.35,132.8,134.64,1898394,2556.01,18831, 481331, 25.35
2023-01-30,SUNFLAG, EQ,132.8,130.0,134.7,128.1, 128.55,130.85,132.03,1407635,1858.55,15444, 183237, 13.02
2023-01-31,SUNFLAG, EQ,130.85,130.8,137.85,129.05,136.2,136.65,134.11,959654,1287.01,12368, 221734, 23.11
2023-02-01,SUNFLAG, EQ,136.65,137.35,143.5,130.05, 133.70,134.25,138.3,1686843,2332.96,17041, 450979, 26.74
2023-02-02,SUNFLAG, EQ,134.25,134.0,137.9,132.75, 133.50,133.95,134.97,777034,1048.77,8747, 129245, 16.63
2023-02-03,SUNFLAG, EQ,133.95,134.55,136.15,126.05, 132.00,132.15,130.47,1290369,1683.59,15840, 226063, 17.52
2023-02-06,SUNFLAG, EQ,132.15,132.15,134.8,129.8, 133.50,132.1,132.23,483143,638.88,6244, 116648, 24.14
2023-02-07,SUNFLAG, EQ,132.1,132.8,134.2,124.3, 125.00,125.7,128.59,820853,1055.53,8781, 351149, 42.78
2023-02-08,SUNFLAG, EQ,125.7,126.35,139.2,125.75, 134.40,133.9,134.17,2323485,3117.35,20779, 451336, 19.42
2023-02-09,SUNFLAG, EQ,133.9,134.5,149.0,132.25, 147.95,147.95,143.11,4272048,6113.71,36453, 927362, 21.71
2023-02-10,SUNFLAG, EQ,147.95,147.4,148.7,141.45, 143.10,143.35,144.39,1575489,2274.81,14508, 370002, 23.48
2023-02-13,SUNFLAG, EQ,143.35,142.6,143.8,138.0,139.35,139.3,140.27,635787,891.85,5990, 182629, 28.72
2023-02-14,SUNFLAG, EQ,139.3,139.8,142.85,136.0,138.95,140.3,139.37,809770,1128.58,9219, 190436, 23.52
2023-02-15,SUNFLAG, EQ,140.3,139.3,141.8,137.5, 138.85,139.05,139.4,591624,824.72,7312, 129530, 21.89
2023-02-16,SUNFLAG, EQ,139.05,139.35,144.0,138.1, 140.35,140.65,140.45,933303,1310.78,9070, 191032, 20.47
2023-02-17,SUNFLAG, EQ,140.65,140.5,144.4,138.9, 143.00,143.35,142.15,774872,1101.51,7854, 227990, 29.42
2023-02-20,SUNFLAG, EQ,143.35,143.8,151.0,138.65, 139.00,140.35,146.55,2332669,3418.48,22871, 508342, 21.79
2023-02-21,SUNFLAG, EQ,140.35,141.1,144.35,138.15, 143.20,143.1,141.35,1019425,1440.97,11515, 247408, 24.27
2023-02-22,SUNFLAG, EQ,143.1,143.2,143.85,137.55, 138.80,138.55,139.9,541003,756.85,6408, 189473, 35.02
2023-02-23,SUNFLAG, EQ,138.55,139.2,142.5,137.7,140.7,140.05,139.67,517790,723.19,6275, 132996, 25.69
2023-02-24,SUNFLAG, EQ,140.05,141.05,142.0,137.15, 137.60,139.15,139.43,433778,604.83,6152, 96606, 22.27
