DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,SUPREMEENG, EQ,1.25,1.25,1.25,1.2, 1.25,1.25,1.24,643350,7.95,289, 438020, 68.08
2023-01-03,SUPREMEENG, EQ,1.25,1.3,1.3,1.2, 1.30,1.25,1.26,391449,4.94,333, 333533, 85.20
2023-01-04,SUPREMEENG, EQ,1.25,1.25,1.3,1.25, 1.30,1.3,1.29,756567,9.72,289, 357935, 47.31
2023-01-05,SUPREMEENG, EQ,1.3,1.3,1.3,1.2,1.3,1.25,1.25,763606,9.57,332, 563551, 73.80
2023-01-06,SUPREMEENG, EQ,1.25,1.3,1.3,1.25,1.3,1.25,1.28,317359,4.07,227, 232523, 73.27
2023-01-09,SUPREMEENG, EQ,1.25,1.3,1.3,1.2,1.3,1.3,1.25,668900,8.38,317, 354689, 53.03
2023-01-10,SUPREMEENG, EQ,1.3,1.3,1.3,1.2,1.3,1.3,1.28,301984,3.87,209, 167545, 55.48
2023-01-11,SUPREMEENG, EQ,1.3,1.25,1.3,1.2, 1.25,1.25,1.25,431566,5.42,270, 282193, 65.39
2023-01-12,SUPREMEENG, EQ,1.25,1.25,1.3,1.2, 1.25,1.25,1.23,116345,1.43,186, 111921, 96.20
2023-01-13,SUPREMEENG, EQ,1.25,1.25,1.3,1.2,1.25,1.25,1.24,474634,5.87,176, 261053, 55.00
2023-01-16,SUPREMEENG, EQ,1.25,1.25,1.25,1.2, 1.25,1.2,1.21,454584,5.5,206, 429463, 94.47
2023-01-17,SUPREMEENG, EQ,1.2,1.2,1.25,1.15,1.25,1.2,1.2,503407,6.05,263, 381966, 75.88
2023-01-18,SUPREMEENG, EQ,1.2,1.2,1.25,1.2,1.2,1.2,1.22,143124,1.75,224, 136603, 95.44
2023-01-19,SUPREMEENG, EQ,1.2,1.2,1.25,1.15, 1.25,1.25,1.23,249625,3.08,192, 191110, 76.56
2023-01-20,SUPREMEENG, EQ,1.25,1.25,1.25,1.2,1.25,1.25,1.22,219320,2.68,149, 138622, 63.21
2023-01-23,SUPREMEENG, EQ,1.25,1.25,1.25,1.2,1.25,1.25,1.22,211870,2.57,139, 159531, 75.30
2023-01-24,SUPREMEENG, EQ,1.25,1.25,1.25,1.15,1.25,1.2,1.21,597607,7.21,333, 424046, 70.96
2023-01-25,SUPREMEENG, EQ,1.2,1.15,1.25,1.15, 1.25,1.2,1.18,284819,3.35,165, 211841, 74.38
2023-01-27,SUPREMEENG, EQ,1.2,1.2,1.25,1.1, 1.15,1.1,1.15,839234,9.62,418, 786620, 93.73
2023-01-30,SUPREMEENG, EQ,1.1,1.15,1.15,1.1, 1.15,1.15,1.13,221375,2.51,218, 219734, 99.26
2023-01-31,SUPREMEENG, EQ,1.15,1.2,1.2,1.1,1.2,1.15,1.15,270092,3.1,210, 206740, 76.54
2023-02-01,SUPREMEENG, EQ,1.15,1.2,1.2,1.15, 1.15,1.15,1.17,452676,5.29,201, 269519, 59.54
2023-02-02,SUPREMEENG, EQ,1.15,1.15,1.2,1.15, 1.20,1.15,1.17,201925,2.36,144, 107896, 53.43
2023-02-03,SUPREMEENG, EQ,1.15,1.15,1.2,1.15, 1.15,1.15,1.17,196689,2.3,200, 123522, 62.80
2023-02-06,SUPREMEENG, EQ,1.15,1.2,1.2,1.15, 1.20,1.2,1.19,296349,3.51,174, 288303, 97.28
2023-02-07,SUPREMEENG, EQ,1.2,1.2,1.2,1.15, 1.20,1.15,1.17,335278,3.92,210, 222002, 66.21
2023-02-08,SUPREMEENG, EQ,1.15,1.2,1.2,1.1, 1.15,1.15,1.15,328017,3.79,260, 286534, 87.35
2023-02-09,SUPREMEENG, EQ,1.15,1.15,1.15,1.0, 1.15,1.15,1.08,2195352,23.66,528, 1675428, 76.32
2023-02-10,SUPREMEENG, EQ,1.15,1.15,1.15,1.1, 1.10,1.15,1.12,160311,1.8,134, 87257, 54.43
2023-02-13,SUPREMEENG, EQ,1.15,1.15,1.15,1.1,1.15,1.1,1.12,232688,2.6,181, 160171, 68.84
2023-02-14,SUPREMEENG, EQ,1.1,1.1,1.15,1.05,1.15,1.1,1.11,249306,2.76,239, 177708, 71.28
2023-02-15,SUPREMEENG, EQ,1.1,1.1,1.15,1.05, 1.10,1.1,1.07,383039,4.1,190, 371643, 97.02
2023-02-16,SUPREMEENG, EQ,1.1,1.05,1.15,1.05, 1.10,1.1,1.09,962393,10.51,277, 776379, 80.67
2023-02-17,SUPREMEENG, EQ,1.1,1.05,1.15,1.05, 1.10,1.1,1.08,359623,3.9,176, 289542, 80.51
2023-02-20,SUPREMEENG, EQ,1.1,1.1,1.1,1.05, 1.10,1.05,1.08,158658,1.71,188, 91285, 57.54
2023-02-21,SUPREMEENG, EQ,1.05,1.05,1.1,1.0, 1.05,1.05,1.04,657217,6.84,321, 567987, 86.42
2023-02-22,SUPREMEENG, EQ,1.05,1.05,1.05,1.0, 1.05,1.0,1.02,386162,3.95,227, 285149, 73.84
2023-02-23,SUPREMEENG, EQ,1.0,1.0,1.05,1.0,1.05,1.05,1.01,309489,3.13,193, 248655, 80.34
2023-02-24,SUPREMEENG, EQ,1.05,1.05,1.05,0.95, 1.00,1.0,0.99,819133,8.09,468, 504904, 61.64
