DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,SUTLEJTEX, EQ,61.95,62.45,62.5,60.95, 62.50,62.2,61.81,42485,26.26,712, 23864, 56.17
2023-01-03,SUTLEJTEX, EQ,62.2,62.65,63.6,61.7, 62.40,62.0,62.69,61610,38.62,594, 32944, 53.47
2023-01-04,SUTLEJTEX, EQ,62.0,64.15,64.15,61.75, 62.45,62.4,62.54,54542,34.11,739, 27082, 49.65
2023-01-05,SUTLEJTEX, EQ,62.4,62.45,65.0,61.35,64.0,63.95,63.71,209765,133.64,2418, 92563, 44.13
2023-01-06,SUTLEJTEX, EQ,63.95,64.0,64.2,61.1,61.4,61.7,62.3,91406,56.95,1714, 52450, 57.38
2023-01-09,SUTLEJTEX, EQ,61.7,62.8,62.95,60.6,60.6,60.9,61.7,80353,49.58,920, 46747, 58.18
2023-01-10,SUTLEJTEX, EQ,60.9,61.05,63.35,60.75,62.5,61.9,61.76,161756,99.89,1778, 64789, 40.05
2023-01-11,SUTLEJTEX, EQ,61.9,61.75,64.2,61.75, 63.25,63.25,63.31,129320,81.87,1486, 68104, 52.66
2023-01-12,SUTLEJTEX, EQ,63.25,63.25,64.8,62.8, 63.25,63.45,63.67,76821,48.92,1124, 31936, 41.57
2023-01-13,SUTLEJTEX, EQ,63.45,64.6,64.6,62.15,62.45,62.45,63.08,30730,19.38,587, 18659, 60.72
2023-01-16,SUTLEJTEX, EQ,62.45,63.25,63.35,61.65, 62.25,61.95,62.11,49377,30.67,550, 31896, 64.60
2023-01-17,SUTLEJTEX, EQ,61.95,62.35,62.75,61.55,61.65,62.05,62.09,30988,19.24,906, 15741, 50.80
2023-01-18,SUTLEJTEX, EQ,62.05,61.7,64.9,61.7,63.8,64.15,64.1,274857,176.18,1733, 123999, 45.11
2023-01-19,SUTLEJTEX, EQ,64.15,64.1,64.2,62.85, 63.10,63.0,63.42,44174,28.01,675, 26311, 59.56
2023-01-20,SUTLEJTEX, EQ,63.0,63.0,63.55,62.0,62.15,62.15,62.55,48816,30.54,548, 30207, 61.88
2023-01-23,SUTLEJTEX, EQ,62.15,62.35,62.4,61.0,61.25,61.1,61.49,64469,39.64,743, 39760, 61.67
2023-01-24,SUTLEJTEX, EQ,61.1,61.1,61.75,60.9,61.15,61.25,61.21,36836,22.55,545, 20049, 54.43
