DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,SUVIDHAA, EQ,5.1,5.4,5.4,5.1, 5.30,5.25,5.21,128535,6.7,240, 83506, 64.97
2023-01-03,SUVIDHAA, EQ,5.25,5.35,5.35,5.1, 5.15,5.15,5.16,138900,7.16,197, 127802, 92.01
2023-01-04,SUVIDHAA, EQ,5.15,5.25,5.25,5.0, 5.20,5.15,5.12,86938,4.45,217, 64220, 73.87
2023-01-05,SUVIDHAA, EQ,5.15,5.15,5.25,5.05,5.15,5.1,5.12,54852,2.81,173, 37160, 67.75
2023-01-06,SUVIDHAA, EQ,5.1,5.2,5.2,5.05,5.15,5.1,5.11,51544,2.63,161, 31830, 61.75
2023-01-09,SUVIDHAA, EQ,5.1,5.05,5.2,5.0,5.15,5.1,5.09,43547,2.22,155, 32385, 74.37
2023-01-10,SUVIDHAA, EQ,5.1,5.1,5.1,4.95,5.0,5.05,5.02,116969,5.87,297, 85695, 73.26
2023-01-11,SUVIDHAA, EQ,5.05,5.2,5.2,4.8, 5.15,5.1,5.01,108120,5.42,275, 42815, 39.60
2023-01-12,SUVIDHAA, EQ,5.1,5.1,5.1,4.85, 5.10,5.05,4.98,120023,5.98,280, 70860, 59.04
2023-01-13,SUVIDHAA, EQ,5.05,5.15,5.15,5.0,5.0,5.05,5.06,42087,2.13,124, 27141, 64.49
2023-01-16,SUVIDHAA, EQ,5.05,5.3,5.3,5.05, 5.05,5.05,5.1,48343,2.47,113, 37335, 77.23
2023-01-17,SUVIDHAA, EQ,5.05,5.3,5.3,5.0,5.05,5.0,5.02,54734,2.75,177, 49249, 89.98
2023-01-18,SUVIDHAA, EQ,5.0,5.1,5.1,5.0,5.0,5.0,5.01,56850,2.85,173, 37457, 65.89
2023-01-19,SUVIDHAA, EQ,5.0,5.05,5.15,5.0, 5.10,5.05,5.04,74611,3.76,175, 56597, 75.86
2023-01-20,SUVIDHAA, EQ,5.05,5.05,5.15,5.0,5.0,5.0,5.03,43016,2.16,186, 33806, 78.59
2023-01-23,SUVIDHAA, EQ,5.0,5.1,5.1,4.95,5.0,4.95,5.01,97283,4.87,277, 90030, 92.54
2023-01-24,SUVIDHAA, EQ,4.95,5.1,5.1,4.8,4.95,5.0,4.97,60021,2.98,249, 25392, 42.31
2023-01-25,SUVIDHAA, EQ,5.0,5.1,5.1,4.7, 4.95,4.9,4.87,85811,4.18,278, 54707, 63.75
2023-01-27,SUVIDHAA, EQ,4.9,4.9,4.95,4.6, 4.70,4.75,4.75,149860,7.12,2489, 115247, 76.90
2023-01-30,SUVIDHAA, EQ,4.75,4.75,4.9,4.7, 4.70,4.7,4.77,53942,2.57,379, 46440, 86.09
