DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,SWARAJENG, EQ,1554.4,1562.15,1583.9,1559.0, 1576.50,1572.2,1570.86,4025,63.23,607, 2512, 62.41
2023-01-03,SWARAJENG, EQ,1572.2,1580.0,1594.75,1580.0, 1591.00,1587.7,1589.25,2381,37.84,507, 1336, 56.11
2023-01-04,SWARAJENG, EQ,1587.7,1594.95,1594.95,1563.15, 1569.00,1574.0,1573.23,2794,43.96,674, 1503, 53.79
2023-01-05,SWARAJENG, EQ,1574.0,1580.7,1588.4,1567.35,1576.1,1578.2,1579.32,3891,61.45,780, 2573, 66.13
2023-01-06,SWARAJENG, EQ,1578.2,1586.1,1589.35,1572.95,1583.2,1584.5,1584.03,2105,33.34,578, 1056, 50.17
2023-01-09,SWARAJENG, EQ,1584.5,1592.45,1598.85,1578.25,1594.8,1592.05,1591.9,3080,49.03,856, 1650, 53.57
2023-01-10,SWARAJENG, EQ,1592.05,1581.35,1624.0,1580.0,1617.65,1616.35,1606.29,8651,138.96,1250, 6823, 78.87
2023-01-11,SWARAJENG, EQ,1616.35,1622.4,1628.85,1607.5, 1620.00,1617.65,1619.08,3693,59.79,841, 2141, 57.97
2023-01-12,SWARAJENG, EQ,1617.65,1608.0,1625.75,1602.0, 1617.20,1614.75,1616.12,2357,38.09,518, 1323, 56.13
2023-01-13,SWARAJENG, EQ,1614.75,1619.0,1640.0,1613.8,1639.0,1635.5,1629.01,3737,60.88,511, 2543, 68.05
2023-01-16,SWARAJENG, EQ,1635.5,1642.5,1642.5,1604.95, 1614.50,1613.35,1622.28,2131,34.57,472, 1260, 59.13
2023-01-17,SWARAJENG, EQ,1613.35,1620.0,1628.65,1616.0,1625.0,1622.15,1620.56,2074,33.61,372, 1281, 61.76
2023-01-18,SWARAJENG, EQ,1622.15,1622.95,1640.0,1620.1,1621.0,1634.85,1631.71,3650,59.56,449, 3082, 84.44
2023-01-19,SWARAJENG, EQ,1634.85,1612.0,1640.0,1612.0, 1630.00,1632.45,1631.18,1449,23.64,362, 768, 53.00
2023-01-20,SWARAJENG, EQ,1632.45,1632.45,1635.0,1618.55,1621.0,1621.5,1622.33,2461,39.93,346, 1741, 70.74
2023-01-23,SWARAJENG, EQ,1621.5,1629.65,1634.95,1611.3,1623.1,1622.9,1622.5,2757,44.73,607, 1883, 68.30
2023-01-24,SWARAJENG, EQ,1622.9,1630.9,1635.0,1619.55,1635.0,1629.55,1625.91,1978,32.16,369, 1175, 59.40
2023-01-25,SWARAJENG, EQ,1629.55,1640.0,1645.0,1563.2, 1577.40,1571.15,1601.02,12387,198.32,2148, 4079, 32.93
2023-01-27,SWARAJENG, EQ,1571.15,1571.15,1609.95,1538.05, 1560.00,1579.1,1573.18,15261,240.08,2512, 9417, 61.71
2023-01-30,SWARAJENG, EQ,1579.1,1579.1,1599.5,1567.55, 1594.40,1591.1,1587.82,2853,45.3,1158, 1434, 50.26
2023-01-31,SWARAJENG, EQ,1591.1,1599.1,1663.85,1579.55,1663.0,1659.75,1636.1,11654,190.67,1976, 8708, 74.72
2023-02-01,SWARAJENG, EQ,1659.75,1670.0,1671.0,1602.0, 1618.70,1637.25,1640.21,8803,144.39,2274, 5049, 57.36
2023-02-02,SWARAJENG, EQ,1637.25,1624.0,1689.05,1610.05, 1676.20,1683.55,1658.17,11259,186.69,3172, 5703, 50.65
2023-02-03,SWARAJENG, EQ,1683.55,1683.0,1692.0,1642.55, 1664.85,1659.95,1659.58,4934,81.88,1351, 2571, 52.11
2023-02-06,SWARAJENG, EQ,1659.95,1665.0,1691.0,1660.0, 1665.00,1661.95,1669.31,5902,98.52,1019, 3305, 56.00
2023-02-07,SWARAJENG, EQ,1661.95,1670.0,1670.0,1621.0, 1621.25,1628.15,1651.62,4611,76.16,1028, 2653, 57.54
2023-02-08,SWARAJENG, EQ,1628.15,1625.75,1627.45,1601.0, 1606.00,1608.4,1614.3,2465,39.79,441, 1656, 67.18
2023-02-09,SWARAJENG, EQ,1608.4,1601.1,1621.4,1586.1, 1587.00,1590.9,1600.96,3164,50.65,558, 2339, 73.93
2023-02-10,SWARAJENG, EQ,1590.9,1581.0,1598.2,1571.6, 1574.50,1578.2,1583.38,3207,50.78,651, 2349, 73.25
2023-02-13,SWARAJENG, EQ,1578.2,1586.1,1586.2,1563.7,1563.7,1568.25,1572.95,3549,55.82,600, 2594, 73.09
2023-02-14,SWARAJENG, EQ,1568.25,1570.1,1578.95,1554.05,1578.95,1570.35,1566.59,3562,55.8,459, 2231, 62.63
2023-02-15,SWARAJENG, EQ,1570.35,1561.0,1599.95,1560.4, 1599.95,1591.45,1586.29,3115,49.41,630, 1705, 54.74
2023-02-16,SWARAJENG, EQ,1591.45,1599.45,1599.45,1581.45, 1582.00,1587.7,1589.94,1978,31.45,541, 971, 49.09
2023-02-17,SWARAJENG, EQ,1587.7,1570.4,1596.0,1570.4, 1592.00,1591.1,1590.48,1615,25.69,275, 1210, 74.92
2023-02-20,SWARAJENG, EQ,1591.1,1592.0,1607.45,1578.1, 1585.00,1587.55,1593.56,2583,41.16,664, 1483, 57.41
2023-02-21,SWARAJENG, EQ,1587.55,1587.2,1587.2,1570.0, 1570.10,1571.4,1573.17,2986,46.97,671, 2168, 72.61
2023-02-22,SWARAJENG, EQ,1571.4,1579.3,1587.0,1560.0, 1586.70,1580.15,1567.82,2965,46.49,571, 1922, 64.82
2023-02-23,SWARAJENG, EQ,1580.15,1588.1,1595.0,1566.25,1570.0,1571.0,1574.45,1638,25.79,362, 1051, 64.16
2023-02-24,SWARAJENG, EQ,1571.0,1578.9,1580.55,1565.65, 1566.00,1567.7,1570.68,1566,24.6,326, 1216, 77.65
2023-02-27,SWARAJENG, EQ,1567.7,1561.4,1589.9,1552.6, 1556.40,1559.25,1566.99,4998,78.32,751, 3319, 66.41
2023-02-28,SWARAJENG, EQ,1559.25,1560.1,1570.0,1515.35, 1525.00,1531.2,1534.11,8002,122.76,1771, 4498, 56.21
2023-03-01,SWARAJENG, EQ,1531.2,1538.9,1565.0,1523.95, 1562.00,1563.2,1555.36,1444,22.46,298, 884, 61.22
