DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,TCPLPACK, EQ,1526.45,1532.75,1595.0,1521.0, 1536.00,1536.2,1546.18,14716,227.54,4316, 4898, 33.28
2023-01-03,TCPLPACK, EQ,1536.2,1552.95,1588.1,1501.0, 1514.00,1510.85,1529.14,15585,238.32,3454, 5542, 35.56
2023-01-04,TCPLPACK, EQ,1510.85,1518.0,1541.0,1490.0, 1510.15,1502.7,1506.53,11787,177.57,3447, 4194, 35.58
2023-01-05,TCPLPACK, EQ,1502.7,1523.45,1527.0,1477.05,1510.0,1494.6,1496.9,12081,180.84,3259, 5266, 43.59
2023-01-06,TCPLPACK, EQ,1494.6,1511.0,1511.0,1431.4,1438.95,1443.75,1465.07,19616,287.39,4555, 10466, 53.35
2023-01-09,TCPLPACK, EQ,1443.75,1469.9,1469.9,1430.0,1432.0,1433.5,1447.83,10430,151.01,3206, 4132, 39.62
2023-01-10,TCPLPACK, EQ,1433.5,1436.0,1445.8,1405.55,1420.5,1429.3,1422.92,7391,105.17,1763, 4015, 54.32
2023-01-11,TCPLPACK, EQ,1429.3,1420.0,1432.0,1353.3, 1363.00,1383.45,1401.06,15559,217.99,2592, 10214, 65.65
2023-01-12,TCPLPACK, EQ,1383.45,1370.0,1388.55,1353.0, 1367.00,1372.1,1367.29,16017,219.0,4010, 7739, 48.32
2023-01-13,TCPLPACK, EQ,1372.1,1373.75,1450.0,1371.2,1426.0,1430.0,1403.78,29695,416.85,6854, 10915, 36.76
2023-01-16,TCPLPACK, EQ,1430.0,1450.0,1458.6,1401.0, 1415.00,1409.1,1418.11,8783,124.55,2399, 5034, 57.32
2023-01-17,TCPLPACK, EQ,1409.1,1414.5,1417.45,1365.0,1373.75,1373.45,1385.22,12909,178.82,2565, 8326, 64.50
2023-01-18,TCPLPACK, EQ,1373.45,1371.65,1400.0,1361.25,1392.1,1393.65,1384.37,7267,100.6,1988, 4060, 55.87
2023-01-19,TCPLPACK, EQ,1393.65,1393.65,1398.0,1366.0, 1375.00,1372.9,1380.64,5528,76.32,1547, 2677, 48.43
2023-01-20,TCPLPACK, EQ,1372.9,1389.8,1389.8,1355.0,1365.5,1360.25,1363.28,12529,170.8,2655, 7591, 60.59
2023-01-23,TCPLPACK, EQ,1360.25,1387.8,1387.8,1361.6,1375.0,1380.5,1371.66,9372,128.55,1537, 6788, 72.43
2023-01-24,TCPLPACK, EQ,1380.5,1390.0,1400.0,1363.0,1368.0,1372.05,1375.96,12860,176.95,1624, 8675, 67.46
2023-01-25,TCPLPACK, EQ,1372.05,1379.75,1389.95,1315.0, 1369.00,1330.9,1346.52,22081,297.32,2332, 15730, 71.24
2023-01-27,TCPLPACK, EQ,1330.9,1340.0,1374.95,1296.0, 1309.40,1309.6,1313.19,27215,357.39,4339, 9212, 33.85
2023-01-30,TCPLPACK, EQ,1309.6,1308.95,1327.95,1278.0, 1278.00,1291.55,1303.24,9213,120.07,1913, 4796, 52.06
2023-01-31,TCPLPACK, EQ,1291.55,1290.0,1336.5,1272.55,1324.0,1330.6,1304.64,11773,153.6,2113, 6437, 54.68
2023-02-01,TCPLPACK, EQ,1330.6,1328.0,1350.0,1278.0, 1295.00,1307.2,1316.91,15238,200.67,2864, 7020, 46.07
2023-02-02,TCPLPACK, EQ,1307.2,1279.1,1345.0,1279.1, 1340.00,1330.25,1322.42,8211,108.58,2074, 3539, 43.10
2023-02-03,TCPLPACK, EQ,1330.25,1345.0,1360.0,1330.0, 1360.00,1343.8,1341.66,8241,110.57,2054, 4395, 53.33
2023-02-06,TCPLPACK, EQ,1343.8,1343.5,1410.0,1340.2, 1410.00,1384.4,1366.58,11915,162.83,2435, 5395, 45.28
2023-02-07,TCPLPACK, EQ,1384.4,1467.9,1475.0,1395.85, 1423.00,1433.15,1435.96,39107,561.56,5643, 18586, 47.53
2023-02-08,TCPLPACK, EQ,1433.15,1427.9,1445.0,1407.05, 1424.90,1415.0,1425.44,10204,145.45,2203, 5088, 49.86
2023-02-09,TCPLPACK, EQ,1415.0,1430.0,1430.0,1361.05, 1367.00,1365.85,1380.02,15666,216.19,2342, 9264, 59.13
2023-02-10,TCPLPACK, EQ,1365.85,1380.0,1435.0,1371.05, 1425.00,1412.15,1414.11,15874,224.48,3030, 7080, 44.60
2023-02-13,TCPLPACK, EQ,1412.15,1449.0,1480.0,1441.65,1468.0,1462.6,1462.22,17593,257.25,2637, 9877, 56.14
2023-02-14,TCPLPACK, EQ,1462.6,1460.0,1475.9,1392.55,1406.0,1407.8,1442.08,16230,234.05,2838, 8480, 52.25
2023-02-15,TCPLPACK, EQ,1407.8,1383.55,1428.45,1383.55, 1411.00,1414.65,1409.88,4379,61.74,1313, 1297, 29.62
2023-02-16,TCPLPACK, EQ,1414.65,1415.0,1439.9,1391.15, 1397.50,1403.2,1409.38,6949,97.94,1617, 3207, 46.15
2023-02-17,TCPLPACK, EQ,1403.2,1397.95,1405.25,1366.0, 1380.00,1374.95,1385.59,5092,70.55,1153, 2841, 55.79
2023-02-20,TCPLPACK, EQ,1374.95,1372.0,1399.0,1370.1, 1371.30,1373.5,1379.91,3676,50.73,956, 1852, 50.38
2023-02-21,TCPLPACK, EQ,1373.5,1370.0,1396.4,1350.0, 1353.00,1355.35,1370.97,5482,75.16,1372, 2802, 51.11
2023-02-22,TCPLPACK, EQ,1355.35,1354.95,1380.0,1312.1, 1380.00,1332.55,1333.67,7825,104.36,1486, 4494, 57.43
2023-02-23,TCPLPACK, EQ,1332.55,1349.95,1377.0,1345.2,1377.0,1374.1,1365.12,3936,53.73,836, 1797, 45.66
2023-02-24,TCPLPACK, EQ,1374.1,1374.1,1417.0,1336.0, 1343.00,1342.5,1359.46,3058,41.57,841, 1684, 55.07
2023-02-27,TCPLPACK, EQ,1342.5,1336.0,1349.4,1305.0, 1317.90,1315.85,1321.03,5823,76.92,1405, 2693, 46.25
2023-02-28,TCPLPACK, EQ,1315.85,1323.9,1339.0,1297.8, 1302.00,1324.75,1316.2,5695,74.96,1794, 2427, 42.62
2023-03-01,TCPLPACK, EQ,1324.75,1310.0,1347.0,1310.0, 1325.00,1320.45,1322.57,4454,58.91,1015, 2768, 62.15
2023-03-02,TCPLPACK, EQ,1320.45,1326.9,1335.0,1275.0, 1280.10,1285.75,1296.52,11801,153.0,1745, 7883, 66.80
2023-03-03,TCPLPACK, EQ,1285.75,1280.0,1313.0,1260.05, 1302.20,1303.55,1284.23,17551,225.4,3226, 8459, 48.20
2023-03-06,TCPLPACK, EQ,1303.55,1303.55,1329.95,1285.0, 1298.00,1295.15,1304.37,6102,79.59,1493, 3214, 52.67
2023-03-08,TCPLPACK, EQ,1295.15,1276.0,1327.95,1275.0, 1327.00,1317.35,1294.86,10101,130.79,1749, 5563, 55.07
2023-03-09,TCPLPACK, EQ,1317.35,1321.55,1350.0,1310.05, 1345.00,1336.9,1330.76,9607,127.85,1620, 4618, 48.07
2023-03-10,TCPLPACK, EQ,1336.9,1338.8,1348.35,1303.1, 1310.00,1317.15,1318.95,5338,70.41,1335, 2176, 40.76
