DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,TCS, EQ,3256.7,3261.0,3266.85,3235.2, 3263.00,3261.45,3254.07,709547,23089.12,51003, 331817, 46.76
2023-01-03,TCS, EQ,3261.45,3252.0,3320.0,3245.3, 3312.00,3311.35,3300.29,1245178,41094.52,78401, 667103, 53.57
2023-01-04,TCS, EQ,3311.35,3306.7,3327.35,3286.2, 3313.10,3314.65,3306.45,1231668,40724.43,76844, 778260, 63.19
2023-01-05,TCS, EQ,3314.65,3330.2,3337.3,3281.95,3302.65,3311.1,3311.44,1826057,60468.83,128658, 1202559, 65.86
2023-01-06,TCS, EQ,3311.1,3300.0,3301.55,3200.0,3213.9,3211.55,3239.59,2488376,80613.09,177937, 1584546, 63.68
2023-01-09,TCS, EQ,3211.55,3229.0,3327.0,3221.15,3309.0,3319.95,3300.31,2885060,95216.06,173806, 1472534, 51.04
2023-01-10,TCS, EQ,3319.95,3285.0,3298.0,3230.1,3283.0,3286.4,3259.17,3864655,125955.77,236636, 1741399, 45.06
2023-01-11,TCS, EQ,3286.4,3290.1,3349.5,3271.15, 3328.00,3328.7,3324.66,2720512,90447.71,144583, 1305512, 47.99
2023-01-12,TCS, EQ,3328.7,3329.0,3350.0,3315.55, 3337.55,3334.35,3334.26,2250391,75033.81,179303, 1525003, 67.77
2023-01-13,TCS, EQ,3334.35,3342.9,3379.0,3305.0,3373.25,3374.55,3352.96,1742837,58436.64,107218, 870219, 49.93
2023-01-16,TCS, EQ,3374.55,3317.0,3353.0,3298.05, 3335.00,3334.05,3329.16,1843607,61376.69,134180, 901765, 48.91
2023-01-17,TCS, EQ,3334.05,3330.0,3381.8,3321.0,3380.9,3378.4,3363.96,1688475,56799.62,110473, 1114320, 66.00
2023-01-18,TCS, EQ,3378.4,3380.0,3408.95,3372.25,3391.0,3390.0,3395.06,2421189,82200.94,121397, 1836244, 75.84
2023-01-19,TCS, EQ,3390.0,3380.0,3387.0,3361.0, 3370.00,3373.1,3375.44,1585044,53502.23,97108, 1136996, 71.73
2023-01-20,TCS, EQ,3373.1,3365.0,3394.65,3355.6,3370.0,3363.1,3374.73,1529349,51611.34,89365, 1142015, 74.67
2023-01-23,TCS, EQ,3363.1,3388.0,3419.0,3355.6,3409.25,3414.9,3393.67,1067916,36241.52,77981, 556602, 52.12
2023-01-24,TCS, EQ,3414.9,3425.0,3451.95,3417.3,3432.1,3436.3,3434.72,1387863,47669.26,100270, 839699, 60.50
2023-01-25,TCS, EQ,3436.3,3425.3,3435.0,3405.0, 3432.10,3429.75,3423.45,874110,29924.7,73515, 496771, 56.83
2023-01-27,TCS, EQ,3429.75,3426.0,3446.0,3382.3, 3410.00,3411.05,3415.95,1785879,61004.67,138824, 1136348, 63.63
2023-01-30,TCS, EQ,3411.05,3420.0,3458.45,3385.55, 3432.00,3433.65,3423.78,1953798,66893.84,154180, 1262724, 64.63
2023-01-31,TCS, EQ,3433.65,3449.0,3449.0,3351.0,3358.5,3358.7,3371.06,2820375,95076.42,184017, 1914024, 67.86
2023-02-01,TCS, EQ,3358.7,3363.0,3419.0,3355.0, 3398.00,3408.35,3383.69,2205161,74615.81,133318, 1384239, 62.77
2023-02-02,TCS, EQ,3408.35,3427.0,3469.0,3420.1, 3461.00,3460.4,3449.08,1813847,62561.04,144428, 1063804, 58.65
2023-02-03,TCS, EQ,3460.4,3504.0,3504.0,3452.9, 3475.00,3482.3,3483.2,1804469,62853.35,177332, 1093996, 60.63
2023-02-06,TCS, EQ,3482.3,3473.15,3473.15,3436.85, 3464.90,3459.95,3457.05,1138714,39365.97,104578, 717114, 62.98
2023-02-07,TCS, EQ,3459.95,3468.9,3493.0,3461.4, 3467.00,3472.55,3478.55,1455647,50635.44,76997, 917470, 63.03
2023-02-08,TCS, EQ,3472.55,3478.05,3539.9,3478.05, 3520.00,3520.1,3525.1,1986946,70041.8,131473, 1144916, 57.62
2023-02-09,TCS, EQ,3520.1,3515.0,3547.6,3505.3, 3543.95,3540.85,3534.02,1655427,58503.14,109544, 1124204, 67.91
2023-02-10,TCS, EQ,3540.85,3520.0,3542.35,3508.15, 3528.15,3537.55,3530.08,1187821,41931.01,84631, 832143, 70.06
