DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,TERASOFT, EQ,44.9,44.0,44.9,43.5, 44.20,44.2,44.29,8976,3.98,172, 5723, 63.76
2023-01-03,TERASOFT, EQ,44.2,45.05,45.35,44.05, 44.50,44.4,44.74,14832,6.64,235, 4676, 31.53
2023-01-04,TERASOFT, EQ,44.4,45.1,45.1,43.6, 43.60,44.05,44.32,11145,4.94,151, 5699, 51.14
2023-01-05,TERASOFT, EQ,44.05,44.2,44.5,43.1,43.1,43.45,43.74,10661,4.66,196, 6791, 63.70
2023-01-06,TERASOFT, EQ,43.45,44.45,44.45,42.5,42.55,42.65,43.12,20621,8.89,237, 11346, 55.02
2023-01-09,TERASOFT, EQ,42.65,43.9,43.9,42.7,42.7,42.9,43.28,6028,2.61,172, 2964, 49.17
2023-01-10,TERASOFT, EQ,42.9,43.2,43.75,42.35,42.5,42.6,42.65,5047,2.15,114, 3028, 60.00
2023-01-11,TERASOFT, EQ,42.6,43.6,44.5,42.1, 42.25,42.6,43.29,15583,6.75,257, 10054, 64.52
2023-01-12,TERASOFT, EQ,42.6,42.65,43.1,42.15, 42.15,42.3,42.47,8303,3.53,137, 6030, 72.62
2023-01-13,TERASOFT, EQ,42.3,43.4,43.4,42.6,43.2,43.0,43.0,15439,6.64,190, 5646, 36.57
2023-01-16,TERASOFT, EQ,43.0,43.35,45.4,42.85, 45.00,44.8,44.51,43825,19.51,613, 18192, 41.51
2023-01-17,TERASOFT, EQ,44.8,45.0,45.05,43.65,44.6,44.35,44.3,18602,8.24,196, 9043, 48.61
2023-01-18,TERASOFT, EQ,44.35,44.5,45.5,43.55,44.05,44.75,44.24,14453,6.39,196, 6000, 41.51
2023-01-19,TERASOFT, EQ,44.75,44.6,44.85,43.1, 43.40,43.45,43.79,14587,6.39,326, 7111, 48.75
2023-01-20,TERASOFT, EQ,43.45,43.5,44.75,43.2,43.4,43.2,43.55,14365,6.26,317, 6530, 45.46
2023-01-23,TERASOFT, EQ,43.2,43.3,44.25,41.0,41.5,41.6,42.27,31046,13.12,453, 18571, 59.82
2023-01-24,TERASOFT, EQ,41.6,42.55,44.35,41.5,43.5,43.45,42.92,33645,14.44,547, 17718, 52.66
2023-01-25,TERASOFT, EQ,43.45,43.9,44.3,42.0, 42.70,42.3,43.02,18480,7.95,297, 6470, 35.01
2023-01-27,TERASOFT, EQ,42.3,43.0,43.4,41.1, 41.10,41.7,42.11,21970,9.25,504, 10939, 49.79
2023-01-30,TERASOFT, EQ,41.7,41.7,43.0,40.1, 40.55,40.8,41.27,11271,4.65,284, 6860, 60.86
2023-01-31,TERASOFT, EQ,40.8,41.1,42.0,40.7,41.7,41.2,41.24,26745,11.03,374, 12998, 48.60
2023-02-01,TERASOFT, EQ,41.2,40.9,41.9,40.75, 41.00,40.8,41.34,11921,4.93,227, 6588, 55.26
2023-02-02,TERASOFT, EQ,40.8,41.0,41.7,40.05, 40.75,40.8,40.99,13089,5.37,217, 6151, 46.99
2023-02-03,TERASOFT, EQ,40.8,40.8,41.5,40.0, 40.00,40.2,40.4,11913,4.81,189, 6882, 57.77
2023-02-06,TERASOFT, EQ,40.2,40.2,40.65,38.55, 39.70,39.8,39.78,11758,4.68,290, 7146, 60.78
2023-02-07,TERASOFT, EQ,39.8,40.45,41.6,38.2, 39.00,39.25,39.77,31132,12.38,406, 15211, 48.86
2023-02-08,TERASOFT, EQ,39.25,40.85,41.2,39.25, 41.00,40.95,40.37,22361,9.03,355, 12622, 56.45
2023-02-09,TERASOFT, EQ,40.95,41.6,41.6,40.05, 40.65,40.4,40.57,15917,6.46,221, 10311, 64.78
2023-02-10,TERASOFT, EQ,40.4,40.05,40.75,39.35, 39.55,39.9,40.19,7256,2.92,269, 4092, 56.39
2023-02-13,TERASOFT, EQ,39.9,40.75,41.3,39.9,41.0,40.7,40.64,9127,3.71,230, 5319, 58.28
2023-02-14,TERASOFT, EQ,40.7,41.55,41.55,39.25,39.6,39.6,39.73,8708,3.46,197, 6078, 69.80
2023-02-15,TERASOFT, EQ,39.6,41.1,42.9,40.3, 41.65,42.05,41.66,65262,27.19,697, 39185, 60.04
2023-02-16,TERASOFT, EQ,42.05,42.9,42.9,40.5, 41.35,41.1,42.0,20291,8.52,280, 12359, 60.91
2023-02-17,TERASOFT, EQ,41.1,40.2,42.0,40.2, 40.65,41.05,41.11,17399,7.15,267, 9199, 52.87
2023-02-20,TERASOFT, EQ,41.05,41.55,41.6,40.2, 40.50,40.3,40.58,7325,2.97,196, 3975, 54.27
2023-02-21,TERASOFT, EQ,40.3,40.3,40.65,39.0, 39.00,39.5,39.68,10201,4.05,227, 7460, 73.13
2023-02-22,TERASOFT, EQ,39.5,39.4,40.5,38.55, 38.60,39.0,39.65,21564,8.55,309, 15763, 73.10
