DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,TEXINFRA, EQ,60.3,60.0,61.2,60.0, 60.25,60.3,60.71,19164,11.63,333, 8540, 44.56
2023-01-03,TEXINFRA, EQ,60.3,60.3,61.1,59.8, 60.25,60.2,60.54,29862,18.08,272, 16493, 55.23
2023-01-04,TEXINFRA, EQ,60.2,60.0,61.1,58.8, 60.35,60.4,60.29,38020,22.92,273, 21525, 56.61
2023-01-05,TEXINFRA, EQ,60.4,60.4,60.4,58.75,59.05,58.95,59.42,23603,14.02,312, 19062, 80.76
2023-01-06,TEXINFRA, EQ,58.95,58.25,59.45,58.25,58.4,58.5,58.81,15144,8.91,224, 9427, 62.25
2023-01-09,TEXINFRA, EQ,58.5,58.5,60.95,58.5,58.75,59.15,59.58,41462,24.7,491, 20856, 50.30
2023-01-10,TEXINFRA, EQ,59.15,58.95,60.4,57.45,58.6,58.7,59.18,42934,25.41,375, 21522, 50.13
2023-01-11,TEXINFRA, EQ,58.7,58.1,59.4,58.1, 59.35,59.25,59.0,7927,4.68,79, 6653, 83.93
2023-01-12,TEXINFRA, EQ,59.25,58.2,59.35,58.2, 58.90,58.85,58.75,7463,4.38,195, 3975, 53.26
2023-01-13,TEXINFRA, EQ,58.85,59.85,60.4,58.8,59.45,59.4,59.59,37829,22.54,460, 16745, 44.26
2023-01-16,TEXINFRA, EQ,59.4,59.95,60.2,58.95, 60.00,59.7,59.56,20932,12.47,208, 15165, 72.45
2023-01-17,TEXINFRA, EQ,59.7,59.1,59.9,59.1,59.5,59.75,59.67,7025,4.19,114, 3667, 52.20
2023-01-18,TEXINFRA, EQ,59.75,59.45,60.0,58.8,59.0,59.1,59.16,42212,24.97,351, 30138, 71.40
2023-01-19,TEXINFRA, EQ,59.1,59.05,59.25,58.55, 58.60,58.85,58.84,9383,5.52,125, 5533, 58.97
2023-01-20,TEXINFRA, EQ,58.85,59.0,59.45,58.0,58.5,58.6,58.71,15047,8.83,190, 8954, 59.51
2023-01-23,TEXINFRA, EQ,58.6,59.5,59.5,57.75,58.0,58.15,58.3,64713,37.73,441, 24097, 37.24
2023-01-24,TEXINFRA, EQ,58.15,58.85,59.2,58.05,58.5,58.2,58.32,9909,5.78,185, 6002, 60.57
2023-01-25,TEXINFRA, EQ,58.2,57.75,58.4,57.15, 58.20,58.15,57.79,10599,6.13,171, 7515, 70.90
2023-01-27,TEXINFRA, EQ,58.15,58.0,58.0,56.05, 56.45,56.55,56.83,28286,16.07,368, 18719, 66.18
2023-01-30,TEXINFRA, EQ,56.55,56.0,57.55,54.55, 56.25,55.85,56.07,26407,14.81,468, 7165, 27.13
2023-01-31,TEXINFRA, EQ,55.85,55.85,58.35,55.85,57.6,57.8,57.35,15573,8.93,323, 7735, 49.67
2023-02-01,TEXINFRA, EQ,57.8,58.5,59.8,56.1, 56.85,57.0,58.48,53696,31.4,823, 25752, 47.96
2023-02-02,TEXINFRA, EQ,57.0,56.85,58.5,54.5, 55.00,55.4,56.0,44312,24.82,682, 22390, 50.53
2023-02-03,TEXINFRA, EQ,55.4,56.35,57.7,52.7, 56.50,56.6,54.7,34873,19.08,758, 16844, 48.30
2023-02-06,TEXINFRA, EQ,56.6,57.65,57.65,54.45, 55.10,55.45,55.6,32843,18.26,443, 18945, 57.68
2023-02-07,TEXINFRA, EQ,55.45,56.55,57.35,55.2, 57.20,57.1,56.59,27050,15.31,203, 21566, 79.73
2023-02-08,TEXINFRA, EQ,57.1,57.35,58.5,56.95, 57.50,57.75,57.84,12763,7.38,219, 7188, 56.32
2023-02-09,TEXINFRA, EQ,57.75,57.75,57.8,56.6, 57.00,56.8,57.08,8773,5.01,153, 4798, 54.69
2023-02-10,TEXINFRA, EQ,56.8,56.45,57.1,55.3, 56.40,55.95,56.28,10628,5.98,185, 6313, 59.40
2023-02-13,TEXINFRA, EQ,55.95,54.95,56.65,54.65,55.6,55.6,55.56,12544,6.97,195, 7282, 58.05
2023-02-14,TEXINFRA, EQ,55.6,55.7,55.75,53.65,53.9,54.0,54.59,20287,11.08,340, 16842, 83.02
2023-02-15,TEXINFRA, EQ,54.0,53.3,54.45,53.0, 54.15,54.15,53.48,19818,10.6,344, 13184, 66.53
2023-02-16,TEXINFRA, EQ,54.15,54.5,54.95,54.5, 54.95,54.55,54.54,6829,3.72,87, 4641, 67.96
2023-02-17,TEXINFRA, EQ,54.55,55.15,55.3,53.5, 54.90,54.75,54.64,3905,2.13,169, 1694, 43.38
2023-02-20,TEXINFRA, EQ,54.75,54.0,55.45,53.75, 54.20,54.15,54.15,6259,3.39,106, 4705, 75.17
2023-02-21,TEXINFRA, EQ,54.15,54.85,54.85,53.2, 53.20,53.45,53.81,11359,6.11,136, 9150, 80.55
2023-02-22,TEXINFRA, EQ,53.45,54.4,54.4,53.0, 53.20,53.35,53.56,13286,7.12,310, 8993, 67.69
2023-02-23,TEXINFRA, EQ,53.35,53.35,54.5,52.7,52.75,53.95,53.97,2787,1.5,78, 1440, 51.67
2023-02-24,TEXINFRA, EQ,53.95,53.0,53.5,52.5, 52.65,52.65,52.79,12170,6.42,223, 8619, 70.82
2023-02-27,TEXINFRA, EQ,52.65,53.4,53.55,51.7, 51.85,51.95,52.08,61415,31.98,135, 58836, 95.80
2023-02-28,TEXINFRA, EQ,51.95,52.45,52.5,49.1, 49.55,49.7,49.98,25469,12.73,506, 15606, 61.27
2023-03-01,TEXINFRA, EQ,49.7,49.95,52.55,49.95, 52.00,52.15,51.56,9817,5.06,145, 6114, 62.28
2023-03-02,TEXINFRA, EQ,52.15,52.1,52.1,51.05, 51.30,51.55,51.59,6902,3.56,115, 3967, 57.48
2023-03-03,TEXINFRA, EQ,51.55,52.6,52.6,51.65, 51.85,52.0,52.09,3317,1.73,75, 2206, 66.51
2023-03-06,TEXINFRA, EQ,52.0,52.2,52.5,50.3, 51.80,50.7,51.69,45767,23.66,590, 32949, 71.99
2023-03-08,TEXINFRA, EQ,50.7,51.65,52.75,50.1, 52.40,52.3,51.89,14840,7.7,177, 10874, 73.27
2023-03-09,TEXINFRA, EQ,52.3,51.3,54.3,50.3, 53.45,53.7,52.94,48613,25.74,273, 39205, 80.65
2023-03-10,TEXINFRA, EQ,53.7,53.4,55.0,52.4, 55.00,54.6,53.94,129993,70.12,432, 120955, 93.05
2023-03-13,TEXINFRA, EQ,54.6,54.6,56.45,53.1, 53.50,54.1,54.73,42687,23.36,256, 34102, 79.89
2023-03-14,TEXINFRA, EQ,54.1,52.85,54.0,51.0, 54.00,53.4,52.52,17217,9.04,281, 7704, 44.75
2023-03-15,TEXINFRA, EQ,53.4,52.4,55.55,51.8, 54.00,54.0,54.64,43207,23.61,477, 32763, 75.83
2023-03-16,TEXINFRA, EQ,54.0,52.8,55.3,52.75, 54.00,54.8,54.76,44446,24.34,213, 40147, 90.33
2023-03-17,TEXINFRA, EQ,54.8,54.0,54.9,53.55, 53.80,53.75,54.08,7143,3.86,220, 4353, 60.94
2023-03-20,TEXINFRA, EQ,53.75,53.0,53.9,51.4,52.5,52.3,52.55,13378,7.03,167, 9134, 68.28
2023-03-21,TEXINFRA, EQ,52.3,52.75,54.7,52.05, 52.40,52.75,53.19,21985,11.69,395, 13959, 63.49
2023-03-22,TEXINFRA, EQ,52.75,52.75,54.75,52.55, 54.00,54.15,53.91,7662,4.13,213, 3567, 46.55
2023-03-23,TEXINFRA, EQ,54.15,53.95,54.75,52.15, 53.00,52.6,53.32,6544,3.49,213, 2997, 45.80
2023-03-24,TEXINFRA, EQ,52.6,52.25,53.5,50.8, 50.80,51.55,52.79,27075,14.29,635, 21080, 77.86
2023-03-27,TEXINFRA, EQ,51.55,51.15,51.9,48.15, 49.45,49.45,50.34,57094,28.74,828, 34102, 59.73
