DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,THERMAX, EQ,1968.2,1978.0,1978.0,1940.0, 1960.15,1961.3,1959.56,23445,459.42,3432, 12565, 53.59
2023-01-03,THERMAX, EQ,1961.3,1961.0,1970.0,1946.0, 1955.05,1955.55,1956.21,13528,264.64,3243, 7005, 51.78
2023-01-04,THERMAX, EQ,1955.55,1956.0,1964.75,1931.6, 1943.30,1951.15,1953.29,28901,564.52,5315, 14626, 50.61
2023-01-05,THERMAX, EQ,1951.15,1951.0,1961.4,1939.25,1955.95,1950.95,1949.97,20325,396.33,4287, 11672, 57.43
2023-01-06,THERMAX, EQ,1950.95,1957.85,1999.7,1944.15,1962.25,1963.0,1973.23,23007,453.98,5372, 9760, 42.42
2023-01-09,THERMAX, EQ,1963.0,1965.0,1979.9,1937.5,1960.25,1959.1,1955.86,28664,560.63,8957, 18946, 66.10
2023-01-10,THERMAX, EQ,1959.1,1963.9,1969.7,1947.55,1964.95,1964.35,1958.2,14639,286.66,3740, 8310, 56.77
2023-01-11,THERMAX, EQ,1964.35,1974.15,1980.0,1932.0, 1949.50,1938.9,1961.86,19949,391.37,4234, 9776, 49.00
2023-01-12,THERMAX, EQ,1938.9,1948.55,1995.0,1946.25, 1980.00,1987.4,1971.17,111896,2205.66,8213, 91616, 81.88
2023-01-13,THERMAX, EQ,1987.4,1997.25,1997.25,1949.45,1965.0,1967.05,1970.14,15974,314.71,4013, 5456, 34.16
2023-01-16,THERMAX, EQ,1967.05,1984.0,1987.8,1970.0, 1970.00,1974.4,1975.67,9728,192.19,1963, 4754, 48.87
2023-01-17,THERMAX, EQ,1974.4,1984.25,1984.25,1958.55,1977.0,1967.8,1966.41,21923,431.1,5409, 16908, 77.12
2023-01-18,THERMAX, EQ,1967.8,1977.6,1986.35,1965.15,1980.05,1980.75,1978.08,137244,2714.79,2491, 131508, 95.82
2023-01-19,THERMAX, EQ,1980.75,1969.0,1987.45,1969.0, 1980.00,1980.6,1980.15,13711,271.5,4618, 9498, 69.27
2023-01-20,THERMAX, EQ,1980.6,1989.0,1989.0,1945.55,1960.0,1959.65,1958.43,10868,212.84,2557, 6086, 56.00
2023-01-23,THERMAX, EQ,1959.65,1970.0,1979.8,1946.0,1975.0,1972.65,1960.68,41564,814.94,2212, 35131, 84.52
2023-01-24,THERMAX, EQ,1972.65,1978.7,1994.7,1950.0,1957.0,1958.05,1958.04,11911,233.22,2186, 5234, 43.94
2023-01-25,THERMAX, EQ,1958.05,1967.8,1971.65,1942.0, 1950.05,1955.1,1953.94,11280,220.4,2352, 5397, 47.85
2023-01-27,THERMAX, EQ,1955.1,1964.9,2022.0,1872.0, 1913.00,1905.45,1912.77,25395,485.75,5099, 11390, 44.85
2023-01-30,THERMAX, EQ,1905.45,1886.0,1930.05,1881.1, 1909.40,1900.85,1902.24,109007,2073.57,4107, 101392, 93.01
2023-01-31,THERMAX, EQ,1900.85,1904.75,1949.8,1891.6,1920.05,1925.15,1920.69,119333,2292.02,4864, 107848, 90.38
2023-02-01,THERMAX, EQ,1925.15,1934.75,1964.7,1931.55, 1956.15,1955.6,1949.98,29227,569.92,5816, 14040, 48.04
2023-02-02,THERMAX, EQ,1955.6,1950.0,1984.25,1927.0, 1939.70,1941.3,1956.17,20722,405.36,6493, 7621, 36.78
