DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-02-28,TIJARIA, EQ,6.0,6.25,6.25,5.95, 6.25,6.0,6.05,2375,0.14,22, 2285, 96.21
2023-03-01,TIJARIA, EQ,6.0,5.95,6.3,5.7, 6.20,6.2,6.05,8912,0.54,69, 6904, 77.47
2023-03-02,TIJARIA, EQ,6.2,6.15,6.25,6.0, 6.15,6.05,6.08,8600,0.52,229, 7499, 87.20
2023-03-03,TIJARIA, EQ,6.05,6.05,6.25,6.0, 6.25,6.25,6.02,1139,0.07,15, 1134, 99.56
2023-03-06,TIJARIA, EQ,6.25,6.25,6.45,6.0, 6.00,6.0,6.11,16662,1.02,36, 11758, 70.57
2023-03-08,TIJARIA, EQ,6.0,6.0,6.15,6.0, 6.00,6.0,6.02,680,0.04,12, 680, 100.00
2023-03-09,TIJARIA, EQ,6.0,6.05,6.05,5.75, 5.80,5.8,5.83,7703,0.45,223, 7278, 94.48
2023-03-10,TIJARIA, EQ,5.8,5.6,5.95,5.55, 5.85,5.8,5.71,19381,1.11,99, 14788, 76.30
2023-03-13,TIJARIA, EQ,5.8,5.8,5.8,5.55, 5.55,5.55,5.59,12623,0.71,57, 11978, 94.89
2023-03-14,TIJARIA, EQ,5.55,5.55,5.75,5.3, 5.55,5.5,5.41,3914,0.21,235, 3406, 87.02
2023-03-15,TIJARIA, EQ,5.5,5.45,5.7,5.25, 5.65,5.5,5.49,10227,0.56,177, 6877, 67.24
2023-03-16,TIJARIA, EQ,5.5,5.5,5.75,5.4, 5.60,5.5,5.6,6602,0.37,42, 6391, 96.80
2023-03-17,TIJARIA, EQ,5.5,5.55,5.6,5.35, 5.50,5.5,5.42,4247,0.23,72, 3582, 84.34
2023-03-20,TIJARIA, EQ,5.5,5.45,5.45,5.25,5.4,5.4,5.39,391,0.02,12, 385, 98.47
2023-03-21,TIJARIA, EQ,5.4,5.4,5.4,5.15, 5.15,5.15,5.18,26757,1.38,46, 16338, 61.06
2023-03-22,TIJARIA, EQ,5.15,5.15,5.15,4.9, 5.15,5.15,4.91,15939,0.78,34, 15739, 98.75
2023-03-23,TIJARIA, EQ,5.15,5.15,5.15,4.9, 4.90,4.9,4.9,20568,1.01,22, 20568, 100.00
2023-03-24,TIJARIA, EQ,4.9,4.9,5.1,4.7, 4.85,4.7,4.84,5324,0.26,18, 5074, 95.30
2023-03-27,TIJARIA, EQ,4.7,4.85,4.9,4.55, 4.65,4.65,4.74,11092,0.53,1703, 8790, 79.25
2023-03-28,TIJARIA, EQ,4.65,4.75,4.75,4.45, 4.45,4.45,4.5,38332,1.72,18, 38312, 99.95
2023-03-29,TIJARIA, EQ,4.45,4.45,4.5,4.25, 4.25,4.4,4.31,28551,1.23,31, 27215, 95.32
2023-03-31,TIJARIA, EQ,4.4,4.6,4.6,4.2, 4.20,4.2,4.38,26845,1.18,80, 24023, 89.49
2023-04-03,TIJARIA, EQ,4.2,4.25,4.4,4.1, 4.20,4.3,4.3,9347,0.4,66, 9095, 97.30
2023-04-05,TIJARIA, EQ,4.3,4.4,4.5,4.4, 4.50,4.5,4.43,1994,0.09,8, 1994, 100.00
2023-04-06,TIJARIA, EQ,4.5,4.5,4.7,4.5, 4.70,4.7,4.57,3137,0.14,24, 2413, 76.92
2023-04-10,TIJARIA, EQ,4.7,4.9,4.9,4.55, 4.70,4.7,4.78,13341,0.64,43, 7493, 56.17
2023-04-11,TIJARIA, EQ,4.7,4.75,4.9,4.6, 4.70,4.8,4.8,12527,0.6,62, 12288, 98.09
2023-04-12,TIJARIA, EQ,4.8,5.0,5.0,4.8, 5.00,5.0,4.89,9253,0.45,31, 9253, 100.00
2023-04-13,TIJARIA, EQ,5.0,5.25,5.25,5.1, 5.25,5.25,5.23,17231,0.9,34, 15231, 88.39
2023-04-17,TIJARIA, EQ,5.25,5.0,5.5,5.0, 5.50,5.4,5.42,37173,2.01,66, 30682, 82.54
2023-04-18,TIJARIA, EQ,5.4,5.65,5.65,5.15, 5.45,5.4,5.29,33431,1.77,77, 18250, 54.59
2023-04-19,TIJARIA, EQ,5.4,5.6,5.6,5.15, 5.40,5.4,5.2,13286,0.69,38, 12862, 96.81
2023-04-20,TIJARIA, EQ,5.4,5.5,5.5,5.15, 5.15,5.15,5.17,5842,0.3,41, 5741, 98.27
2023-04-21,TIJARIA, EQ,5.15,4.9,5.15,4.9, 5.00,5.0,4.91,12631,0.62,42, 12524, 99.15
2023-04-24,TIJARIA, EQ,5.0,4.9,5.25,4.8, 5.25,5.25,5.02,6147,0.31,71, 4830, 78.57
2023-04-25,TIJARIA, EQ,5.25,5.45,5.45,5.1,5.25,5.15,5.23,4906,0.26,59, 3668, 74.77
2023-04-26,TIJARIA, EQ,5.15,5.1,5.4,4.95, 5.25,5.15,5.21,11981,0.62,59, 8321, 69.45
2023-04-27,TIJARIA, EQ,5.15,5.25,5.35,5.05, 5.10,5.2,5.21,4502,0.23,51, 3660, 81.30
