DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,TIMETECHNO, EQ,89.9,90.5,92.25,90.5, 91.80,91.5,91.27,728432,664.81,5727, 230903, 31.70
2023-01-03,TIMETECHNO, EQ,91.5,91.55,96.3,91.55, 94.90,95.25,94.49,2285881,2159.95,16258, 903113, 39.51
2023-01-04,TIMETECHNO, EQ,95.25,95.0,95.55,92.75, 92.80,93.05,93.44,781776,730.48,5965, 430277, 55.04
2023-01-05,TIMETECHNO, EQ,93.05,93.25,94.7,91.8,93.7,93.8,92.86,597349,554.72,4773, 192227, 32.18
2023-01-06,TIMETECHNO, EQ,93.8,93.9,94.5,92.6,93.15,93.25,93.54,675743,632.06,5107, 155116, 22.95
2023-01-09,TIMETECHNO, EQ,93.25,93.35,94.2,92.2,92.3,92.5,93.21,506809,472.42,4264, 156219, 30.82
2023-01-10,TIMETECHNO, EQ,92.5,92.85,92.85,90.1,90.65,90.45,91.08,391700,356.76,3880, 167861, 42.85
2023-01-11,TIMETECHNO, EQ,90.45,90.95,92.45,89.4, 89.85,90.05,90.36,897366,810.83,6064, 477739, 53.24
2023-01-12,TIMETECHNO, EQ,90.05,90.05,90.4,88.5, 88.85,88.85,89.44,479391,428.76,5404, 185409, 38.68
2023-01-13,TIMETECHNO, EQ,88.85,89.3,90.0,88.85,89.6,89.7,89.5,432169,386.79,4317, 165403, 38.27
2023-01-16,TIMETECHNO, EQ,89.7,90.15,90.15,89.1, 89.25,89.25,89.48,274991,246.05,3039, 101701, 36.98
2023-01-17,TIMETECHNO, EQ,89.25,89.7,90.0,88.0,88.4,88.5,89.29,1182564,1055.85,6984, 157917, 13.35
2023-01-18,TIMETECHNO, EQ,88.5,88.95,89.6,88.0,88.7,89.0,88.92,443368,394.24,3986, 118607, 26.75
2023-01-19,TIMETECHNO, EQ,89.0,89.35,89.8,87.7, 88.40,87.95,88.67,345014,305.93,3194, 148491, 43.04
2023-01-20,TIMETECHNO, EQ,87.95,88.0,89.4,87.9,88.0,88.2,88.46,493083,436.17,4428, 146449, 29.70
2023-01-23,TIMETECHNO, EQ,88.2,88.25,88.5,86.95,87.35,87.4,87.58,318917,279.29,4001, 111619, 35.00
2023-01-24,TIMETECHNO, EQ,87.4,87.35,88.0,85.7,86.4,86.5,86.66,402883,349.15,3995, 155990, 38.72
2023-01-25,TIMETECHNO, EQ,86.5,85.35,86.8,84.1, 84.30,84.35,85.96,1231888,1058.97,4609, 927073, 75.26
2023-01-27,TIMETECHNO, EQ,84.35,84.25,86.0,82.0, 82.25,82.5,83.64,544413,455.34,5280, 227490, 41.79
2023-01-30,TIMETECHNO, EQ,82.5,82.65,85.4,81.85, 83.30,83.5,83.81,444134,372.23,5161, 114922, 25.88
2023-01-31,TIMETECHNO, EQ,83.5,84.1,85.6,83.25,85.35,84.95,84.48,293617,248.04,3196, 90459, 30.81
2023-02-01,TIMETECHNO, EQ,84.95,85.7,86.5,82.45, 84.15,83.4,85.15,518624,441.62,4109, 145377, 28.03
2023-02-02,TIMETECHNO, EQ,83.4,82.2,85.3,81.35, 82.35,82.15,83.19,492263,409.53,5760, 176831, 35.92
2023-02-03,TIMETECHNO, EQ,82.15,83.1,83.4,79.8, 80.40,80.5,81.24,535719,435.23,5575, 179218, 33.45
2023-02-06,TIMETECHNO, EQ,80.5,80.95,83.6,80.95, 82.50,82.3,82.57,480411,396.65,4115, 139486, 29.03
