DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,TIMKEN, EQ,3103.85,3085.0,3300.0,3085.0, 3188.00,3201.0,3232.56,227307,7347.84,27158, 38838, 17.09
2023-01-03,TIMKEN, EQ,3201.0,3190.0,3217.0,3147.0, 3158.00,3158.9,3177.9,41189,1308.94,6864, 14237, 34.57
2023-01-04,TIMKEN, EQ,3158.9,3169.0,3202.65,3127.8, 3152.00,3149.25,3165.08,32154,1017.7,6335, 12329, 38.34
2023-01-05,TIMKEN, EQ,3149.25,3173.0,3191.4,3095.0,3117.9,3112.75,3142.47,53846,1692.1,9707, 30799, 57.20
2023-01-06,TIMKEN, EQ,3112.75,3113.0,3134.95,3050.0,3055.0,3057.9,3078.75,39385,1212.56,6632, 20088, 51.00
2023-01-09,TIMKEN, EQ,3057.9,3100.0,3100.0,2974.5,2989.0,2984.25,3018.92,52661,1589.79,10638, 24756, 47.01
2023-01-10,TIMKEN, EQ,2984.25,2999.2,3037.6,2960.0,3017.1,3005.05,2998.72,65880,1975.56,14188, 26158, 39.71
2023-01-11,TIMKEN, EQ,3005.05,3005.05,3134.75,3004.55, 3104.00,3108.75,3097.96,90861,2814.84,13089, 20817, 22.91
2023-01-12,TIMKEN, EQ,3108.75,3110.95,3206.9,3110.95, 3124.00,3130.3,3164.87,106042,3356.09,18978, 41430, 39.07
2023-01-13,TIMKEN, EQ,3130.3,3128.8,3134.85,3045.0,3105.0,3106.9,3090.08,67330,2080.55,16251, 29480, 43.78
2023-01-16,TIMKEN, EQ,3106.9,3102.0,3122.95,3080.0, 3115.05,3114.3,3103.78,22847,709.12,4215, 10427, 45.64
2023-01-17,TIMKEN, EQ,3114.3,3125.0,3170.0,3105.0,3148.0,3151.15,3147.02,58962,1855.54,9518, 25960, 44.03
2023-01-18,TIMKEN, EQ,3151.15,3151.15,3165.0,3112.0,3150.05,3150.6,3147.29,28532,897.98,4756, 13359, 46.82
2023-01-19,TIMKEN, EQ,3150.6,3145.0,3182.75,3122.0, 3152.00,3158.95,3156.64,16043,506.42,3924, 6806, 42.42
2023-01-20,TIMKEN, EQ,3158.95,3160.0,3177.5,3064.5,3095.0,3079.65,3117.78,28395,885.29,6611, 13701, 48.25
