DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,TNIDETF, EQ,55.28,55.15,55.89,52.2, 52.60,52.63,53.21,169666,90.28,877, 141359, 83.32
2023-01-03,TNIDETF, EQ,52.63,52.76,55.4,52.76, 55.19,54.98,54.14,77060,41.72,369, 71184, 92.37
2023-01-04,TNIDETF, EQ,54.98,57.46,57.46,55.0, 55.57,55.53,55.87,28959,16.18,186, 18927, 65.36
2023-01-05,TNIDETF, EQ,55.53,56.65,56.65,54.8,54.8,55.04,55.1,2720,1.5,100, 1496, 55.00
2023-01-06,TNIDETF, EQ,55.04,54.8,55.45,53.3,54.4,54.38,53.9,10935,5.89,135, 7005, 64.06
2023-01-09,TNIDETF, EQ,54.38,54.21,55.17,54.21,54.8,55.04,54.98,4487,2.47,90, 2897, 64.56
2023-01-10,TNIDETF, EQ,55.04,54.81,55.29,54.51,55.29,55.17,54.76,11054,6.05,85, 6696, 60.58
2023-01-11,TNIDETF, EQ,55.17,55.4,55.4,54.76, 54.78,54.79,55.06,2268,1.25,64, 747, 32.94
2023-01-12,TNIDETF, EQ,54.79,54.79,55.16,54.56, 54.56,54.76,54.74,1502,0.82,84, 969, 64.51
2023-01-13,TNIDETF, EQ,54.76,54.71,56.2,54.0,56.2,55.04,54.88,4207,2.31,103, 3815, 90.68
2023-01-16,TNIDETF, EQ,55.04,55.04,55.5,54.25, 55.25,54.51,54.97,9735,5.35,133, 3453, 35.47
2023-01-17,TNIDETF, EQ,54.51,55.0,57.51,54.31,54.49,54.55,55.57,38657,21.48,214, 3260, 8.43
2023-01-18,TNIDETF, EQ,54.55,55.39,55.4,54.56,54.81,55.04,55.07,5521,3.04,92, 3042, 55.10
2023-01-19,TNIDETF, EQ,55.04,55.04,55.31,54.61, 55.00,55.03,55.01,2658,1.46,89, 1173, 44.13
2023-01-20,TNIDETF, EQ,55.03,56.3,56.3,53.8,54.78,54.8,54.46,29117,15.86,155, 18759, 64.43
2023-01-23,TNIDETF, EQ,54.8,55.91,55.91,54.2,55.03,54.81,55.0,8835,4.86,120, 3478, 39.37
2023-01-24,TNIDETF, EQ,54.81,54.71,55.93,54.71,55.53,55.22,55.42,11041,6.12,143, 8373, 75.84
2023-01-25,TNIDETF, EQ,55.22,56.36,56.36,54.6, 55.00,55.0,55.12,4507,2.48,93, 3178, 70.51
2023-01-27,TNIDETF, EQ,55.0,55.98,56.0,53.67, 55.48,54.86,54.5,39919,21.76,220, 6568, 16.45
2023-01-30,TNIDETF, EQ,54.86,54.86,54.87,54.01, 54.59,54.28,54.49,14551,7.93,100, 11384, 78.24
2023-01-31,TNIDETF, EQ,54.28,54.29,54.69,54.2,54.2,54.6,54.4,4299,2.34,78, 2059, 47.89
2023-02-01,TNIDETF, EQ,54.6,54.7,55.41,53.8, 53.90,54.65,54.79,15500,8.49,132, 11966, 77.20
2023-02-02,TNIDETF, EQ,54.65,55.75,55.75,54.61, 55.40,55.36,55.14,4682,2.58,102, 3931, 83.96
2023-02-03,TNIDETF, EQ,55.36,56.48,56.48,54.72, 55.37,55.0,55.17,4972,2.74,107, 2187, 43.99
2023-02-06,TNIDETF, EQ,55.0,55.01,55.89,55.01, 55.55,55.52,55.23,12992,7.18,134, 10795, 83.09
2023-02-07,TNIDETF, EQ,55.52,55.51,55.55,55.21, 55.50,55.48,55.47,4932,2.74,73, 2390, 48.46
2023-02-08,TNIDETF, EQ,55.48,55.99,56.84,55.21, 56.00,56.71,56.42,12720,7.18,153, 5705, 44.85
2023-02-09,TNIDETF, EQ,56.71,56.72,57.4,56.45, 57.18,57.01,56.93,7922,4.51,124, 5071, 64.01
2023-02-10,TNIDETF, EQ,57.01,56.8,56.99,56.41, 56.82,56.49,56.62,3630,2.06,78, 1684, 46.39
2023-02-13,TNIDETF, EQ,56.49,56.82,57.58,54.61,55.3,55.88,55.96,5809,3.25,154, 3440, 59.22
2023-02-14,TNIDETF, EQ,55.88,55.9,56.79,55.35,56.46,56.38,56.16,2846,1.6,85, 1593, 55.97
2023-02-15,TNIDETF, EQ,56.38,56.0,56.4,55.2, 56.00,56.0,55.88,2446,1.37,85, 1528, 62.47
2023-02-16,TNIDETF, EQ,56.0,56.0,57.05,56.0, 57.03,56.9,56.63,3459,1.96,84, 3045, 88.03
