DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,TTKHLTCARE, EQ,1006.3,1006.0,1030.0,1006.0, 1022.45,1020.35,1020.27,5701,58.17,847, 3101, 54.39
2023-01-03,TTKHLTCARE, EQ,1020.35,1022.4,1075.0,996.0, 998.00,999.4,1029.88,43811,451.2,3508, 20215, 46.14
2023-01-04,TTKHLTCARE, EQ,999.4,999.4,1011.95,974.75, 987.95,987.8,987.61,10019,98.95,1389, 5739, 57.28
2023-01-05,TTKHLTCARE, EQ,987.8,997.85,1025.0,989.05,1001.0,998.65,1009.66,10220,103.19,1553, 5412, 52.95
2023-01-06,TTKHLTCARE, EQ,998.65,1000.0,1019.85,993.2,1010.0,1006.85,1007.37,7220,72.73,638, 4603, 63.75
2023-01-09,TTKHLTCARE, EQ,1006.85,1040.0,1040.0,1002.25,1031.0,1019.45,1020.13,16662,169.97,1394, 10293, 61.78
2023-01-10,TTKHLTCARE, EQ,1019.45,1020.0,1044.0,1017.2,1024.8,1023.05,1032.97,16534,170.79,1424, 10735, 64.93
2023-01-11,TTKHLTCARE, EQ,1023.05,1024.0,1024.75,996.1, 1000.10,1001.4,1005.03,11725,117.84,912, 7237, 61.72
2023-01-12,TTKHLTCARE, EQ,1001.4,1008.55,1010.35,984.0, 984.00,986.25,992.24,6146,60.98,662, 3651, 59.40
2023-01-13,TTKHLTCARE, EQ,986.25,989.7,1022.0,989.7,995.0,1008.15,1009.96,12375,124.98,1205, 7381, 59.64
2023-01-16,TTKHLTCARE, EQ,1008.15,1004.65,1059.15,1002.1, 1021.00,1014.5,1032.52,29941,309.15,3050, 16640, 55.58
2023-01-17,TTKHLTCARE, EQ,1014.5,1027.0,1038.0,1011.0,1011.0,1018.75,1026.08,17309,177.6,1048, 11114, 64.21
2023-01-18,TTKHLTCARE, EQ,1018.75,1015.0,1046.0,1000.0,1020.0,1007.15,1021.33,16756,171.13,1720, 8231, 49.12
2023-01-19,TTKHLTCARE, EQ,1007.15,1001.1,1030.0,1000.0, 1001.00,1002.9,1009.53,9046,91.32,1004, 5250, 58.04
2023-01-20,TTKHLTCARE, EQ,1002.9,1012.5,1015.85,1000.0,1000.0,1002.5,1006.59,10153,102.2,980, 6022, 59.31
2023-01-23,TTKHLTCARE, EQ,1002.5,1005.5,1015.95,994.0,994.5,1002.85,1006.95,8306,83.64,689, 6057, 72.92
2023-01-24,TTKHLTCARE, EQ,1002.85,1008.45,1013.25,990.0,1005.0,999.95,1000.24,7390,73.92,1141, 4339, 58.71
2023-01-25,TTKHLTCARE, EQ,999.95,999.15,1029.0,984.8, 1018.00,1006.2,1006.11,14235,143.22,1536, 8729, 61.32
2023-01-27,TTKHLTCARE, EQ,1006.2,1015.0,1015.15,955.3, 974.20,982.65,981.22,10690,104.89,1391, 4827, 45.15
2023-01-30,TTKHLTCARE, EQ,982.65,983.5,990.25,953.45, 969.80,962.6,971.58,13655,132.67,2670, 6403, 46.89
2023-01-31,TTKHLTCARE, EQ,962.6,953.25,990.9,953.25,984.0,984.3,977.11,6073,59.34,1094, 3726, 61.35
2023-02-01,TTKHLTCARE, EQ,984.3,994.7,994.85,961.25, 965.00,964.35,976.31,3014,29.43,789, 1785, 59.22
2023-02-02,TTKHLTCARE, EQ,964.35,952.45,978.0,947.3, 951.00,952.75,955.81,5674,54.23,720, 3658, 64.47
2023-02-03,TTKHLTCARE, EQ,952.75,951.0,959.95,930.0, 937.00,934.0,938.82,7908,74.24,848, 5472, 69.20
2023-02-06,TTKHLTCARE, EQ,934.0,930.0,941.95,930.0, 941.00,938.1,937.29,3427,32.12,572, 2011, 58.68
2023-02-07,TTKHLTCARE, EQ,938.1,952.15,1014.0,928.25, 977.00,979.4,974.01,55728,542.8,4641, 9690, 17.39
2023-02-08,TTKHLTCARE, EQ,979.4,979.6,1003.0,966.1, 980.00,980.3,980.26,7263,71.2,945, 3596, 49.51
2023-02-09,TTKHLTCARE, EQ,980.3,979.9,997.95,968.0, 968.00,970.7,973.47,2598,25.29,332, 1559, 60.01
2023-02-10,TTKHLTCARE, EQ,970.7,970.4,982.2,953.85, 955.00,959.3,967.01,5385,52.07,625, 3534, 65.63
2023-02-13,TTKHLTCARE, EQ,959.3,987.8,987.8,930.05,938.5,934.7,946.98,5778,54.72,715, 2583, 44.70
2023-02-14,TTKHLTCARE, EQ,934.7,943.2,943.2,920.0,932.2,931.45,930.1,4034,37.52,521, 2374, 58.85
2023-02-15,TTKHLTCARE, EQ,931.45,932.2,969.0,925.75, 950.00,949.5,941.9,4232,39.86,483, 2287, 54.04
2023-02-16,TTKHLTCARE, EQ,949.5,946.0,975.0,946.0, 972.00,968.6,963.31,1925,18.54,337, 868, 45.09
