DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,TVSELECT, EQ,288.85,289.0,300.4,280.0, 292.10,292.8,292.38,152873,446.98,6969, 55279, 36.16
2023-01-03,TVSELECT, EQ,292.8,292.0,300.5,290.25, 294.15,293.65,295.03,86749,255.94,4944, 31784, 36.64
2023-01-04,TVSELECT, EQ,293.65,295.6,352.35,290.05, 352.35,352.35,334.9,2078680,6961.43,45679, 558997, 26.89
2023-01-05,TVSELECT, EQ,352.35,366.0,418.8,353.0,383.0,383.55,386.73,11617976,44930.46,193489, 656500, 5.65
2023-01-06,TVSELECT, EQ,383.55,386.0,413.75,373.05,385.95,378.6,396.77,7704769,30570.21,129031, 338122, 4.39
2023-01-09,TVSELECT, EQ,378.6,390.0,405.1,374.0,391.0,393.55,392.66,1307328,5133.3,31078, 228555, 17.48
2023-01-10,TVSELECT, EQ,393.55,392.5,393.5,371.1,374.1,373.85,381.17,424371,1617.56,11019, 132178, 31.15
2023-01-11,TVSELECT, EQ,373.85,377.95,404.0,374.3, 388.30,390.55,392.83,816681,3208.2,20281, 154976, 18.98
2023-01-12,TVSELECT, EQ,390.55,392.7,394.85,379.0, 381.00,380.2,385.83,268315,1035.24,7916, 85613, 31.91
2023-01-13,TVSELECT, EQ,380.2,383.0,403.4,377.05,390.0,389.55,394.57,660533,2606.29,15967, 133087, 20.15
2023-01-16,TVSELECT, EQ,389.55,390.65,398.0,378.8, 383.00,382.3,388.06,225355,874.51,7341, 65361, 29.00
2023-01-17,TVSELECT, EQ,382.3,385.9,392.95,377.1,381.15,380.85,385.33,204458,787.84,7669, 52241, 25.55
2023-01-18,TVSELECT, EQ,380.85,381.7,448.0,381.65,438.0,439.75,425.39,2875390,12231.73,61822, 511781, 17.80
2023-01-19,TVSELECT, EQ,439.75,436.75,444.0,419.35, 422.05,421.35,430.53,676500,2912.57,16208, 195551, 28.91
2023-01-20,TVSELECT, EQ,421.35,423.0,435.0,407.15,413.1,412.7,422.34,475518,2008.32,14804, 126333, 26.57
2023-01-23,TVSELECT, EQ,412.7,415.0,422.0,402.1,411.55,412.4,410.38,295249,1211.64,8868, 89927, 30.46
2023-01-24,TVSELECT, EQ,412.4,413.1,440.05,412.55,422.5,421.2,424.0,685065,2904.7,16730, 132875, 19.40
2023-01-25,TVSELECT, EQ,421.2,420.85,420.95,401.1, 408.10,407.5,409.61,176894,724.57,6463, 71980, 40.69
2023-01-27,TVSELECT, EQ,407.5,409.7,409.7,359.0, 374.00,373.25,381.63,363062,1385.55,13232, 158085, 43.54
2023-01-30,TVSELECT, EQ,373.25,373.9,390.65,370.0, 374.20,374.8,379.37,147242,558.59,5398, 52508, 35.66
2023-01-31,TVSELECT, EQ,374.8,376.25,388.9,374.65,378.9,379.2,381.31,159893,609.7,5359, 49347, 30.86
2023-02-01,TVSELECT, EQ,379.2,382.0,390.0,344.0, 359.80,357.85,370.83,157513,584.11,5768, 63246, 40.15
2023-02-02,TVSELECT, EQ,357.85,357.9,377.95,355.3, 359.70,359.0,362.48,108042,391.63,4646, 40053, 37.07
2023-02-03,TVSELECT, EQ,359.0,360.15,374.7,343.0, 350.00,349.05,353.11,127961,451.84,5081, 51491, 40.24
2023-02-06,TVSELECT, EQ,349.05,354.05,386.6,354.05, 379.75,378.4,374.84,452918,1697.72,13972, 116221, 25.66
2023-02-07,TVSELECT, EQ,378.4,379.8,407.0,367.6, 390.50,390.5,391.5,531973,2082.69,14757, 168884, 31.75
2023-02-08,TVSELECT, EQ,390.5,391.85,403.7,383.05, 392.20,393.1,394.57,220312,869.29,6880, 66891, 30.36
2023-02-09,TVSELECT, EQ,393.1,393.05,400.0,387.15, 391.10,392.3,392.89,207662,815.89,9211, 51696, 24.89
2023-02-10,TVSELECT, EQ,392.3,393.6,405.95,391.15, 393.95,396.15,399.16,261181,1042.52,11545, 54494, 20.86
2023-02-13,TVSELECT, EQ,396.15,376.15,381.15,345.65,349.8,348.15,361.94,481241,1741.8,18828, 233878, 48.60
2023-02-14,TVSELECT, EQ,348.15,349.9,357.95,338.5,343.0,341.8,345.26,208329,719.29,10407, 50735, 24.35
2023-02-15,TVSELECT, EQ,341.8,341.85,359.8,341.8, 352.35,351.4,352.41,247421,871.93,11237, 47301, 19.12
2023-02-16,TVSELECT, EQ,351.4,353.9,365.15,347.8, 350.00,349.5,356.81,339017,1209.64,13044, 74756, 22.05
2023-02-17,TVSELECT, EQ,349.5,349.0,354.65,342.0, 344.80,344.65,347.79,224275,780.01,8178, 46351, 20.67
2023-02-20,TVSELECT, EQ,344.65,345.0,348.8,335.0, 337.00,337.65,338.81,153696,520.74,7284, 37017, 24.08
2023-02-21,TVSELECT, EQ,337.65,338.0,345.35,336.0, 342.00,339.6,340.67,125490,427.51,5903, 27166, 21.65
2023-02-22,TVSELECT, EQ,339.6,338.7,338.7,326.1, 328.15,328.95,331.09,92502,306.26,4787, 28711, 31.04
2023-02-23,TVSELECT, EQ,328.95,330.5,339.95,324.0,330.0,329.3,330.82,219879,727.39,9148, 39971, 18.18
2023-02-24,TVSELECT, EQ,329.3,331.0,338.9,328.55, 333.35,332.6,333.7,113941,380.23,5961, 29787, 26.14
2023-02-27,TVSELECT, EQ,332.6,332.0,337.0,316.15, 316.75,317.8,323.26,83642,270.38,4727, 30705, 36.71
2023-02-28,TVSELECT, EQ,317.8,318.25,327.0,316.75, 323.00,323.1,322.37,92709,298.86,4917, 17843, 19.25
2023-03-01,TVSELECT, EQ,323.1,324.7,333.15,322.5, 326.00,325.7,329.02,191518,630.14,10017, 51333, 26.80
2023-03-02,TVSELECT, EQ,325.7,327.0,331.95,322.0, 324.90,324.5,327.08,65077,212.86,2790, 20261, 31.13
2023-03-03,TVSELECT, EQ,324.5,326.25,333.0,324.4, 325.75,325.6,327.78,99574,326.38,4718, 35740, 35.89
2023-03-06,TVSELECT, EQ,325.6,326.9,334.45,326.9, 330.60,330.65,331.13,95839,317.35,4473, 26266, 27.41
2023-03-08,TVSELECT, EQ,330.65,328.9,333.2,325.5, 331.10,331.2,330.22,74181,244.96,4533, 17091, 23.04
2023-03-09,TVSELECT, EQ,331.2,332.6,345.45,329.9, 333.00,331.7,337.75,169205,571.48,8789, 42772, 25.28
2023-03-10,TVSELECT, EQ,331.7,329.0,343.7,323.7, 328.95,327.05,331.66,169987,563.78,7475, 29195, 17.17
2023-03-13,TVSELECT, EQ,327.05,331.0,336.6,318.0, 320.00,320.35,328.76,198958,654.1,8925, 40191, 20.20
