DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,UBL, EQ,1699.8,1698.0,1709.2,1677.1, 1690.00,1686.7,1686.26,130102,2193.86,11582, 58741, 45.15
2023-01-03,UBL, EQ,1686.7,1689.5,1694.55,1665.15, 1666.25,1669.8,1674.61,225635,3778.52,14911, 134038, 59.40
2023-01-04,UBL, EQ,1669.8,1667.8,1687.45,1654.6, 1667.00,1679.55,1675.0,171819,2877.97,7896, 85222, 49.60
2023-01-05,UBL, EQ,1679.55,1686.85,1688.4,1664.9,1675.0,1680.75,1678.94,85550,1436.34,7190, 23801, 27.82
2023-01-06,UBL, EQ,1680.75,1680.55,1686.15,1651.0,1654.2,1657.55,1666.57,54852,914.15,4075, 18272, 33.31
2023-01-09,UBL, EQ,1657.55,1650.5,1673.2,1646.1,1659.0,1661.75,1659.76,75493,1253.0,11156, 30554, 40.47
2023-01-10,UBL, EQ,1661.75,1657.1,1673.95,1650.5,1663.95,1669.6,1662.58,152223,2530.82,16219, 85798, 56.36
2023-01-11,UBL, EQ,1669.6,1666.8,1679.3,1664.0, 1674.00,1674.2,1674.25,202406,3388.79,15390, 132836, 65.63
2023-01-12,UBL, EQ,1674.2,1679.3,1680.4,1636.45, 1641.10,1644.15,1655.07,138474,2291.84,23576, 47080, 34.00
2023-01-13,UBL, EQ,1644.15,1645.1,1645.1,1609.5,1625.0,1620.0,1623.27,401576,6518.67,19372, 295727, 73.64
2023-01-16,UBL, EQ,1620.0,1614.0,1620.0,1604.65, 1615.70,1618.25,1613.6,78851,1272.34,10234, 22696, 28.78
2023-01-17,UBL, EQ,1618.25,1622.0,1624.3,1602.5,1603.75,1608.2,1609.28,102153,1643.93,17125, 58410, 57.18
2023-01-18,UBL, EQ,1608.2,1604.0,1617.4,1595.1,1614.9,1613.65,1610.32,105042,1691.51,12341, 46819, 44.57
2023-01-19,UBL, EQ,1613.65,1613.85,1617.9,1591.05, 1594.95,1595.0,1601.59,107173,1716.47,13017, 44801, 41.80
2023-01-20,UBL, EQ,1595.0,1590.0,1594.85,1559.6,1561.5,1568.7,1580.19,118585,1873.87,16652, 55662, 46.94
2023-01-23,UBL, EQ,1568.7,1565.5,1583.4,1551.2,1580.0,1580.95,1568.74,141783,2224.21,11343, 56785, 40.05
2023-01-24,UBL, EQ,1580.95,1588.9,1589.3,1572.0,1572.0,1576.15,1577.47,238450,3761.47,17054, 156017, 65.43
2023-01-25,UBL, EQ,1576.15,1571.0,1575.0,1555.7, 1575.00,1572.15,1566.03,110987,1738.08,8677, 48234, 43.46
2023-01-27,UBL, EQ,1572.15,1574.1,1583.0,1530.35, 1557.95,1542.7,1559.03,196453,3062.77,9613, 91963, 46.81
2023-01-30,UBL, EQ,1542.7,1550.8,1580.0,1536.85, 1573.80,1574.75,1570.87,160956,2528.41,17066, 79865, 49.62
2023-01-31,UBL, EQ,1574.75,1567.05,1595.6,1561.85,1593.85,1592.15,1580.56,85688,1354.35,8407, 44529, 51.97
2023-02-01,UBL, EQ,1592.15,1604.8,1604.8,1560.0, 1572.10,1575.8,1586.68,116942,1855.5,13088, 38994, 33.34
2023-02-02,UBL, EQ,1575.8,1568.05,1603.2,1566.9, 1595.00,1589.45,1592.37,92432,1471.86,11411, 46457, 50.26
2023-02-03,UBL, EQ,1589.45,1592.2,1595.0,1572.25, 1574.40,1583.8,1587.92,124306,1973.88,15017, 66499, 53.50
2023-02-06,UBL, EQ,1583.8,1583.8,1596.4,1573.75, 1583.65,1586.9,1586.69,114897,1823.06,8993, 20552, 17.89
2023-02-07,UBL, EQ,1586.9,1578.85,1595.95,1578.0, 1586.00,1588.1,1588.65,172886,2746.56,15785, 85111, 49.23
2023-02-08,UBL, EQ,1588.1,1583.05,1597.9,1578.0, 1582.00,1582.0,1588.58,81664,1297.3,8052, 31084, 38.06
2023-02-09,UBL, EQ,1582.0,1586.4,1588.0,1539.9, 1550.00,1549.75,1558.93,189109,2948.07,16580, 50491, 26.70
