DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,UCALFUEL, EQ,126.7,127.35,130.75,124.85, 129.00,128.85,127.93,12148,15.54,505, 6439, 53.00
2023-01-03,UCALFUEL, EQ,128.85,129.15,130.8,126.9, 128.30,128.7,129.13,5869,7.58,314, 3131, 53.35
2023-01-04,UCALFUEL, EQ,128.7,128.25,128.85,125.1, 125.65,126.05,126.44,9347,11.82,399, 5446, 58.26
2023-01-05,UCALFUEL, EQ,126.05,128.2,128.2,124.0,125.8,125.45,125.76,18599,23.39,400, 13333, 71.69
2023-01-06,UCALFUEL, EQ,125.45,126.7,127.25,125.05,125.6,126.05,126.13,9945,12.54,353, 6345, 63.80
2023-01-09,UCALFUEL, EQ,126.05,126.65,128.0,125.65,126.0,126.35,126.9,8655,10.98,355, 4663, 53.88
2023-01-10,UCALFUEL, EQ,126.35,127.1,127.1,124.0,124.7,124.9,125.15,7290,9.12,316, 4759, 65.28
2023-01-11,UCALFUEL, EQ,124.9,125.4,131.9,124.5, 128.00,127.8,128.16,20759,26.61,815, 11100, 53.47
2023-01-12,UCALFUEL, EQ,127.8,127.85,129.0,126.25, 126.40,126.65,127.22,5261,6.69,254, 2453, 46.63
2023-01-13,UCALFUEL, EQ,126.65,126.35,128.0,126.1,126.95,126.9,127.23,4905,6.24,235, 2936, 59.86
2023-01-16,UCALFUEL, EQ,126.9,127.85,129.35,126.0, 128.00,128.1,127.77,7887,10.08,454, 4394, 55.71
2023-01-17,UCALFUEL, EQ,128.1,127.2,128.1,126.0,126.5,126.35,127.13,13574,17.26,310, 10748, 79.18
2023-01-18,UCALFUEL, EQ,126.35,126.9,127.5,125.0,125.65,125.65,125.9,8683,10.93,340, 5161, 59.44
2023-01-19,UCALFUEL, EQ,125.65,125.5,126.9,125.0, 125.30,125.55,125.55,5761,7.23,200, 3615, 62.75
2023-01-20,UCALFUEL, EQ,125.55,125.8,127.0,124.0,126.05,125.25,124.86,9562,11.94,414, 4890, 51.14
2023-01-23,UCALFUEL, EQ,125.25,125.7,129.25,125.0,127.55,127.7,127.3,12233,15.57,482, 6416, 52.45
2023-01-24,UCALFUEL, EQ,127.7,129.55,129.55,126.2,128.65,127.6,127.39,11577,14.75,408, 7268, 62.78
2023-01-25,UCALFUEL, EQ,127.6,127.95,127.95,124.05, 124.95,124.85,125.1,27412,34.29,442, 20585, 75.09
2023-01-27,UCALFUEL, EQ,124.85,126.0,126.0,121.05, 122.05,122.05,122.39,10148,12.42,297, 8493, 83.69
2023-01-30,UCALFUEL, EQ,122.05,122.35,123.8,120.1, 122.95,121.95,121.72,8527,10.38,357, 4674, 54.81
2023-01-31,UCALFUEL, EQ,121.95,123.6,123.9,121.3,123.85,123.15,122.99,9601,11.81,422, 5323, 55.44
2023-02-01,UCALFUEL, EQ,123.15,124.9,125.55,120.15, 120.60,120.85,123.45,7045,8.7,363, 3556, 50.48
