DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,UGARSUGAR, EQ,102.75,102.9,109.7,99.7, 107.80,107.7,106.2,2555330,2713.65,18735, 960074, 37.57
2023-01-03,UGARSUGAR, EQ,107.7,108.5,110.0,105.35, 107.60,107.5,107.38,1158803,1244.31,9586, 377818, 32.60
2023-01-04,UGARSUGAR, EQ,107.5,107.9,108.35,103.15, 105.00,104.75,105.4,750986,791.53,7443, 263899, 35.14
2023-01-05,UGARSUGAR, EQ,104.75,105.0,106.35,100.3,101.0,101.8,103.38,778793,805.14,6723, 306499, 39.36
2023-01-06,UGARSUGAR, EQ,101.8,101.8,104.6,99.45,103.25,103.85,102.07,1199988,1224.83,9423, 405218, 33.77
2023-01-09,UGARSUGAR, EQ,103.85,104.85,105.85,101.1,101.25,101.55,103.26,793465,819.35,7273, 327549, 41.28
2023-01-10,UGARSUGAR, EQ,101.55,101.65,101.85,98.1,99.3,98.95,99.78,597591,596.29,6311, 222103, 37.17
2023-01-11,UGARSUGAR, EQ,98.95,99.65,107.2,99.3, 101.45,101.7,104.08,1909143,1987.03,14737, 426233, 22.33
2023-01-12,UGARSUGAR, EQ,101.7,102.25,104.5,99.9, 101.50,101.05,101.61,755727,767.88,6771, 287680, 38.07
2023-01-13,UGARSUGAR, EQ,101.05,101.95,103.5,101.0,101.9,101.85,102.25,646742,661.28,6282, 187050, 28.92
2023-01-16,UGARSUGAR, EQ,101.85,102.15,102.5,100.0, 100.60,100.4,101.13,384722,389.07,3213, 172300, 44.79
2023-01-17,UGARSUGAR, EQ,100.4,100.75,101.7,98.0,99.8,99.65,99.56,795268,791.75,7045, 237931, 29.92
2023-01-18,UGARSUGAR, EQ,99.65,100.2,106.0,99.7,101.65,101.95,103.12,1320276,1361.49,10298, 334469, 25.33
2023-01-19,UGARSUGAR, EQ,101.95,101.55,102.45,100.6, 100.85,100.9,101.38,294210,298.26,4116, 133996, 45.54
