DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,UJJIVANSFB, EQ,29.0,29.2,30.2,28.9, 29.85,29.9,29.72,8309317,2469.75,10408, 2591984, 31.19
2023-01-03,UJJIVANSFB, EQ,29.9,30.0,31.1,29.9, 30.90,30.85,30.64,11674638,3577.16,14633, 4667684, 39.98
2023-01-04,UJJIVANSFB, EQ,30.85,31.0,31.25,29.85, 30.05,30.2,30.5,7863181,2398.27,10969, 2839613, 36.11
2023-01-05,UJJIVANSFB, EQ,30.2,30.45,30.8,29.8,30.15,30.05,30.16,8936113,2695.43,12859, 2923216, 32.71
2023-01-06,UJJIVANSFB, EQ,30.05,30.1,30.3,28.85,29.3,29.3,29.5,7196060,2123.09,10017, 2651757, 36.85
2023-01-09,UJJIVANSFB, EQ,29.3,29.5,29.95,29.25,29.7,29.65,29.62,3933318,1165.21,6592, 1557607, 39.60
2023-01-10,UJJIVANSFB, EQ,29.65,29.75,29.8,29.1,29.35,29.3,29.32,2838838,832.35,7001, 1011590, 35.63
2023-01-11,UJJIVANSFB, EQ,29.3,29.4,29.45,28.85, 29.05,29.05,29.15,3512885,1023.89,6203, 1148527, 32.69
2023-01-12,UJJIVANSFB, EQ,29.05,29.2,29.35,28.25, 28.85,28.85,28.76,4744545,1364.76,7219, 1712313, 36.09
2023-01-13,UJJIVANSFB, EQ,28.85,28.6,28.95,28.3,28.7,28.65,28.67,12226217,3505.14,12857, 1415972, 11.58
2023-01-16,UJJIVANSFB, EQ,28.65,28.8,29.65,28.6, 28.90,28.9,28.98,14225358,4123.17,14753, 1868217, 13.13
2023-01-17,UJJIVANSFB, EQ,28.9,28.9,29.5,28.05,29.45,29.25,28.57,18691171,5340.14,19392, 1828992, 9.79
2023-01-18,UJJIVANSFB, EQ,29.25,29.05,29.25,28.5,28.7,28.8,28.83,12935541,3729.7,13462, 1810951, 14.00
2023-01-19,UJJIVANSFB, EQ,28.8,28.55,31.1,28.5, 29.70,29.55,29.93,35877921,10739.54,32028, 4579667, 12.76
2023-01-20,UJJIVANSFB, EQ,29.55,29.55,29.95,28.95,29.25,29.3,29.59,12114626,3584.25,11603, 2274477, 18.77
2023-01-23,UJJIVANSFB, EQ,29.3,29.55,29.85,28.2,28.4,28.35,29.09,17104374,4976.13,15672, 3989439, 23.32
2023-01-24,UJJIVANSFB, EQ,28.35,28.5,28.65,27.75,28.0,28.1,28.19,17424575,4911.25,12925, 1977232, 11.35
2023-01-25,UJJIVANSFB, EQ,28.1,28.0,28.4,27.35, 28.40,27.9,27.95,14181830,3963.14,14915, 2004804, 14.14
2023-01-27,UJJIVANSFB, EQ,27.9,28.15,28.4,26.7, 27.55,27.5,27.32,13004143,3553.31,13460, 1928618, 14.83
2023-01-30,UJJIVANSFB, EQ,27.5,27.65,28.15,27.15, 27.80,27.65,27.54,13293695,3661.1,10968, 1084501, 8.16
2023-01-31,UJJIVANSFB, EQ,27.65,27.9,28.9,27.8,28.9,28.75,28.41,10011143,2844.09,13329, 1840723, 18.39
2023-02-01,UJJIVANSFB, EQ,28.75,29.2,29.65,28.2, 28.25,28.65,29.18,8674183,2531.53,9276, 2470985, 28.49
2023-02-02,UJJIVANSFB, EQ,28.65,28.05,30.9,28.05, 29.65,29.6,29.64,14875085,4408.79,18499, 4667645, 31.38
2023-02-03,UJJIVANSFB, EQ,29.6,29.9,30.3,28.8, 29.45,29.5,29.47,9989881,2943.61,12527, 3045387, 30.48
2023-02-06,UJJIVANSFB, EQ,29.5,29.65,30.45,28.1, 28.80,29.45,30.03,13016278,3908.3,20967, 4563518, 35.06
2023-02-07,UJJIVANSFB, EQ,29.45,29.45,30.35,29.3, 29.55,29.6,29.81,9617990,2866.96,12132, 2296753, 23.88
2023-02-08,UJJIVANSFB, EQ,29.6,29.75,30.1,24.75, 28.40,28.4,29.65,13195762,3912.83,11183, 4832802, 36.62
2023-02-09,UJJIVANSFB, EQ,28.4,28.4,29.2,28.3, 28.95,28.85,28.82,5069507,1461.14,9457, 1799550, 35.50
2023-02-10,UJJIVANSFB, EQ,28.85,28.9,29.25,28.2, 28.55,28.3,28.55,5195475,1483.46,7214, 2162785, 41.63
2023-02-13,UJJIVANSFB, EQ,28.3,28.45,28.6,27.05,27.5,27.5,27.64,5763519,1592.91,10594, 1955451, 33.93
2023-02-14,UJJIVANSFB, EQ,27.5,27.6,27.95,26.95,27.65,27.65,27.35,3851010,1053.34,7424, 1259335, 32.70
2023-02-15,UJJIVANSFB, EQ,27.65,27.6,27.8,26.95, 27.30,27.2,27.4,3034645,831.43,6255, 1553414, 51.19
2023-02-16,UJJIVANSFB, EQ,27.2,27.4,27.6,27.25, 27.45,27.45,27.4,2296833,629.37,5151, 1131661, 49.27
2023-02-17,UJJIVANSFB, EQ,27.45,27.45,27.6,26.9, 27.60,27.4,27.22,3946488,1074.4,6169, 2169998, 54.99
2023-02-20,UJJIVANSFB, EQ,27.4,27.5,27.85,27.15, 27.35,27.3,27.47,3941385,1082.63,5271, 1558970, 39.55
