DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,UNIINFO, EQ,21.3,21.7,22.8,21.45, 21.90,22.4,22.19,7471,1.66,60, 6847, 91.65
2023-01-03,UNIINFO, EQ,22.4,22.95,23.85,18.55, 21.80,22.25,22.06,106006,23.38,414, 17505, 16.51
2023-01-04,UNIINFO, EQ,22.25,22.8,23.8,21.8, 23.45,22.65,22.78,11992,2.73,109, 6832, 56.97
2023-01-05,UNIINFO, EQ,22.65,23.8,23.85,22.1,22.45,22.95,23.14,66480,15.38,183, 5867, 8.83
2023-01-06,UNIINFO, EQ,22.95,23.4,23.4,21.45,23.0,22.3,22.18,10142,2.25,74, 3698, 36.46
2023-01-09,UNIINFO, EQ,22.3,22.8,22.85,21.8,22.3,22.05,22.41,4871,1.09,45, 4396, 90.25
2023-01-10,UNIINFO, EQ,22.05,21.3,22.7,21.3,22.0,22.3,22.12,2378,0.53,31, 719, 30.24
2023-01-11,UNIINFO, EQ,22.3,22.15,22.95,22.0, 22.80,22.05,22.29,4741,1.06,35, 3587, 75.66
2023-01-12,UNIINFO, EQ,22.05,23.1,26.45,22.05, 26.45,26.45,25.93,255097,66.15,878, 104134, 40.82
2023-01-13,UNIINFO, EQ,26.45,31.0,31.7,27.7,29.1,29.55,30.39,1535255,466.54,5792, 314046, 20.46
2023-01-16,UNIINFO, EQ,29.55,28.95,29.0,26.7, 27.40,27.35,27.76,134920,37.45,1054, 75305, 55.81
2023-01-17,UNIINFO, EQ,27.35,26.25,28.5,26.05,27.3,26.85,27.16,131049,35.6,661, 62636, 47.80
2023-01-18,UNIINFO, EQ,26.85,27.4,27.95,25.05,25.5,25.3,26.02,79999,20.81,395, 60961, 76.20
2023-01-19,UNIINFO, EQ,25.3,25.8,25.8,22.55, 23.95,24.15,23.9,175418,41.92,961, 96909, 55.24
2023-01-20,UNIINFO, EQ,24.15,25.0,25.15,23.55,24.1,24.2,24.35,92102,22.42,351, 44890, 48.74
2023-01-23,UNIINFO, EQ,24.2,24.2,24.4,23.0,23.85,23.5,23.49,23789,5.59,154, 16821, 70.71
2023-01-24,UNIINFO, EQ,23.5,23.5,23.9,23.0,23.9,23.6,23.47,9379,2.2,99, 6307, 67.25
2023-01-25,UNIINFO, EQ,23.6,23.6,23.6,22.3, 22.95,23.0,22.88,22151,5.07,130, 14620, 66.00
2023-01-27,UNIINFO, EQ,23.0,23.1,23.1,21.3, 22.20,22.2,22.21,20958,4.66,145, 17093, 81.56
2023-01-30,UNIINFO, EQ,22.2,22.65,23.3,20.6, 22.00,21.95,22.33,23585,5.27,180, 10948, 46.42
2023-01-31,UNIINFO, EQ,21.95,22.65,22.7,22.0,22.15,22.45,22.27,6950,1.55,64, 5476, 78.79
2023-02-01,UNIINFO, EQ,22.45,22.95,22.95,21.5, 21.50,21.6,21.99,23126,5.09,137, 19069, 82.46
2023-02-02,UNIINFO, EQ,21.6,21.1,21.85,21.1, 21.60,21.25,21.43,6916,1.48,45, 5761, 83.30
2023-02-03,UNIINFO, EQ,21.25,21.15,21.9,20.45, 20.55,20.75,20.72,15772,3.27,113, 11384, 72.18
2023-02-06,UNIINFO, EQ,20.75,20.5,21.75,19.8, 20.00,20.2,20.29,10070,2.04,114, 5102, 50.67
2023-02-07,UNIINFO, EQ,20.2,21.1,21.4,20.3, 21.05,20.75,20.97,48006,10.07,144, 42026, 87.54
2023-02-08,UNIINFO, EQ,20.75,21.45,21.45,20.8, 21.35,21.35,21.28,6508,1.39,53, 5085, 78.13
2023-02-09,UNIINFO, EQ,21.35,21.35,21.5,20.2, 21.50,21.05,21.19,6092,1.29,71, 3952, 64.87
2023-02-10,UNIINFO, EQ,21.05,21.5,21.5,19.95, 20.70,20.55,20.27,61828,12.53,264, 51177, 82.77
2023-02-13,UNIINFO, EQ,20.55,20.5,21.2,20.0,20.55,20.35,20.58,16469,3.39,106, 10055, 61.05
2023-02-14,UNIINFO, EQ,20.35,21.2,21.25,19.2,20.05,20.15,19.88,5566,1.11,122, 2277, 40.91
2023-02-15,UNIINFO, EQ,20.15,20.2,20.8,19.8, 20.30,20.15,20.24,6847,1.39,75, 3852, 56.26
2023-02-16,UNIINFO, EQ,20.15,19.3,20.65,19.05, 20.00,19.95,19.6,6789,1.33,71, 5047, 74.34
2023-02-17,UNIINFO, EQ,19.95,19.95,20.0,19.1, 19.10,19.35,19.53,5648,1.1,73, 4019, 71.16
2023-02-20,UNIINFO, EQ,19.35,19.35,19.85,19.1, 19.10,19.1,19.19,2864,0.55,67, 1764, 61.59
2023-02-21,UNIINFO, EQ,19.1,19.2,19.9,18.15, 18.95,18.9,19.11,16627,3.18,124, 11576, 69.62
2023-02-22,UNIINFO, EQ,18.9,19.75,19.75,18.35, 18.80,18.7,18.63,1873,0.35,54, 1322, 70.58
2023-02-23,UNIINFO, EQ,18.7,19.5,19.5,18.2,18.2,18.25,18.55,11362,2.11,92, 8939, 78.67
2023-02-24,UNIINFO, EQ,18.25,18.25,18.8,17.4, 18.00,17.9,18.06,10594,1.91,70, 9828, 92.77
2023-02-27,UNIINFO, EQ,17.9,17.6,17.95,16.3, 16.90,16.6,16.85,9379,1.58,159, 5592, 59.62
2023-02-28,UNIINFO, EQ,16.6,16.9,16.9,15.1, 15.70,15.8,15.83,11572,1.83,169, 5062, 43.74
2023-03-01,UNIINFO, EQ,15.8,15.9,17.0,15.9, 16.05,16.05,16.17,11619,1.88,128, 8203, 70.60
2023-03-02,UNIINFO, EQ,16.05,16.7,19.25,16.5, 17.65,17.7,18.67,216294,40.38,1304, 75160, 34.75
2023-03-03,UNIINFO, EQ,17.7,17.2,20.85,16.2, 20.35,20.4,18.77,201101,37.76,871, 71252, 35.43
2023-03-06,UNIINFO, EQ,20.4,20.85,24.2,20.8, 22.40,23.0,23.16,486124,112.57,2172, 124272, 25.56
2023-03-08,UNIINFO, EQ,23.0,23.0,23.95,22.0, 23.40,23.4,23.48,252016,59.16,1105, 48414, 19.21
2023-03-09,UNIINFO, EQ,23.4,23.9,23.9,21.1, 21.10,21.35,22.23,105215,23.39,606, 43429, 41.28
2023-03-10,UNIINFO, EQ,21.35,21.1,23.2,20.1, 22.85,22.9,21.99,129371,28.45,715, 46232, 35.74
2023-03-13,UNIINFO, EQ,22.9,23.05,23.05,20.65, 20.70,21.0,22.01,109502,24.11,530, 43839, 40.03
2023-03-14,UNIINFO, EQ,21.0,21.35,22.45,20.1, 21.70,22.2,21.31,48139,10.26,412, 20824, 43.26
2023-03-15,UNIINFO, EQ,22.2,22.5,23.35,20.45, 20.45,21.25,22.08,142845,31.54,623, 37895, 26.53
2023-03-16,UNIINFO, EQ,21.25,21.0,21.45,19.15, 19.15,19.4,20.2,106954,21.61,575, 35297, 33.00
2023-03-17,UNIINFO, EQ,19.4,18.8,19.9,18.0, 19.70,19.65,19.25,77969,15.01,553, 32480, 41.66
2023-03-20,UNIINFO, EQ,19.65,20.15,21.1,18.75,20.0,20.4,20.18,133914,27.02,445, 47184, 35.23
2023-03-21,UNIINFO, EQ,20.4,21.2,21.2,19.5, 19.85,19.75,20.21,51618,10.43,176, 17092, 33.11
2023-03-22,UNIINFO, EQ,19.75,20.15,20.75,18.5, 19.95,19.15,19.37,44665,8.65,270, 16894, 37.82
2023-03-23,UNIINFO, EQ,19.15,20.0,20.0,18.45, 18.95,18.75,18.97,46846,8.89,151, 22395, 47.81
2023-03-24,UNIINFO, EQ,18.75,19.15,19.3,18.0, 18.70,18.35,18.67,10245,1.91,93, 6039, 58.95
2023-03-27,UNIINFO, EQ,18.35,17.75,19.4,17.5, 17.60,17.7,17.89,7880,1.41,112, 4397, 55.80
2023-03-28,UNIINFO, EQ,17.7,18.1,18.9,17.55, 17.65,17.7,17.89,6165,1.1,64, 3447, 55.91
2023-03-29,UNIINFO, EQ,17.7,17.25,18.25,16.6, 17.50,17.5,17.58,17517,3.08,154, 13689, 78.15
2023-03-31,UNIINFO, EQ,17.5,17.65,18.9,17.65, 17.70,18.35,18.23,35450,6.46,103, 23331, 65.81
2023-04-03,UNIINFO, EQ,18.35,18.75,18.95,18.4, 18.95,18.85,18.79,3689,0.69,24, 3254, 88.21
2023-04-05,UNIINFO, EQ,18.85,19.5,19.5,18.15, 19.00,18.9,18.8,17078,3.21,96, 13454, 78.78
2023-04-06,UNIINFO, EQ,18.9,18.35,19.25,18.0, 19.20,19.1,18.66,3350,0.63,50, 1901, 56.75
2023-04-10,UNIINFO, EQ,19.1,18.45,19.5,18.35, 18.90,18.7,18.92,17798,3.37,113, 2819, 15.84
2023-04-11,UNIINFO, EQ,18.7,19.0,20.8,18.55, 19.65,20.0,20.02,93042,18.63,255, 29770, 32.00
2023-04-12,UNIINFO, EQ,20.0,20.5,22.75,19.55, 20.50,20.8,21.18,136313,28.87,465, 27656, 20.29
