DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-02-28,UNITEDPOLY, EQ,90.1,92.35,93.2,85.75, 88.90,88.8,89.75,2714,2.44,114, 1882, 69.34
2023-03-01,UNITEDPOLY, EQ,88.8,91.2,93.2,90.0, 90.00,90.75,91.68,8174,7.49,307, 5291, 64.73
2023-03-02,UNITEDPOLY, EQ,90.75,95.0,95.25,90.05, 93.60,93.65,92.2,10491,9.67,194, 9357, 89.19
2023-03-03,UNITEDPOLY, EQ,93.65,97.5,97.5,89.65, 90.50,90.5,90.87,14880,13.52,237, 8668, 58.25
2023-03-06,UNITEDPOLY, EQ,90.5,90.5,93.3,87.3, 87.35,87.9,89.39,6159,5.51,154, 4535, 73.63
2023-03-08,UNITEDPOLY, EQ,87.9,92.0,92.25,88.25, 92.25,91.65,91.7,18301,16.78,307, 12775, 69.80
2023-03-09,UNITEDPOLY, EQ,91.65,93.0,95.3,90.0, 90.30,91.45,92.18,10847,10.0,405, 4189, 38.62
2023-03-10,UNITEDPOLY, EQ,91.45,89.0,96.0,87.5, 94.25,92.6,93.5,9062,8.47,236, 5283, 58.30
2023-03-13,UNITEDPOLY, EQ,92.6,94.55,94.95,89.05, 89.25,89.45,90.55,6067,5.49,173, 4027, 66.38
2023-03-14,UNITEDPOLY, EQ,89.45,87.0,92.95,86.0, 92.50,90.45,89.51,3540,3.17,125, 2196, 62.03
2023-03-15,UNITEDPOLY, EQ,90.45,89.2,92.8,89.15, 92.00,92.0,91.49,1666,1.52,54, 867, 52.04
2023-03-16,UNITEDPOLY, EQ,92.0,95.95,95.95,88.0, 91.40,91.25,90.26,7390,6.67,188, 4401, 59.55
2023-03-17,UNITEDPOLY, EQ,91.25,91.85,93.65,89.0, 90.00,90.65,91.54,11136,10.19,132, 7365, 66.14
2023-03-20,UNITEDPOLY, EQ,90.65,88.1,90.0,86.2,87.0,87.7,88.16,3380,2.98,61, 2877, 85.12
2023-03-21,UNITEDPOLY, EQ,87.7,87.05,88.0,83.35, 84.00,84.55,85.41,4150,3.54,188, 1848, 44.53
2023-03-22,UNITEDPOLY, EQ,84.55,87.1,88.5,85.25, 86.20,87.0,87.16,7831,6.83,165, 4237, 54.11
2023-03-23,UNITEDPOLY, EQ,87.0,91.0,91.0,84.55, 87.50,87.7,87.87,6777,5.95,121, 4248, 62.68
2023-03-24,UNITEDPOLY, EQ,87.7,84.0,87.0,84.0, 84.70,84.9,85.09,5975,5.08,140, 4758, 79.63
2023-03-27,UNITEDPOLY, EQ,84.9,83.45,84.9,80.65, 80.65,80.65,81.67,13893,11.35,137, 12639, 90.97
2023-03-28,UNITEDPOLY, EQ,80.65,79.95,80.0,76.65, 76.65,76.65,77.25,6062,4.68,87, 5892, 97.20
2023-03-29,UNITEDPOLY, EQ,76.65,79.0,79.0,72.95, 75.00,74.2,74.2,24220,17.97,334, 16892, 69.74
2023-03-31,UNITEDPOLY, EQ,74.2,77.8,77.9,74.4, 75.00,74.95,76.2,19935,15.19,155, 14476, 72.62
2023-04-03,UNITEDPOLY, EQ,74.95,77.95,77.95,71.2, 73.00,72.75,73.54,18768,13.8,163, 15554, 82.88
2023-04-05,UNITEDPOLY, EQ,72.75,74.65,76.35,74.65, 76.35,76.35,76.27,7773,5.93,37, 7620, 98.03
2023-04-06,UNITEDPOLY, EQ,76.35,80.0,80.15,79.8, 80.15,80.15,80.06,6719,5.38,58, 6420, 95.55
2023-04-10,UNITEDPOLY, EQ,80.15,84.15,84.15,83.25, 84.15,84.15,84.11,2342,1.97,69, 2055, 87.75
