DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,UPL, EQ,716.15,718.6,724.0,711.95, 722.55,722.0,718.68,1259229,9049.79,27951, 531438, 42.20
2023-01-03,UPL, EQ,722.0,722.5,727.25,717.2, 719.80,719.35,721.06,1277112,9208.72,27617, 545983, 42.75
2023-01-04,UPL, EQ,719.35,721.2,722.1,712.0, 715.10,715.65,716.57,1354737,9707.67,42034, 641073, 47.32
2023-01-05,UPL, EQ,715.65,719.25,724.7,713.4,720.0,720.3,719.05,1407487,10120.51,52629, 659087, 46.83
2023-01-06,UPL, EQ,720.3,721.4,729.35,715.35,718.05,718.15,721.0,1209522,8720.64,35192, 431451, 35.67
2023-01-09,UPL, EQ,718.15,724.0,736.15,722.6,733.7,734.2,728.69,1358106,9896.42,51222, 712723, 52.48
2023-01-10,UPL, EQ,734.2,735.85,735.85,720.0,723.95,724.65,726.38,1484340,10781.91,31738, 821418, 55.34
2023-01-11,UPL, EQ,724.65,726.0,727.7,715.4, 717.75,717.8,719.6,1400355,10076.95,40548, 739003, 52.77
2023-01-12,UPL, EQ,717.8,721.4,722.9,714.35, 719.00,717.8,717.9,1272850,9137.84,43359, 628191, 49.35
2023-01-13,UPL, EQ,717.8,721.0,723.6,714.4,717.0,718.8,718.34,1310587,9414.45,36955, 716649, 54.68
2023-01-16,UPL, EQ,718.8,721.45,723.0,710.5, 714.00,714.05,714.72,1079570,7715.86,29336, 584591, 54.15
2023-01-17,UPL, EQ,714.05,715.0,723.0,713.6,720.6,719.2,718.38,1349682,9695.79,42238, 785510, 58.20
2023-01-18,UPL, EQ,719.2,721.25,734.0,721.05,733.0,732.35,727.22,1430862,10405.52,50941, 761546, 53.22
2023-01-19,UPL, EQ,732.35,732.0,748.85,730.0, 748.15,747.55,744.25,3553403,26446.33,72471, 1813951, 51.05
2023-01-20,UPL, EQ,747.55,747.6,748.4,735.2,737.95,737.8,741.69,979497,7264.86,36277, 488114, 49.83
2023-01-23,UPL, EQ,737.8,742.95,753.45,738.2,750.0,749.45,748.85,2526843,18922.28,47716, 1278377, 50.59
2023-01-24,UPL, EQ,749.45,750.0,753.6,743.0,744.35,745.95,747.2,1132275,8460.37,29527, 677862, 59.87
2023-01-25,UPL, EQ,745.95,744.0,746.75,735.25, 737.00,737.95,739.23,1865988,13794.04,43049, 1133271, 60.73
2023-01-27,UPL, EQ,737.95,741.65,756.7,735.2, 744.35,744.7,744.38,4903817,36502.96,61272, 3088510, 62.98
2023-01-30,UPL, EQ,744.7,748.75,750.55,737.6, 747.00,745.15,744.03,1189091,8847.24,37975, 549933, 46.25
2023-01-31,UPL, EQ,745.15,748.0,766.7,748.0,756.85,757.2,758.53,3629320,27529.56,93008, 1818264, 50.10
2023-02-01,UPL, EQ,757.2,765.1,771.6,730.0, 740.00,742.15,750.44,3623038,27188.7,88302, 1825348, 50.38
2023-02-02,UPL, EQ,742.15,741.0,744.95,684.25, 698.95,696.4,700.61,7698238,53934.95,190697, 3740245, 48.59
2023-02-03,UPL, EQ,696.4,701.1,718.0,697.5, 713.75,715.7,708.67,2601859,18438.49,76616, 1010341, 38.83
2023-02-06,UPL, EQ,715.7,715.5,716.7,701.35, 715.00,714.55,710.35,1366976,9710.27,36507, 620121, 45.36
2023-02-07,UPL, EQ,714.55,715.4,716.95,701.15, 709.20,709.25,708.55,1571287,11133.28,50757, 813064, 51.75
2023-02-08,UPL, EQ,709.25,711.0,723.8,710.0, 719.95,722.65,717.53,1050880,7540.41,30031, 493292, 46.94
2023-02-09,UPL, EQ,722.65,721.05,722.75,714.05, 717.00,717.1,717.64,1097590,7876.74,31896, 638809, 58.20
2023-02-10,UPL, EQ,717.1,717.1,729.35,716.55, 727.65,726.9,724.95,1282246,9295.64,35566, 434185, 33.86
2023-02-13,UPL, EQ,726.9,730.0,736.4,725.0,732.8,733.8,731.76,1265376,9259.5,32675, 603949, 47.73
2023-02-14,UPL, EQ,733.8,736.5,766.95,735.6,760.3,761.6,758.85,7326901,55600.52,130979, 2445821, 33.38
2023-02-15,UPL, EQ,761.6,760.95,770.4,759.2, 769.15,769.35,765.62,2786352,21332.93,46331, 1517995, 54.48
2023-02-16,UPL, EQ,769.35,770.0,773.7,767.0, 768.90,770.35,770.65,1575168,12139.02,47982, 996720, 63.28
2023-02-17,UPL, EQ,770.35,763.0,780.0,763.0, 772.45,770.15,772.47,2374926,18345.66,50728, 1184816, 49.89
2023-02-20,UPL, EQ,770.15,762.0,769.75,755.0, 757.90,757.95,762.09,1149759,8762.19,25554, 596738, 51.90
2023-02-21,UPL, EQ,757.95,761.75,764.1,744.3, 749.70,747.15,752.96,1964019,14788.27,34865, 1196691, 60.93
2023-02-22,UPL, EQ,747.15,745.05,749.3,736.55, 741.50,739.3,741.78,1950321,14467.17,37077, 1295755, 66.44
2023-02-23,UPL, EQ,739.3,743.0,756.65,740.0,747.0,745.15,748.22,2936268,21969.72,63726, 1488210, 50.68
2023-02-24,UPL, EQ,745.15,748.85,754.8,736.0, 738.15,738.3,744.11,2100294,15628.49,40690, 1306308, 62.20
2023-02-27,UPL, EQ,738.3,736.0,738.0,704.0, 708.00,708.3,713.55,2252550,16073.13,58874, 886633, 39.36
2023-02-28,UPL, EQ,708.3,708.0,710.6,693.25, 696.95,694.2,699.0,2676043,18705.62,57186, 1586471, 59.28
2023-03-01,UPL, EQ,694.2,699.2,714.45,694.55, 713.55,713.3,706.22,1835234,12960.71,49712, 638116, 34.77
2023-03-02,UPL, EQ,713.3,713.65,716.0,704.1, 706.00,705.9,708.68,993892,7043.51,36056, 574973, 57.85
2023-03-03,UPL, EQ,705.9,709.0,714.85,704.85, 709.60,710.0,709.8,1154106,8191.79,47486, 559132, 48.45
2023-03-06,UPL, EQ,710.0,713.55,718.5,709.0, 712.60,711.05,713.49,1066876,7612.03,31883, 546222, 51.20
2023-03-08,UPL, EQ,711.05,702.05,717.65,702.05, 716.00,716.7,712.55,1007033,7175.66,36807, 544761, 54.10
2023-03-09,UPL, EQ,716.7,716.7,723.2,710.95, 712.05,712.1,714.85,1212451,8667.23,30895, 601213, 49.59
2023-03-10,UPL, EQ,712.1,710.0,714.9,705.05, 713.10,711.65,710.35,1344227,9548.78,36483, 801801, 59.65
2023-03-13,UPL, EQ,711.65,712.0,718.9,702.25, 707.00,704.7,709.58,1173419,8326.38,45068, 590819, 50.35
2023-03-14,UPL, EQ,704.7,708.25,709.0,687.6, 700.45,697.65,696.35,1690322,11770.5,77250, 740697, 43.82
2023-03-15,UPL, EQ,697.65,705.8,714.9,700.15, 702.05,702.45,707.8,1248597,8837.54,41813, 376789, 30.18
2023-03-16,UPL, EQ,702.45,705.85,705.85,692.05, 699.25,696.4,697.38,713926,4978.77,29214, 225985, 31.65
2023-03-17,UPL, EQ,696.4,705.5,717.85,696.8, 714.00,715.65,712.24,2568540,18294.11,34046, 1740895, 67.78
2023-03-20,UPL, EQ,715.65,714.0,714.7,700.25,708.55,708.1,705.71,913310,6445.3,40216, 301864, 33.05
2023-03-21,UPL, EQ,708.1,708.65,720.0,704.65, 710.00,708.15,708.75,838991,5946.34,24344, 408480, 48.69
2023-03-22,UPL, EQ,708.15,710.0,717.2,710.0, 716.00,716.15,714.83,569287,4069.44,21737, 204356, 35.90
2023-03-23,UPL, EQ,716.15,717.75,718.2,708.1, 709.65,709.7,712.24,914840,6515.83,29736, 355487, 38.86
2023-03-24,UPL, EQ,709.7,713.8,713.8,694.2, 697.00,696.9,701.87,982591,6896.5,31269, 386019, 39.29
2023-03-27,UPL, EQ,696.9,698.45,708.0,693.2, 700.40,700.65,700.9,1355800,9502.79,31263, 626774, 46.23
2023-03-28,UPL, EQ,700.65,704.15,715.5,702.4, 714.70,714.65,710.19,2618934,18599.52,50266, 1036626, 39.58
2023-03-29,UPL, EQ,714.65,714.6,718.0,698.4, 709.00,707.4,706.58,2871532,20289.59,68595, 1159292, 40.37
2023-03-31,UPL, EQ,707.4,705.0,722.45,705.0, 717.15,717.65,717.34,1383231,9922.42,49237, 751130, 54.30
2023-04-03,UPL, EQ,717.65,718.5,731.25,717.8, 729.60,729.65,726.07,1768965,12843.89,43083, 775353, 43.83
2023-04-05,UPL, EQ,729.65,729.65,736.2,725.9, 734.35,732.3,731.59,1500202,10975.26,31321, 782388, 52.15
2023-04-06,UPL, EQ,732.3,734.0,734.0,723.0, 726.60,726.15,727.69,1391534,10126.04,40698, 769469, 55.30
2023-04-10,UPL, EQ,726.15,729.95,739.0,727.3, 735.30,737.75,735.42,883124,6494.64,35207, 313888, 35.54
2023-04-11,UPL, EQ,737.75,742.0,744.0,737.7, 740.55,742.55,740.99,731229,5418.36,21352, 279816, 38.27
2023-04-12,UPL, EQ,742.55,746.0,747.7,736.0, 738.50,739.9,740.31,1347769,9977.6,48482, 813043, 60.33
2023-04-13,UPL, EQ,739.9,739.9,744.1,734.0, 740.00,737.0,737.19,994060,7328.1,34888, 508879, 51.19
2023-04-17,UPL, EQ,737.0,742.95,744.5,732.0, 737.10,737.15,737.44,1043080,7692.11,51033, 601013, 57.62
2023-04-18,UPL, EQ,737.15,737.15,743.1,735.25, 740.25,738.65,739.21,1280463,9465.28,39088, 586383, 45.79
2023-04-19,UPL, EQ,738.65,741.9,741.9,731.5, 736.60,735.95,736.62,1012743,7460.09,42883, 603171, 59.56
2023-04-20,UPL, EQ,735.95,738.4,739.0,730.65, 730.65,732.05,734.0,1084257,7958.41,39343, 739226, 68.18
2023-04-21,UPL, EQ,732.05,732.5,743.9,731.0, 735.00,734.7,736.71,1829162,13475.64,47665, 1008941, 55.16
2023-04-24,UPL, EQ,734.7,735.0,739.2,723.25, 729.70,729.85,728.47,1049786,7647.41,39806, 520034, 49.54
2023-04-25,UPL, EQ,729.85,719.9,721.2,705.3,715.55,714.65,714.8,3407713,24358.33,77754, 1715506, 50.34
2023-04-26,UPL, EQ,714.65,714.7,716.8,707.5, 715.50,715.35,712.23,3621655,25794.65,53593, 2635035, 72.76
2023-04-27,UPL, EQ,715.35,716.3,730.75,716.3, 728.10,727.2,725.51,2470510,17923.76,53958, 1140738, 46.17
2023-04-28,UPL, EQ,727.2,733.0,741.9,730.8, 739.20,740.3,736.45,2374556,17487.37,50315, 1313824, 55.33
2023-05-02,UPL, EQ,740.3,744.3,759.95,743.55, 752.00,752.5,753.71,2225369,16772.88,44926, 962184, 43.24
2023-05-03,UPL, EQ,752.5,751.5,755.8,738.55,739.5,739.8,744.05,1031469,7674.63,27944, 506352, 49.09
2023-05-04,UPL, EQ,739.8,740.25,742.75,728.15, 731.65,731.5,734.24,1655943,12158.62,34087, 817163, 49.35
2023-05-05,UPL, EQ,731.5,735.1,735.1,709.65, 717.00,714.85,720.15,3930399,28304.8,57503, 2348817, 59.76
2023-05-08,UPL, EQ,714.85,718.7,725.0,700.45, 718.35,715.4,715.29,6201290,44357.38,99513, 2141272, 34.53
2023-05-09,UPL, EQ,715.4,710.0,710.0,692.65,693.75,694.4,698.33,8030712,56080.51,152020, 4368799, 54.40
2023-05-10,UPL, EQ,694.4,695.8,695.8,677.3,680.5,679.7,682.06,5803203,39581.42,119722, 3534627, 60.91
2023-05-11,UPL, EQ,679.7,682.2,687.45,680.35, 684.60,682.9,684.18,2228828,15249.24,70351, 1119849, 50.24
2023-05-12,UPL, EQ,682.9,685.05,685.8,673.0, 678.25,678.2,677.25,1805619,12228.62,56996, 972582, 53.86
2023-05-15,UPL, EQ,678.2,679.4,680.95,675.0, 676.70,675.95,677.84,2432818,16490.56,45096, 1761883, 72.42
2023-05-16,UPL, EQ,675.95,677.0,677.85,671.0,674.0,672.85,673.66,1866298,12572.53,42526, 1109108, 59.43
2023-05-17,UPL, EQ,672.85,673.25,683.45,672.15, 679.00,677.8,677.14,2527136,17112.13,56772, 1410634, 55.82
2023-05-18,UPL, EQ,677.8,679.0,681.8,672.15, 673.00,673.35,675.73,1408554,9518.08,31296, 618611, 43.92
2023-05-19,UPL, EQ,673.35,674.0,676.0,657.05,667.9,668.0,664.76,4632213,30793.31,88570, 2738282, 59.11
2023-05-22,UPL, EQ,668.0,668.0,672.05,661.95,671.2,670.4,666.27,2116815,14103.72,36171, 1279977, 60.47
2023-05-23,UPL, EQ,670.4,670.45,681.75,670.45, 680.70,680.65,678.03,2087867,14156.28,36177, 1140104, 54.61
2023-05-24,UPL, EQ,680.65,680.65,684.8,674.0, 682.30,682.25,681.72,1920527,13092.65,29981, 1121902, 58.42
2023-05-25,UPL, EQ,682.25,682.5,685.45,674.15, 676.45,675.8,677.6,2210598,14978.92,34438, 1372611, 62.09
