DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,URJA, EQ,9.95,10.05,10.3,10.0, 10.15,10.15,10.15,1924824,195.29,4367, 919029, 47.75
2023-01-03,URJA, EQ,10.15,10.25,10.35,10.15, 10.20,10.2,10.24,1273086,130.4,4202, 822617, 64.62
2023-01-04,URJA, EQ,10.2,10.3,10.35,10.0, 10.00,10.0,10.12,1255278,127.02,3469, 705759, 56.22
2023-01-05,URJA, EQ,10.0,10.1,10.2,9.9,10.05,10.05,10.03,1633019,163.86,3451, 614133, 37.61
2023-01-06,URJA, EQ,10.05,10.05,10.15,9.9,10.0,9.95,9.97,1184898,118.14,4312, 695471, 58.69
2023-01-09,URJA, EQ,9.95,10.1,10.15,9.9,9.9,9.95,10.01,1040359,104.12,3387, 595388, 57.23
2023-01-10,URJA, EQ,9.95,9.95,10.0,9.8,9.95,9.9,9.88,963436,95.15,3012, 474666, 49.27
2023-01-11,URJA, EQ,9.9,10.0,10.05,9.8, 9.95,9.9,9.94,1132335,112.52,3334, 522287, 46.12
2023-01-12,URJA, EQ,9.9,10.0,10.1,9.9, 9.90,9.95,9.96,997783,99.38,2463, 526339, 52.75
2023-01-13,URJA, EQ,9.95,10.05,10.05,9.9,10.0,9.95,9.96,925576,92.17,2876, 426535, 46.08
2023-01-16,URJA, EQ,9.95,9.95,10.05,9.8, 9.85,9.85,9.92,1015841,100.81,3059, 674731, 66.42
2023-01-17,URJA, EQ,9.85,9.9,10.0,9.8,9.95,9.9,9.9,979549,96.94,2648, 498506, 50.89
2023-01-18,URJA, EQ,9.9,9.95,9.95,9.8,9.85,9.85,9.85,700180,68.98,2629, 414173, 59.15
2023-01-19,URJA, EQ,9.85,9.9,9.9,9.6, 9.90,9.85,9.8,1346317,131.97,3465, 588454, 43.71
2023-01-20,URJA, EQ,9.85,9.75,9.85,9.7,9.75,9.75,9.78,1255235,122.72,2760, 525112, 41.83
2023-01-23,URJA, EQ,9.75,9.7,9.75,9.3,9.45,9.45,9.5,2180214,207.09,5608, 1091725, 50.07
2023-01-24,URJA, EQ,9.45,9.4,9.65,9.3,9.45,9.4,9.51,1459434,138.83,3201, 510189, 34.96
2023-01-25,URJA, EQ,9.4,9.35,9.45,9.25, 9.35,9.3,9.33,1058557,98.81,3276, 543779, 51.37
2023-01-27,URJA, EQ,9.3,9.25,9.4,9.05, 9.10,9.1,9.16,1646038,150.73,4569, 831704, 50.53
2023-01-30,URJA, EQ,9.1,9.15,9.15,8.9, 9.00,8.95,9.01,1404759,126.59,5766, 824312, 58.68
2023-01-31,URJA, EQ,8.95,9.1,9.55,8.95,9.4,9.45,9.35,1878912,175.62,3821, 895170, 47.64
2023-02-01,URJA, EQ,9.45,9.6,9.9,9.1, 9.30,9.3,9.53,1651511,157.35,5098, 729643, 44.18
2023-02-02,URJA, EQ,9.3,9.35,9.45,9.1, 9.20,9.1,9.25,1074950,99.42,3213, 481178, 44.76
2023-02-03,URJA, EQ,9.1,9.15,9.25,8.8, 9.00,8.95,9.0,1595354,143.55,4241, 762818, 47.81
2023-02-06,URJA, EQ,8.95,9.05,9.15,8.3, 9.00,8.95,8.96,2126451,190.44,5520, 869125, 40.87
2023-02-07,URJA, EQ,8.95,9.1,9.1,8.7, 8.75,8.75,8.85,1768816,156.5,5104, 1006141, 56.88
2023-02-08,URJA, EQ,8.75,8.95,9.5,8.85, 9.05,9.05,9.15,3070427,280.81,6998, 1261952, 41.10
2023-02-09,URJA, EQ,9.05,9.1,9.2,8.9, 9.00,9.0,9.02,1146269,103.36,4127, 552299, 48.18
2023-02-10,URJA, EQ,9.0,8.95,9.1,8.9, 8.95,8.95,9.0,1340913,120.7,3823, 579372, 43.21
2023-02-13,URJA, EQ,8.95,9.1,9.1,8.9,8.95,8.9,8.98,1183024,106.23,3185, 438411, 37.06
2023-02-14,URJA, EQ,8.9,8.9,9.0,8.8,8.85,8.85,8.87,630649,55.95,2650, 423895, 67.22
2023-02-15,URJA, EQ,8.85,8.85,9.05,8.75, 8.85,8.9,8.92,945311,84.36,2463, 396251, 41.92
2023-02-16,URJA, EQ,8.9,8.95,9.0,8.8, 8.85,8.85,8.89,764500,67.99,3262, 505209, 66.08
2023-02-17,URJA, EQ,8.85,8.65,8.85,8.65, 8.75,8.7,8.73,1125794,98.28,3352, 569454, 50.58
2023-02-20,URJA, EQ,8.7,8.7,8.75,8.55, 8.60,8.6,8.62,1318142,113.62,3509, 562173, 42.65
2023-02-21,URJA, EQ,8.6,8.6,8.65,8.4, 8.45,8.4,8.47,1026250,86.96,3562, 610024, 59.44
2023-02-22,URJA, EQ,8.4,8.4,8.45,8.1, 8.25,8.25,8.23,1399453,115.22,3545, 651031, 46.52
2023-02-23,URJA, EQ,8.25,8.25,8.55,8.15,8.2,8.2,8.28,1177808,97.47,3052, 473861, 40.23
2023-02-24,URJA, EQ,8.2,8.25,8.4,8.15, 8.20,8.2,8.25,1302281,107.49,3171, 425502, 32.67
2023-02-27,URJA, EQ,8.2,8.2,8.3,8.0, 8.10,8.05,8.12,1181353,95.87,4103, 605842, 51.28
2023-02-28,URJA, EQ,8.05,8.15,8.25,8.05, 8.15,8.15,8.13,1038884,84.44,2679, 460683, 44.34
2023-03-01,URJA, EQ,8.15,8.2,8.75,8.15, 8.55,8.6,8.54,2784581,237.68,4459, 899769, 32.31
2023-03-02,URJA, EQ,8.6,8.6,8.75,8.35, 8.40,8.4,8.49,1052393,89.34,2890, 581584, 55.26
2023-03-03,URJA, EQ,8.4,8.45,8.5,8.25, 8.30,8.25,8.35,1776358,148.32,3815, 767244, 43.19
2023-03-06,URJA, EQ,8.25,8.35,8.6,8.1, 8.15,8.15,8.36,2209997,184.82,3658, 979186, 44.31
2023-03-08,URJA, EQ,8.15,8.25,8.3,8.05, 8.10,8.1,8.16,1770097,144.51,3323, 982917, 55.53
2023-03-09,URJA, EQ,8.1,8.1,8.3,8.05, 8.15,8.1,8.16,1428526,116.63,2575, 650830, 45.56
2023-03-10,URJA, EQ,8.1,8.05,8.2,8.0, 8.10,8.1,8.11,1386922,112.46,2731, 719591, 51.88
2023-03-13,URJA, EQ,8.1,8.1,8.15,7.8, 7.85,7.9,7.99,1919132,153.36,5333, 1191548, 62.09
2023-03-14,URJA, EQ,7.9,7.85,8.0,7.6, 7.65,7.65,7.73,2070755,160.12,4325, 1032688, 49.87
2023-03-15,URJA, EQ,7.65,7.7,8.3,7.7, 7.75,7.75,8.04,3749077,301.31,5973, 1522059, 40.60
2023-03-16,URJA, EQ,7.75,7.85,7.9,7.4, 7.60,7.65,7.66,2527200,193.59,4540, 852203, 33.72
2023-03-17,URJA, EQ,7.65,7.75,7.9,7.55, 7.60,7.6,7.67,1496009,114.71,3734, 727237, 48.61
2023-03-20,URJA, EQ,7.6,7.35,7.85,7.35,7.4,7.4,7.47,1648927,123.19,3395, 872969, 52.94
2023-03-21,URJA, EQ,7.4,7.5,7.6,7.25, 7.25,7.3,7.44,2319302,172.65,3880, 967372, 41.71
2023-03-22,URJA, EQ,7.3,7.35,7.4,7.05, 7.10,7.1,7.2,2232936,160.81,5226, 1321505, 59.18
2023-03-23,URJA, EQ,7.1,7.1,7.2,7.0, 7.05,7.0,7.06,2036495,143.76,4422, 886246, 43.52
2023-03-24,URJA, EQ,7.0,7.05,7.25,6.65, 6.80,6.75,6.91,3069471,211.95,4981, 1297345, 42.27
2023-03-27,URJA, EQ,6.75,6.85,6.9,6.3, 6.45,6.4,6.49,2510479,163.03,4868, 1247641, 49.70
2023-03-28,URJA, EQ,6.4,6.5,7.0,6.0, 6.10,6.15,6.53,7996168,522.54,8319, 3063125, 38.31
2023-03-29,URJA, EQ,6.15,6.15,6.45,6.1, 6.20,6.25,6.29,3758458,236.35,5714, 2120258, 56.41
2023-03-31,URJA, EQ,6.25,6.4,6.9,6.3, 6.90,6.85,6.74,3938107,265.54,6228, 2067787, 52.51
2023-04-03,URJA, EQ,6.85,7.0,7.6,6.95, 7.45,7.5,7.29,5344716,389.43,5664, 1567130, 29.32
2023-04-05,URJA, EQ,7.5,7.9,9.0,7.65, 9.00,8.95,8.67,28263081,2449.84,16038, 5662954, 20.04
