DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,VAIBHAVGBL, EQ,310.9,312.9,314.9,305.1, 307.30,307.85,309.14,239921,741.69,11570, 138629, 57.78
2023-01-03,VAIBHAVGBL, EQ,307.85,309.4,310.85,304.05, 306.00,305.0,307.3,289255,888.88,11519, 177454, 61.35
2023-01-04,VAIBHAVGBL, EQ,305.0,306.55,307.75,298.95, 300.00,299.75,301.55,353164,1064.98,12829, 226480, 64.13
2023-01-05,VAIBHAVGBL, EQ,299.75,302.0,303.0,299.0,300.0,299.9,300.14,176018,528.3,11610, 111363, 63.27
2023-01-06,VAIBHAVGBL, EQ,299.9,300.0,301.6,297.0,299.7,298.4,298.72,147891,441.79,12371, 92086, 62.27
2023-01-09,VAIBHAVGBL, EQ,298.4,300.8,306.0,299.55,302.9,301.85,301.46,111978,337.57,7901, 47291, 42.23
2023-01-10,VAIBHAVGBL, EQ,301.85,303.15,304.0,298.85,300.0,300.05,300.73,90135,271.06,7228, 54344, 60.29
2023-01-11,VAIBHAVGBL, EQ,300.05,301.4,302.5,298.15, 299.00,298.85,299.91,95618,286.77,7951, 57756, 60.40
2023-01-12,VAIBHAVGBL, EQ,298.85,298.95,301.45,296.25, 297.05,297.15,298.34,140866,420.26,11121, 80498, 57.15
2023-01-13,VAIBHAVGBL, EQ,297.15,298.55,300.0,296.15,299.35,299.05,297.8,124514,370.81,10002, 68202, 54.77
2023-01-16,VAIBHAVGBL, EQ,299.05,300.5,301.6,299.05, 299.80,299.9,300.22,102316,307.17,7492, 58453, 57.13
2023-01-17,VAIBHAVGBL, EQ,299.9,300.65,303.0,297.3,298.65,298.4,300.3,107215,321.97,7706, 54217, 50.57
2023-01-18,VAIBHAVGBL, EQ,298.4,298.4,300.95,297.35,298.3,297.8,298.51,94192,281.17,6815, 52407, 55.64
2023-01-19,VAIBHAVGBL, EQ,297.8,297.0,298.95,295.1, 296.90,296.75,297.33,102221,303.93,6256, 61143, 59.81
2023-01-20,VAIBHAVGBL, EQ,296.75,298.2,298.75,293.75,294.45,294.25,295.51,88577,261.75,5883, 56892, 64.23
2023-01-23,VAIBHAVGBL, EQ,294.25,295.8,296.9,290.2,291.5,291.0,292.94,122912,360.06,8890, 71593, 58.25
2023-01-24,VAIBHAVGBL, EQ,291.0,292.5,304.35,291.7,298.0,299.35,299.28,427441,1279.27,14035, 119089, 27.86
2023-01-25,VAIBHAVGBL, EQ,299.35,300.85,301.8,295.35, 297.80,297.1,297.73,167549,498.84,15597, 43561, 26.00
2023-01-27,VAIBHAVGBL, EQ,297.1,297.0,299.4,289.5, 292.00,291.75,293.04,124379,364.47,9470, 62084, 49.92
2023-01-30,VAIBHAVGBL, EQ,291.75,292.75,305.0,289.5, 302.00,298.1,295.86,121218,358.64,7805, 67736, 55.88
2023-01-31,VAIBHAVGBL, EQ,298.1,302.0,306.1,298.75,305.0,304.2,303.85,147189,447.23,9322, 78639, 53.43
2023-02-01,VAIBHAVGBL, EQ,304.2,308.0,308.75,288.4, 294.00,293.3,300.56,178719,537.16,12931, 69804, 39.06
2023-02-02,VAIBHAVGBL, EQ,293.3,294.75,300.5,294.05, 298.20,298.15,297.88,84429,251.5,8844, 42993, 50.92
2023-02-03,VAIBHAVGBL, EQ,298.15,297.0,300.4,295.0, 295.90,296.4,297.98,94657,282.06,10979, 43486, 45.94
2023-02-06,VAIBHAVGBL, EQ,296.4,297.9,298.95,290.3, 293.40,292.9,295.54,94513,279.32,7659, 48781, 51.61
2023-02-07,VAIBHAVGBL, EQ,292.9,294.35,296.0,288.55, 292.95,292.9,292.44,120321,351.86,8802, 63445, 52.73
2023-02-08,VAIBHAVGBL, EQ,292.9,292.95,295.7,290.5, 292.85,291.9,292.97,96571,282.93,6338, 50001, 51.78
2023-02-09,VAIBHAVGBL, EQ,291.9,293.5,295.7,291.6, 293.25,292.7,293.85,100246,294.58,7850, 45220, 45.11
2023-02-10,VAIBHAVGBL, EQ,292.7,292.3,304.0,292.3, 300.65,300.75,300.65,186828,561.7,10714, 73902, 39.56
2023-02-13,VAIBHAVGBL, EQ,300.75,301.7,318.9,300.75,312.0,311.8,313.5,570408,1788.23,19903, 161696, 28.35
2023-02-14,VAIBHAVGBL, EQ,311.8,311.25,322.75,309.9,310.9,312.1,316.59,250262,792.31,12788, 86334, 34.50
2023-02-15,VAIBHAVGBL, EQ,312.1,308.4,321.5,305.1, 318.00,317.85,317.27,227575,722.03,9599, 80567, 35.40
2023-02-16,VAIBHAVGBL, EQ,317.85,319.45,321.25,313.45, 315.45,316.0,317.64,103820,329.77,6618, 43523, 41.92
2023-02-17,VAIBHAVGBL, EQ,316.0,315.0,326.75,313.9, 324.75,322.85,323.11,277259,895.86,9845, 94393, 34.05
2023-02-20,VAIBHAVGBL, EQ,322.85,324.05,345.15,323.25, 336.00,335.6,336.54,565330,1902.55,20591, 194262, 34.36
2023-02-21,VAIBHAVGBL, EQ,335.6,337.1,343.55,325.3, 331.20,328.45,336.86,333516,1123.49,14526, 81678, 24.49
2023-02-22,VAIBHAVGBL, EQ,328.45,328.85,338.0,316.7, 324.90,321.8,325.67,401785,1308.5,17441, 91887, 22.87
2023-02-23,VAIBHAVGBL, EQ,321.8,325.0,328.5,320.55,323.0,323.35,324.13,148457,481.2,8639, 41354, 27.86
2023-02-24,VAIBHAVGBL, EQ,323.35,325.0,330.45,319.85, 324.05,323.55,324.58,178548,579.53,12113, 57729, 32.33
