DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,VINDHYATEL, EQ,1604.05,1599.9,1735.7,1594.7, 1702.00,1712.95,1688.66,31342,529.26,5565, 9282, 29.62
2023-01-03,VINDHYATEL, EQ,1712.95,1729.9,1731.7,1662.05, 1694.70,1683.6,1691.9,12892,218.12,2956, 4934, 38.27
2023-01-04,VINDHYATEL, EQ,1683.6,1697.0,1714.45,1640.0, 1640.10,1651.95,1676.08,9853,165.14,2180, 6437, 65.33
2023-01-05,VINDHYATEL, EQ,1651.95,1668.45,1686.2,1636.05,1686.2,1676.3,1660.4,8029,133.31,1984, 3982, 49.60
2023-01-06,VINDHYATEL, EQ,1676.3,1689.9,1788.8,1660.75,1764.85,1770.7,1753.93,51568,904.47,8002, 16949, 32.87
2023-01-09,VINDHYATEL, EQ,1770.7,1813.2,1828.15,1732.2,1754.0,1773.85,1792.17,71133,1274.83,11229, 17324, 24.35
2023-01-10,VINDHYATEL, EQ,1773.85,1805.0,1805.0,1704.65,1710.0,1717.8,1755.85,22341,392.27,5127, 6815, 30.50
2023-01-11,VINDHYATEL, EQ,1717.8,1729.7,1747.35,1708.05, 1735.00,1730.45,1728.73,7872,136.09,2389, 3279, 41.65
2023-01-12,VINDHYATEL, EQ,1730.45,1747.75,1769.0,1720.05, 1720.05,1741.85,1741.6,9252,161.13,2106, 5012, 54.17
2023-01-13,VINDHYATEL, EQ,1741.85,1758.0,1758.0,1705.05,1705.35,1710.3,1725.73,8959,154.61,2228, 4170, 46.55
2023-01-16,VINDHYATEL, EQ,1710.3,1700.0,1725.1,1641.2, 1655.00,1657.8,1682.27,7167,120.57,1780, 3615, 50.44
2023-01-17,VINDHYATEL, EQ,1657.8,1662.55,1665.45,1588.0,1640.85,1625.0,1623.9,12431,201.87,2950, 5371, 43.21
2023-01-18,VINDHYATEL, EQ,1625.0,1625.0,1665.45,1609.65,1647.0,1642.9,1635.7,7398,121.01,1990, 2810, 37.98
2023-01-19,VINDHYATEL, EQ,1642.9,1640.0,1684.5,1611.2, 1684.50,1669.9,1658.48,4408,73.11,1304, 2444, 55.44
2023-01-20,VINDHYATEL, EQ,1669.9,1668.0,1697.65,1662.4,1695.2,1686.65,1684.24,5831,98.21,1952, 2270, 38.93
