DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,VISHWARAJ, EQ,18.65,18.7,19.05,18.6, 18.85,18.75,18.81,667691,125.58,2048, 285936, 42.82
2023-01-03,VISHWARAJ, EQ,18.75,18.7,19.05,18.55, 18.65,18.6,18.72,879102,164.61,2321, 362942, 41.29
2023-01-04,VISHWARAJ, EQ,18.6,18.65,18.85,18.0, 18.25,18.1,18.28,803477,146.89,2073, 412527, 51.34
2023-01-05,VISHWARAJ, EQ,18.1,18.1,18.5,17.9,18.05,18.1,18.09,538379,97.41,1444, 197005, 36.59
2023-01-06,VISHWARAJ, EQ,18.1,18.5,18.5,17.65,17.8,17.7,17.91,862496,154.47,2084, 381804, 44.27
2023-01-09,VISHWARAJ, EQ,17.7,18.0,18.15,17.2,17.35,17.35,17.59,779534,137.12,2008, 466113, 59.79
2023-01-10,VISHWARAJ, EQ,17.35,17.4,17.6,17.2,17.4,17.45,17.42,522344,91.0,1498, 239910, 45.93
2023-01-11,VISHWARAJ, EQ,17.45,17.5,18.25,17.15, 17.55,17.55,17.77,919165,163.36,2176, 324168, 35.27
2023-01-12,VISHWARAJ, EQ,17.55,17.65,17.75,17.35, 17.45,17.4,17.49,366658,64.13,1114, 204130, 55.67
2023-01-13,VISHWARAJ, EQ,17.4,17.5,17.65,17.2,17.4,17.35,17.4,420420,73.14,1117, 201929, 48.03
2023-01-16,VISHWARAJ, EQ,17.35,17.4,17.45,17.15, 17.30,17.2,17.27,315156,54.43,1096, 166009, 52.68
2023-01-17,VISHWARAJ, EQ,17.2,17.3,17.6,17.05,17.15,17.15,17.22,492089,84.72,1510, 214724, 43.64
2023-01-18,VISHWARAJ, EQ,17.15,17.25,17.6,17.15,17.4,17.35,17.38,429313,74.6,1035, 179051, 41.71
2023-01-19,VISHWARAJ, EQ,17.35,17.3,17.5,17.1, 17.25,17.2,17.23,433033,74.63,1218, 175242, 40.47
2023-01-20,VISHWARAJ, EQ,17.2,17.3,17.45,17.1,17.15,17.15,17.21,263364,45.33,909, 139710, 53.05
2023-01-23,VISHWARAJ, EQ,17.15,17.3,17.45,16.95,17.0,17.0,17.09,356631,60.93,1142, 228883, 64.18
2023-01-24,VISHWARAJ, EQ,17.0,17.0,17.15,16.85,17.0,16.95,16.97,389998,66.17,1081, 198812, 50.98
2023-01-25,VISHWARAJ, EQ,16.95,17.0,17.05,16.65, 16.80,16.75,16.78,433991,72.83,1317, 269459, 62.09
2023-01-27,VISHWARAJ, EQ,16.75,16.75,17.0,16.0, 16.70,16.6,16.46,648849,106.8,2328, 394769, 60.84
2023-01-30,VISHWARAJ, EQ,16.6,16.5,16.95,16.0, 16.15,16.1,16.32,625877,102.17,2027, 304671, 48.68
2023-01-31,VISHWARAJ, EQ,16.1,16.2,16.85,16.1,16.7,16.75,16.59,476687,79.1,1556, 253299, 53.14
2023-02-01,VISHWARAJ, EQ,16.75,16.75,17.0,16.25, 16.40,16.35,16.68,552065,92.07,1628, 328288, 59.47
