DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,WEALTH, EQ,382.5,386.8,388.0,370.0, 370.00,372.85,376.09,1799,6.77,121, 1100, 61.15
2023-01-03,WEALTH, EQ,372.85,377.55,377.55,343.15, 355.00,348.75,352.75,3349,11.81,202, 2046, 61.09
2023-01-04,WEALTH, EQ,348.75,358.0,358.0,335.95, 349.00,349.75,342.15,1979,6.77,133, 1267, 64.02
2023-01-05,WEALTH, EQ,349.75,357.75,357.75,340.3,340.3,340.75,348.65,999,3.48,93, 524, 52.45
2023-01-06,WEALTH, EQ,340.75,365.75,370.95,344.95,357.8,353.65,359.6,1767,6.35,127, 708, 40.07
2023-01-09,WEALTH, EQ,353.65,357.6,357.6,350.15,356.9,356.85,355.19,187,0.66,24, 82, 43.85
2023-01-10,WEALTH, EQ,356.85,365.0,365.0,340.85,342.0,341.9,349.99,2815,9.85,210, 1483, 52.68
2023-01-11,WEALTH, EQ,341.9,356.45,359.7,336.95, 342.50,342.3,344.12,434,1.49,57, 191, 44.01
2023-01-12,WEALTH, EQ,342.3,355.0,355.0,330.0, 330.00,336.4,339.15,554,1.88,40, 332, 59.93
2023-01-13,WEALTH, EQ,336.4,336.65,345.05,327.85,337.7,341.4,337.71,805,2.72,79, 388, 48.20
2023-01-16,WEALTH, EQ,341.4,346.2,356.3,331.0, 331.00,335.45,344.66,679,2.34,66, 346, 50.96
2023-01-17,WEALTH, EQ,335.45,340.95,356.15,325.0,349.2,349.65,335.93,794,2.67,87, 317, 39.92
2023-01-18,WEALTH, EQ,349.65,349.65,356.95,330.0,330.15,330.5,342.51,1902,6.51,135, 962, 50.58
2023-01-19,WEALTH, EQ,330.5,336.1,396.6,333.0, 385.05,387.65,384.81,28197,108.51,1372, 10556, 37.44
2023-01-20,WEALTH, EQ,387.65,385.0,385.0,345.5,350.05,349.5,361.25,11641,42.05,790, 4929, 42.34
2023-01-23,WEALTH, EQ,349.5,356.0,356.0,334.0,341.5,340.1,345.77,4058,14.03,271, 1911, 47.09
2023-01-24,WEALTH, EQ,340.1,345.05,345.05,309.5,309.5,322.8,329.6,6253,20.61,278, 4642, 74.24
2023-01-25,WEALTH, EQ,322.8,323.95,329.0,311.0, 315.00,315.15,318.33,3678,11.71,334, 1318, 35.83
2023-01-27,WEALTH, EQ,315.15,327.4,332.0,295.0, 299.00,297.2,307.56,2021,6.22,173, 1183, 58.54
2023-01-30,WEALTH, EQ,297.2,308.0,317.25,273.55, 317.25,301.6,292.43,9693,28.35,688, 4205, 43.38
2023-01-31,WEALTH, EQ,301.6,314.05,350.0,303.95,330.0,336.6,337.98,18287,61.81,1300, 5279, 28.87
2023-02-01,WEALTH, EQ,336.6,338.5,352.75,325.35, 352.75,348.0,340.72,5279,17.99,288, 3793, 71.85
2023-02-02,WEALTH, EQ,348.0,336.35,360.0,332.0, 350.00,353.5,350.59,5115,17.93,357, 3049, 59.61
2023-02-03,WEALTH, EQ,353.5,346.95,355.3,336.2, 340.00,340.0,341.07,1641,5.6,125, 1010, 61.55
2023-02-06,WEALTH, EQ,340.0,334.7,355.0,334.7, 335.25,347.25,346.87,3475,12.05,85, 3178, 91.45
2023-02-07,WEALTH, EQ,347.25,346.95,349.0,330.0, 340.00,340.0,339.52,3662,12.43,232, 2541, 69.39
2023-02-08,WEALTH, EQ,340.0,339.1,351.0,335.3, 340.00,339.95,342.51,3427,11.74,187, 2209, 64.46
2023-02-09,WEALTH, EQ,339.95,340.05,350.0,335.9, 350.00,347.05,344.38,1378,4.75,141, 822, 59.65
