DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,WEIZMANIND, EQ,101.65,103.5,103.9,100.2, 102.00,102.0,102.07,10333,10.55,554, 5236, 50.67
2023-01-03,WEIZMANIND, EQ,102.0,101.15,104.9,101.15, 103.15,103.5,103.57,19943,20.65,382, 10922, 54.77
2023-01-04,WEIZMANIND, EQ,103.5,104.8,104.8,99.0, 100.10,100.5,100.79,15468,15.59,322, 7767, 50.21
2023-01-05,WEIZMANIND, EQ,100.5,98.3,103.45,98.3,100.05,100.1,101.47,14702,14.92,324, 6487, 44.12
2023-01-06,WEIZMANIND, EQ,100.1,103.5,120.1,100.3,113.9,116.1,116.84,492166,575.03,5029, 104096, 21.15
2023-01-09,WEIZMANIND, EQ,116.1,114.0,128.0,112.0,114.3,115.15,119.16,368277,438.83,5373, 88957, 24.15
2023-01-10,WEIZMANIND, EQ,115.15,115.15,115.15,110.55,112.0,111.95,112.62,28577,32.18,686, 16300, 57.04
2023-01-11,WEIZMANIND, EQ,111.95,112.9,119.8,109.45, 115.50,114.9,116.01,79960,92.76,2068, 28327, 35.43
2023-01-12,WEIZMANIND, EQ,114.9,115.5,119.0,115.5, 116.00,116.75,117.01,19691,23.04,653, 9889, 50.22
2023-01-13,WEIZMANIND, EQ,116.75,114.5,116.95,113.7,114.8,113.95,114.53,19248,22.04,427, 12640, 65.67
2023-01-16,WEIZMANIND, EQ,113.95,116.4,118.5,114.0, 115.00,115.05,116.12,34939,40.57,626, 14706, 42.09
2023-01-17,WEIZMANIND, EQ,115.05,115.95,125.5,114.0,121.2,121.3,121.65,195967,238.4,4306, 54232, 27.67
2023-01-18,WEIZMANIND, EQ,121.3,123.0,127.0,121.5,122.6,122.6,124.52,92723,115.46,2330, 37622, 40.57
2023-01-19,WEIZMANIND, EQ,122.6,123.4,123.75,116.8, 118.00,118.4,119.05,26020,30.98,912, 15570, 59.84
2023-01-20,WEIZMANIND, EQ,118.4,118.9,122.15,114.7,118.1,116.95,118.63,17023,20.19,604, 9114, 53.54
2023-01-23,WEIZMANIND, EQ,116.95,117.0,118.45,112.05,112.35,112.8,114.58,20589,23.59,525, 13921, 67.61
2023-01-24,WEIZMANIND, EQ,112.8,113.0,117.35,112.1,114.0,114.05,114.66,14439,16.56,416, 7264, 50.31
2023-01-25,WEIZMANIND, EQ,114.05,114.0,115.7,110.2, 113.65,112.25,112.52,12067,13.58,353, 6655, 55.15
2023-01-27,WEIZMANIND, EQ,112.25,116.5,116.5,102.25, 107.25,106.0,107.88,31065,33.51,708, 18048, 58.10
2023-01-30,WEIZMANIND, EQ,106.0,110.5,110.5,104.3, 104.45,104.7,106.35,16661,17.72,346, 7460, 44.78
2023-01-31,WEIZMANIND, EQ,104.7,106.85,109.0,105.5,109.0,107.25,106.89,7949,8.5,242, 3279, 41.25
2023-02-01,WEIZMANIND, EQ,107.25,109.6,112.25,105.1, 105.10,106.6,109.09,11834,12.91,281, 6543, 55.29
2023-02-02,WEIZMANIND, EQ,106.6,108.8,108.8,104.2, 105.65,104.75,106.0,5148,5.46,198, 3091, 60.04
2023-02-03,WEIZMANIND, EQ,104.75,104.3,107.35,100.0, 107.35,105.45,102.91,23314,23.99,445, 10527, 45.15
2023-02-06,WEIZMANIND, EQ,105.45,110.0,112.85,107.0, 108.00,108.6,110.59,39054,43.19,1065, 18197, 46.59
2023-02-07,WEIZMANIND, EQ,108.6,107.05,111.45,104.5, 109.00,106.5,107.51,18076,19.43,516, 9019, 49.89
2023-02-08,WEIZMANIND, EQ,106.5,108.9,108.9,105.35, 105.65,105.9,106.21,8604,9.14,294, 5136, 59.69
2023-02-09,WEIZMANIND, EQ,105.9,105.1,107.75,102.1, 106.10,105.75,104.81,11993,12.57,594, 5102, 42.54
2023-02-10,WEIZMANIND, EQ,105.75,109.0,109.0,105.1, 105.10,106.75,107.48,8856,9.52,655, 3996, 45.12
2023-02-13,WEIZMANIND, EQ,106.75,108.8,108.8,104.25,104.9,105.15,105.45,6260,6.6,332, 4143, 66.18
2023-02-14,WEIZMANIND, EQ,105.15,107.9,107.9,103.0,103.25,103.5,104.7,6424,6.73,195, 5344, 83.19
2023-02-15,WEIZMANIND, EQ,103.5,103.5,106.4,100.85, 103.00,102.3,103.19,17611,18.17,517, 10404, 59.08
2023-02-16,WEIZMANIND, EQ,102.3,103.6,105.9,102.1, 103.55,103.85,103.38,8317,8.6,356, 5170, 62.16
2023-02-17,WEIZMANIND, EQ,103.85,103.7,105.8,102.5, 103.70,103.2,103.91,10443,10.85,618, 3998, 38.28
2023-02-20,WEIZMANIND, EQ,103.2,105.5,105.5,100.2, 101.80,101.35,102.22,10080,10.3,444, 7038, 69.82
2023-02-21,WEIZMANIND, EQ,101.35,101.0,103.2,100.0, 101.00,100.6,100.85,11398,11.5,541, 5466, 47.96
2023-02-22,WEIZMANIND, EQ,100.6,100.6,101.35,94.55, 95.30,95.6,96.46,16301,15.72,655, 9743, 59.77
2023-02-23,WEIZMANIND, EQ,95.6,95.3,95.95,94.0,94.3,94.5,94.85,9584,9.09,361, 5619, 58.63
2023-02-24,WEIZMANIND, EQ,94.5,95.25,95.6,93.9, 94.10,94.15,94.63,6465,6.12,251, 2913, 45.06
2023-02-27,WEIZMANIND, EQ,94.15,94.9,95.65,92.6, 93.30,94.1,93.88,6765,6.35,410, 3339, 49.36
