DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,WELSPUNIND, EQ,77.1,77.65,77.7,76.5, 76.90,76.8,76.98,385089,296.43,3029, 204993, 53.23
2023-01-03,WELSPUNIND, EQ,76.8,77.0,77.2,76.0, 76.50,76.55,76.6,412569,316.02,3288, 188790, 45.76
2023-01-04,WELSPUNIND, EQ,76.55,76.75,77.0,74.75, 75.30,75.25,75.42,431783,325.66,3862, 188948, 43.76
2023-01-05,WELSPUNIND, EQ,75.25,75.7,75.75,73.55,74.2,74.0,74.21,688184,510.67,7057, 360313, 52.36
2023-01-06,WELSPUNIND, EQ,74.0,71.85,73.2,71.1,72.1,72.15,72.23,1465072,1058.26,9154, 395798, 27.02
2023-01-09,WELSPUNIND, EQ,72.15,72.25,73.25,72.0,73.25,72.6,72.72,631046,458.9,5059, 338959, 53.71
2023-01-10,WELSPUNIND, EQ,72.6,73.15,73.85,72.65,73.4,73.1,73.25,426818,312.63,3758, 158832, 37.21
2023-01-11,WELSPUNIND, EQ,73.1,73.7,73.85,73.0, 73.15,73.1,73.25,327360,239.81,3145, 127243, 38.87
2023-01-12,WELSPUNIND, EQ,73.1,73.0,74.95,73.0, 73.20,73.45,74.01,575601,425.97,5279, 155973, 27.10
2023-01-13,WELSPUNIND, EQ,73.45,73.45,73.75,73.0,73.25,73.3,73.28,221544,162.35,1985, 90589, 40.89
2023-01-16,WELSPUNIND, EQ,73.3,73.25,74.1,72.5, 72.50,72.75,73.18,361413,264.47,2595, 183316, 50.72
2023-01-17,WELSPUNIND, EQ,72.75,72.95,73.2,71.5,71.95,71.75,72.32,406839,294.24,3100, 253283, 62.26
2023-01-18,WELSPUNIND, EQ,71.75,72.0,73.45,72.0,72.85,72.85,72.99,494909,361.23,2713, 254552, 51.43
2023-01-19,WELSPUNIND, EQ,72.85,73.0,74.2,71.5, 72.70,72.75,73.43,547258,401.86,3920, 252983, 46.23
2023-01-20,WELSPUNIND, EQ,72.75,72.75,72.95,72.0,72.5,72.3,72.42,194471,140.83,2412, 98467, 50.63
2023-01-23,WELSPUNIND, EQ,72.3,72.6,72.6,71.25,71.75,71.65,71.62,293771,210.41,2809, 151543, 51.59
2023-01-24,WELSPUNIND, EQ,71.65,72.0,72.6,70.55,71.0,70.8,71.15,469718,334.19,7004, 251914, 53.63
2023-01-25,WELSPUNIND, EQ,70.8,71.05,71.9,69.45, 69.90,70.1,70.2,537462,377.3,5042, 252925, 47.06
2023-01-27,WELSPUNIND, EQ,70.1,70.1,70.55,67.45, 68.60,68.4,68.67,559261,384.04,6376, 312478, 55.87
2023-01-30,WELSPUNIND, EQ,68.4,68.2,69.2,66.3, 67.45,67.25,67.83,1547034,1049.31,9949, 401511, 25.95
2023-01-31,WELSPUNIND, EQ,67.25,66.25,68.45,66.25,67.0,67.2,67.6,1085438,733.74,6742, 719572, 66.29
2023-02-01,WELSPUNIND, EQ,67.2,67.55,68.65,63.5, 64.70,64.35,66.17,1861463,1231.74,15184, 1124878, 60.43
2023-02-02,WELSPUNIND, EQ,64.35,64.7,70.75,64.4, 70.15,70.0,69.06,6530702,4509.99,34621, 1920817, 29.41
2023-02-03,WELSPUNIND, EQ,70.0,69.1,70.55,67.75, 69.05,69.35,69.23,2346979,1624.74,11499, 626768, 26.71
2023-02-06,WELSPUNIND, EQ,69.35,69.0,71.5,68.05, 71.15,70.75,69.94,1452832,1016.18,8497, 545073, 37.52
2023-02-07,WELSPUNIND, EQ,70.75,70.85,71.35,69.0, 69.55,69.75,69.71,673610,469.6,4657, 397562, 59.02
2023-02-08,WELSPUNIND, EQ,69.75,69.8,69.8,67.6, 67.95,67.9,68.24,837151,571.26,5356, 554233, 66.20
2023-02-09,WELSPUNIND, EQ,67.9,68.0,68.25,67.0, 67.35,67.1,67.48,489550,330.34,3739, 270106, 55.17
2023-02-10,WELSPUNIND, EQ,67.1,67.1,68.7,67.0, 67.85,68.0,68.1,740680,504.4,3868, 320907, 43.33
2023-02-13,WELSPUNIND, EQ,68.0,68.0,71.5,68.0,70.5,70.75,69.94,1422536,994.87,8344, 567400, 39.89
2023-02-14,WELSPUNIND, EQ,70.75,70.75,70.9,69.5,70.1,69.95,69.98,688401,481.72,4356, 354293, 51.47
2023-02-15,WELSPUNIND, EQ,69.95,69.95,70.95,69.7, 70.30,70.6,70.32,360685,253.63,2629, 155831, 43.20
2023-02-16,WELSPUNIND, EQ,70.6,70.6,71.45,69.65, 69.70,69.95,70.55,528034,372.54,3214, 299292, 56.68
2023-02-17,WELSPUNIND, EQ,69.95,69.85,71.85,69.05, 71.05,71.15,70.92,818292,580.3,5068, 284207, 34.73
2023-02-20,WELSPUNIND, EQ,71.15,71.15,71.85,69.8, 71.00,70.65,70.5,319925,225.54,2452, 132386, 41.38
2023-02-21,WELSPUNIND, EQ,70.65,69.95,71.25,69.95, 70.90,70.75,70.74,305562,216.16,2167, 125529, 41.08
2023-02-22,WELSPUNIND, EQ,70.75,71.4,71.4,68.05, 68.30,68.4,69.1,592719,409.54,5389, 276451, 46.64
2023-02-23,WELSPUNIND, EQ,68.4,68.5,69.3,67.45,69.0,68.55,68.37,434961,297.39,4372, 167706, 38.56
2023-02-24,WELSPUNIND, EQ,68.55,68.55,69.25,68.2, 68.40,68.5,68.61,271659,186.39,2661, 110945, 40.84
2023-02-27,WELSPUNIND, EQ,68.5,68.4,68.4,66.2, 67.25,67.05,67.24,356397,239.64,3624, 197514, 55.42
2023-02-28,WELSPUNIND, EQ,67.05,67.4,67.85,66.0, 66.40,66.45,66.67,620546,413.74,5086, 365201, 58.85
2023-03-01,WELSPUNIND, EQ,66.45,66.55,68.9,66.55, 68.65,68.5,68.21,620459,423.24,3363, 425843, 68.63
2023-03-02,WELSPUNIND, EQ,68.5,68.45,68.95,67.1, 67.60,67.4,68.0,490133,333.27,3498, 310565, 63.36
2023-03-03,WELSPUNIND, EQ,67.4,67.8,68.45,67.4, 68.15,68.0,67.88,405665,275.35,2347, 232134, 57.22
2023-03-06,WELSPUNIND, EQ,68.0,68.05,69.65,68.05, 69.10,69.1,68.88,459818,316.74,3904, 214051, 46.55
2023-03-08,WELSPUNIND, EQ,69.1,69.1,70.3,68.5, 69.90,70.0,69.51,466215,324.05,3981, 272314, 58.41
2023-03-09,WELSPUNIND, EQ,70.0,69.95,70.4,68.2, 68.85,68.35,69.02,827127,570.85,5070, 503964, 60.93
2023-03-10,WELSPUNIND, EQ,68.35,68.25,69.9,68.15, 69.05,69.1,69.08,652248,450.58,4824, 275023, 42.17
2023-03-13,WELSPUNIND, EQ,69.1,69.45,70.05,67.5, 67.70,67.65,68.42,472404,323.21,4268, 263645, 55.81
2023-03-14,WELSPUNIND, EQ,67.65,68.25,68.25,65.95, 67.10,66.9,66.67,685038,456.71,4599, 369021, 53.87
2023-03-15,WELSPUNIND, EQ,66.9,67.25,68.15,66.6, 66.70,66.85,67.39,859496,579.18,3634, 647713, 75.36
2023-03-16,WELSPUNIND, EQ,66.85,66.8,66.95,64.55, 64.90,64.75,65.21,1161155,757.22,7236, 946644, 81.53
2023-03-17,WELSPUNIND, EQ,64.75,65.2,65.75,64.65, 65.35,65.3,65.2,372926,243.16,3450, 188148, 50.45
2023-03-20,WELSPUNIND, EQ,65.3,66.95,66.95,63.5,64.2,63.95,64.15,382962,245.67,4480, 227073, 59.29
2023-03-21,WELSPUNIND, EQ,63.95,64.4,68.8,63.15, 67.00,67.65,67.45,3652344,2463.65,15388, 678901, 18.59
2023-03-22,WELSPUNIND, EQ,67.65,67.25,68.55,66.35, 67.05,66.9,67.22,710524,477.6,5090, 223947, 31.52
