DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,WINDLAS, EQ,250.1,246.35,252.0,244.35, 244.95,244.8,246.87,43833,108.21,1961, 33199, 75.74
2023-01-03,WINDLAS, EQ,244.8,244.85,246.1,243.6, 244.90,244.95,244.83,16935,41.46,609, 11280, 66.61
2023-01-04,WINDLAS, EQ,244.95,245.05,245.3,235.0, 239.40,238.9,239.66,62569,149.95,2319, 39303, 62.82
2023-01-05,WINDLAS, EQ,238.9,238.5,247.55,238.15,244.1,245.15,243.67,24625,60.0,2630, 14232, 57.79
2023-01-06,WINDLAS, EQ,245.15,246.7,246.7,241.25,241.9,242.4,242.6,11455,27.79,710, 6805, 59.41
2023-01-09,WINDLAS, EQ,242.4,242.6,251.5,242.6,248.15,249.0,249.14,31433,78.31,1694, 18675, 59.41
2023-01-10,WINDLAS, EQ,249.0,250.95,250.95,244.85,245.1,245.85,246.68,6528,16.1,475, 4332, 66.36
2023-01-11,WINDLAS, EQ,245.85,246.05,248.8,244.1, 247.00,245.15,245.72,8399,20.64,600, 5058, 60.22
2023-01-12,WINDLAS, EQ,245.15,245.15,247.9,244.1, 247.90,246.3,246.02,8615,21.19,487, 5178, 60.10
2023-01-13,WINDLAS, EQ,246.3,248.7,248.7,242.1,243.0,245.55,245.11,8648,21.2,487, 4852, 56.11
2023-01-16,WINDLAS, EQ,245.55,247.7,247.7,244.05, 245.45,244.8,245.26,5412,13.27,355, 3547, 65.54
2023-01-17,WINDLAS, EQ,244.8,247.0,257.65,243.65,255.5,253.95,253.09,54446,137.8,2767, 30426, 55.88
2023-01-18,WINDLAS, EQ,253.95,255.9,259.5,252.1,256.95,256.85,255.79,30261,77.41,1300, 19350, 63.94
2023-01-19,WINDLAS, EQ,256.85,256.6,258.5,252.85, 252.85,254.1,255.76,14770,37.78,590, 10093, 68.33
2023-01-20,WINDLAS, EQ,254.1,256.6,256.6,251.0,251.2,252.9,254.03,8381,21.29,580, 5345, 63.78
2023-01-23,WINDLAS, EQ,252.9,252.25,252.25,247.0,249.85,248.3,249.11,11286,28.11,690, 7084, 62.77
2023-01-24,WINDLAS, EQ,248.3,250.0,250.0,246.1,248.0,248.7,248.54,12640,31.42,641, 7898, 62.48
2023-01-25,WINDLAS, EQ,248.7,253.85,253.85,244.45, 245.10,245.7,246.05,11693,28.77,651, 7476, 63.94
2023-01-27,WINDLAS, EQ,245.7,246.25,246.5,235.6, 237.60,236.8,239.36,24002,57.45,1761, 15779, 65.74
2023-01-30,WINDLAS, EQ,236.8,241.45,253.95,237.9, 238.20,239.4,243.78,29461,71.82,1060, 19219, 65.24
2023-01-31,WINDLAS, EQ,239.4,240.3,247.7,240.3,247.2,246.5,244.18,10234,24.99,765, 5845, 57.11
2023-02-01,WINDLAS, EQ,246.5,248.5,249.9,237.6, 238.55,238.95,243.47,13706,33.37,664, 9787, 71.41
2023-02-02,WINDLAS, EQ,238.95,238.95,242.45,238.4, 239.50,239.4,239.89,10903,26.16,610, 8412, 77.15
2023-02-03,WINDLAS, EQ,239.4,238.5,243.0,238.5, 240.00,241.45,240.18,18263,43.86,784, 13610, 74.52
2023-02-06,WINDLAS, EQ,241.45,241.45,243.55,240.45, 242.25,241.7,242.05,8048,19.48,505, 5694, 70.75
2023-02-07,WINDLAS, EQ,241.7,244.9,244.9,239.05, 244.50,241.45,240.62,8110,19.51,486, 5016, 61.85
2023-02-08,WINDLAS, EQ,241.45,243.85,243.85,239.0, 241.45,241.6,241.81,15260,36.9,798, 6805, 44.59
2023-02-09,WINDLAS, EQ,241.6,240.0,251.15,238.2, 250.90,249.8,245.83,58218,143.12,2094, 31802, 54.63
2023-02-10,WINDLAS, EQ,249.8,246.0,256.0,245.5, 251.95,250.75,251.16,24322,61.09,1409, 13153, 54.08
2023-02-13,WINDLAS, EQ,250.75,250.75,256.0,247.65,254.0,254.7,252.96,37718,95.41,1696, 22516, 59.70
2023-02-14,WINDLAS, EQ,254.7,256.0,257.0,252.0,257.0,255.65,255.12,29323,74.81,1814, 18381, 62.68
2023-02-15,WINDLAS, EQ,255.65,256.5,259.0,252.0, 257.50,257.3,257.12,35416,91.06,1706, 21003, 59.30
2023-02-16,WINDLAS, EQ,257.3,257.9,258.0,255.0, 256.00,255.9,255.82,37327,95.49,789, 25559, 68.47
2023-02-17,WINDLAS, EQ,255.9,257.4,258.05,254.05, 255.25,255.65,255.35,13695,34.97,754, 8628, 63.00
2023-02-20,WINDLAS, EQ,255.65,256.0,257.4,252.2, 253.00,255.4,255.72,66652,170.44,1534, 54153, 81.25
2023-02-21,WINDLAS, EQ,255.4,257.2,257.2,248.85, 251.40,250.15,251.41,21360,53.7,999, 12997, 60.85
2023-02-22,WINDLAS, EQ,250.15,250.3,252.85,247.5, 248.50,248.0,248.79,12243,30.46,707, 7340, 59.95
2023-02-23,WINDLAS, EQ,248.0,250.9,251.0,246.1,248.3,248.7,248.34,8259,20.51,663, 5043, 61.06
2023-02-24,WINDLAS, EQ,248.7,248.3,258.35,242.9, 255.50,256.1,251.24,29095,73.1,1564, 13656, 46.94
2023-02-27,WINDLAS, EQ,256.1,255.4,263.3,252.0, 259.00,258.2,258.47,51806,133.91,2459, 27320, 52.74
2023-02-28,WINDLAS, EQ,258.2,255.2,259.4,254.0, 255.00,255.15,255.14,17347,44.26,910, 9598, 55.33
2023-03-01,WINDLAS, EQ,255.15,258.15,258.15,243.2, 244.95,246.9,252.41,162594,410.4,6851, 104435, 64.23
2023-03-02,WINDLAS, EQ,246.9,246.5,251.7,244.45, 250.05,250.3,249.32,25890,64.55,1277, 15390, 59.44
2023-03-03,WINDLAS, EQ,250.3,247.1,252.2,247.1, 250.15,251.05,250.83,12991,32.59,715, 7628, 58.72
2023-03-06,WINDLAS, EQ,251.05,248.15,253.55,248.15, 252.15,252.25,251.48,12364,31.09,679, 7586, 61.36
2023-03-08,WINDLAS, EQ,252.25,249.3,253.7,248.0, 248.10,250.6,251.55,18643,46.9,974, 12081, 64.80
2023-03-09,WINDLAS, EQ,250.6,249.6,253.4,248.45, 253.40,251.55,251.41,51391,129.2,925, 41447, 80.65
2023-03-10,WINDLAS, EQ,251.55,252.55,254.15,248.2, 254.00,252.5,251.28,8451,21.24,573, 5763, 68.19
2023-03-13,WINDLAS, EQ,252.5,249.0,254.45,249.0, 251.65,250.55,250.72,21188,53.12,735, 13682, 64.57
2023-03-14,WINDLAS, EQ,250.55,250.55,250.65,245.0, 247.50,246.3,248.51,16950,42.12,768, 9526, 56.20
2023-03-15,WINDLAS, EQ,246.3,246.3,247.6,244.0, 244.00,244.8,245.22,15075,36.97,534, 11769, 78.07
2023-03-16,WINDLAS, EQ,244.8,243.45,243.55,236.8, 241.80,241.7,240.37,21796,52.39,1031, 13203, 60.58
2023-03-17,WINDLAS, EQ,241.7,243.7,243.7,239.0, 239.25,239.95,241.43,10372,25.04,618, 5522, 53.24
2023-03-20,WINDLAS, EQ,239.95,242.25,243.5,237.85,240.0,240.85,239.99,13791,33.1,700, 7842, 56.86
2023-03-21,WINDLAS, EQ,240.85,242.0,242.0,238.9, 241.10,241.45,240.94,11280,27.18,673, 7395, 65.56
2023-03-22,WINDLAS, EQ,241.45,240.95,243.0,239.25, 241.00,241.15,240.43,43812,105.34,1060, 34222, 78.11
2023-03-23,WINDLAS, EQ,241.15,241.05,241.75,239.35, 241.00,240.55,240.47,16905,40.65,968, 9900, 58.56
2023-03-24,WINDLAS, EQ,240.55,239.0,241.5,233.0, 236.15,239.0,239.56,61959,148.43,1526, 48353, 78.04
2023-03-27,WINDLAS, EQ,239.0,238.95,242.15,235.6, 235.90,236.6,238.77,28781,68.72,891, 20483, 71.17
2023-03-28,WINDLAS, EQ,236.6,235.15,236.7,221.0, 222.05,222.6,226.22,30433,68.85,2094, 19776, 64.98
2023-03-29,WINDLAS, EQ,222.6,222.05,226.0,220.55, 225.05,224.75,224.56,30240,67.91,1457, 21257, 70.29
2023-03-31,WINDLAS, EQ,224.75,224.0,227.65,224.0, 225.00,225.3,226.22,21430,48.48,1154, 14879, 69.43
2023-04-03,WINDLAS, EQ,225.3,228.65,235.0,226.1, 233.25,232.95,231.62,13927,32.26,949, 8666, 62.22
2023-04-05,WINDLAS, EQ,232.95,230.1,238.2,230.1, 237.00,236.8,234.99,11208,26.34,641, 7394, 65.97
2023-04-06,WINDLAS, EQ,236.8,240.0,247.9,236.45, 247.00,246.15,242.54,26805,65.01,1707, 16917, 63.11
2023-04-10,WINDLAS, EQ,246.15,242.1,249.5,241.5, 248.00,248.5,245.89,17372,42.72,1778, 9399, 54.10
2023-04-11,WINDLAS, EQ,248.5,250.0,253.0,245.05, 251.00,250.45,250.22,15869,39.71,1337, 8815, 55.55
2023-04-12,WINDLAS, EQ,250.45,248.7,251.2,246.0, 247.10,247.65,248.17,18318,45.46,1295, 11952, 65.25
2023-04-13,WINDLAS, EQ,247.65,250.5,251.35,245.05, 249.00,248.25,247.9,14844,36.8,1089, 9413, 63.41
2023-04-17,WINDLAS, EQ,248.25,255.0,255.0,244.15, 250.50,250.9,249.29,14942,37.25,1505, 8557, 57.27
2023-04-18,WINDLAS, EQ,250.9,250.9,252.0,247.6, 250.25,250.2,249.76,8531,21.31,708, 5180, 60.72
2023-04-19,WINDLAS, EQ,250.2,249.5,252.3,249.05, 250.00,250.25,250.46,8819,22.09,693, 6672, 75.65
2023-04-20,WINDLAS, EQ,250.25,251.7,253.05,246.05, 251.20,250.8,250.73,16434,41.2,1468, 11899, 72.40
2023-04-21,WINDLAS, EQ,250.8,254.0,254.0,248.85, 251.00,251.05,251.18,15521,38.99,822, 10436, 67.24
2023-04-24,WINDLAS, EQ,251.05,251.1,254.1,248.75, 251.00,250.95,250.55,23216,58.17,1052, 16993, 73.20
2023-04-25,WINDLAS, EQ,250.95,247.75,252.65,247.75,251.0,250.9,250.81,11605,29.11,712, 8535, 73.55
2023-04-26,WINDLAS, EQ,250.9,250.9,254.7,249.9, 254.70,250.6,250.7,23835,59.75,683, 20418, 85.66
2023-04-27,WINDLAS, EQ,250.6,250.6,253.7,249.25, 250.60,251.2,250.56,41226,103.3,1192, 35709, 86.62
