DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,WORTH, EQ,110.8,115.8,115.8,111.0, 113.50,113.8,113.59,14158,16.08,425, 10191, 71.98
2023-01-03,WORTH, EQ,113.8,115.85,115.85,111.9, 112.80,112.15,113.01,6915,7.81,212, 5028, 72.71
2023-01-04,WORTH, EQ,112.15,111.25,112.55,110.0, 110.00,110.4,111.19,3719,4.14,170, 2836, 76.26
2023-01-05,WORTH, EQ,110.4,114.65,115.0,110.55,111.5,111.6,112.77,6115,6.9,174, 3158, 51.64
2023-01-06,WORTH, EQ,111.6,110.3,111.1,107.55,108.8,109.0,108.91,16328,17.78,316, 9928, 60.80
2023-01-09,WORTH, EQ,109.0,112.75,112.75,108.05,108.7,108.8,109.7,4888,5.36,193, 2721, 55.67
2023-01-10,WORTH, EQ,108.8,111.95,111.95,108.7,109.3,109.0,109.14,2486,2.71,93, 1945, 78.24
2023-01-11,WORTH, EQ,109.0,108.7,111.0,107.2, 108.90,109.15,109.05,7109,7.75,207, 4577, 64.38
2023-01-12,WORTH, EQ,109.15,108.15,109.15,106.0, 108.45,107.5,107.53,6323,6.8,221, 4391, 69.44
2023-01-13,WORTH, EQ,107.5,111.0,111.0,107.2,108.0,107.9,108.37,8142,8.82,300, 3410, 41.88
2023-01-16,WORTH, EQ,107.9,108.45,111.0,108.3, 108.80,108.85,109.06,4567,4.98,108, 2701, 59.14
2023-01-17,WORTH, EQ,108.85,109.25,118.0,107.4,110.55,111.85,114.18,82449,94.14,1118, 18380, 22.29
2023-01-18,WORTH, EQ,111.85,111.8,112.75,110.3,110.85,111.05,111.29,8173,9.1,202, 4384, 53.64
2023-01-19,WORTH, EQ,111.05,110.5,110.5,109.15, 109.20,109.4,109.76,7115,7.81,154, 5059, 71.10
2023-01-20,WORTH, EQ,109.4,108.55,109.6,107.1,108.0,108.3,108.28,9863,10.68,237, 7232, 73.32
2023-01-23,WORTH, EQ,108.3,108.3,109.6,107.55,107.65,107.7,108.82,17166,18.68,171, 4924, 28.68
2023-01-24,WORTH, EQ,107.7,108.0,109.3,106.25,106.95,107.1,108.28,5753,6.23,94, 4245, 73.79
2023-01-25,WORTH, EQ,107.1,106.1,107.95,104.6, 105.80,105.3,105.79,11080,11.72,372, 7528, 67.94
2023-01-27,WORTH, EQ,105.3,105.35,105.65,99.5, 100.65,100.6,101.07,28272,28.57,520, 20781, 73.50
2023-01-30,WORTH, EQ,100.6,104.85,104.85,99.8, 102.00,101.1,102.12,13789,14.08,358, 9616, 69.74
2023-01-31,WORTH, EQ,101.1,103.2,107.8,100.0,105.25,105.8,102.59,5575,5.72,206, 3443, 61.76
2023-02-01,WORTH, EQ,105.8,105.85,106.9,101.0, 105.00,101.6,104.35,3825,3.99,178, 2584, 67.56
2023-02-02,WORTH, EQ,101.6,105.0,105.0,101.0, 101.00,101.9,102.49,10333,10.59,222, 8146, 78.83
2023-02-03,WORTH, EQ,101.9,105.0,105.0,97.5, 102.45,101.75,100.68,15887,15.99,372, 9994, 62.91
2023-02-06,WORTH, EQ,101.75,103.9,103.9,101.25, 103.00,102.7,102.42,3400,3.48,120, 2304, 67.76
2023-02-07,WORTH, EQ,102.7,102.6,103.9,100.15, 103.50,102.45,102.73,4698,4.83,178, 2954, 62.88
2023-02-08,WORTH, EQ,102.45,103.9,106.6,100.0, 102.90,103.15,102.6,18553,19.04,519, 8480, 45.71
2023-02-09,WORTH, EQ,103.15,105.4,105.4,101.9, 102.35,102.5,102.79,3207,3.3,117, 1531, 47.74
2023-02-10,WORTH, EQ,102.5,101.0,104.0,101.0, 101.50,102.15,103.01,5288,5.45,164, 3057, 57.81
2023-02-13,WORTH, EQ,102.15,104.2,105.5,102.55,103.85,103.15,103.7,3823,3.96,128, 2777, 72.64
2023-02-14,WORTH, EQ,103.15,104.9,104.9,102.25,102.25,102.55,102.72,2633,2.7,74, 1968, 74.74
2023-02-15,WORTH, EQ,102.55,101.3,103.25,101.3, 102.00,102.1,102.48,4121,4.22,129, 2602, 63.14
2023-02-16,WORTH, EQ,102.1,104.6,104.6,101.0, 103.00,103.0,102.68,9377,9.63,145, 6702, 71.47
2023-02-17,WORTH, EQ,103.0,103.0,103.9,102.5, 102.55,103.3,102.77,2101,2.16,125, 1455, 69.25
2023-02-20,WORTH, EQ,103.3,103.0,104.25,101.45, 102.60,102.0,102.4,8663,8.87,181, 6023, 69.53
2023-02-21,WORTH, EQ,102.0,102.55,103.75,102.05, 103.70,103.45,102.85,2918,3.0,87, 1677, 57.47
2023-02-22,WORTH, EQ,103.45,101.1,102.55,100.1, 102.55,101.7,100.99,3829,3.87,161, 2613, 68.24
2023-02-23,WORTH, EQ,101.7,102.95,103.45,100.0,101.7,101.15,101.51,15308,15.54,728, 10265, 67.06
