DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-03-14,WSI, EQ,17.4,18.25,18.25,18.25, 18.25,18.25,18.25,1090,0.2,9, 1090, 100.00
2023-03-15,WSI, EQ,18.25,19.15,19.15,19.15, 19.15,19.15,19.15,1310,0.25,5, 1310, 100.00
2023-03-16,WSI, EQ,19.15,20.1,20.1,20.1, 20.10,20.1,20.1,175,0.04,2, 175, 100.00
2023-03-17,WSI, EQ,20.1,21.1,21.1,21.1, 21.10,21.1,21.1,2454,0.52,7, 2454, 100.00
2023-03-20,WSI, EQ,21.1,22.15,22.15,22.15,22.15,22.15,22.15,3165,0.7,6, 3165, 100.00
2023-03-21,WSI, EQ,22.15,23.25,23.25,23.25, 23.25,23.25,23.25,500,0.12,3, 500, 100.00
2023-03-22,WSI, EQ,23.25,24.4,24.4,24.4, 24.40,24.4,24.4,311,0.08,7, 311, 100.00
2023-03-23,WSI, EQ,24.4,25.6,25.6,25.6, 25.60,25.6,25.6,250,0.06,2, 250, 100.00
2023-03-24,WSI, EQ,25.6,26.85,26.85,26.85, 26.85,26.85,26.85,729,0.2,8, 729, 100.00
2023-03-27,WSI, EQ,26.85,28.15,28.15,28.15, 28.15,28.15,28.15,446,0.13,7, 446, 100.00
2023-03-28,WSI, EQ,28.15,29.55,29.55,29.55, 29.55,29.55,29.55,3526,1.04,10, 3526, 100.00
2023-03-29,WSI, EQ,29.55,31.0,31.0,31.0, 31.00,31.0,31.0,371,0.12,3, 371, 100.00
2023-03-31,WSI, EQ,31.0,32.55,32.55,32.55, 32.55,32.55,32.55,3020,0.98,8, 3020, 100.00
2023-04-03,WSI, EQ,32.55,34.15,34.15,34.15, 34.15,34.15,34.15,550,0.19,6, 550, 100.00
2023-04-05,WSI, EQ,34.15,35.85,35.85,35.85, 35.85,35.85,35.85,1330,0.48,11, 1330, 100.00
2023-04-06,WSI, EQ,35.85,37.6,37.6,37.6, 37.60,37.6,37.6,3812,1.43,9, 3812, 100.00
2023-04-10,WSI, EQ,37.6,39.45,39.45,39.45, 39.45,39.45,39.45,3185,1.26,14, 3185, 100.00
2023-04-11,WSI, EQ,39.45,41.4,41.4,41.4, 41.40,41.4,41.4,2830,1.17,10, 2830, 100.00
2023-04-12,WSI, EQ,41.4,43.45,43.45,43.45, 43.45,43.45,43.45,1615,0.7,12, 1615, 100.00
2023-04-13,WSI, EQ,43.45,45.6,45.6,45.6, 45.60,45.6,45.6,1165,0.53,14, 1165, 100.00
2023-04-17,WSI, EQ,45.6,47.85,47.85,47.85, 47.85,47.85,47.85,1904,0.91,14, 1904, 100.00
2023-04-18,WSI, EQ,47.85,50.2,50.2,50.2, 50.20,50.2,50.2,3031,1.52,15, 3031, 100.00
2023-04-19,WSI, EQ,50.2,52.7,52.7,52.7, 52.70,52.7,52.7,869,0.46,10, 869, 100.00
2023-04-20,WSI, EQ,52.7,55.3,55.3,55.3, 55.30,55.3,55.3,2942,1.63,20, 2942, 100.00
2023-04-21,WSI, EQ,55.3,58.05,58.05,58.05, 58.05,58.05,58.05,2821,1.64,22, 2821, 100.00
2023-04-24,WSI, EQ,58.05,60.95,60.95,60.95, 60.95,60.95,60.95,1758,1.07,17, 1758, 100.00
2023-04-25,WSI, EQ,60.95,63.95,63.95,63.95,63.95,63.95,63.95,3528,2.26,17, 3528, 100.00
2023-04-26,WSI, EQ,63.95,67.1,67.1,67.1, 67.10,67.1,67.1,4739,3.18,18, 4739, 100.00
2023-04-27,WSI, EQ,67.1,70.45,70.45,70.45, 70.45,70.45,70.45,3982,2.81,12, 3982, 100.00
2023-04-28,WSI, EQ,70.45,73.95,73.95,73.95, 73.95,73.95,73.95,24336,18.0,37, 24336, 100.00
2023-05-02,WSI, EQ,73.95,77.6,77.6,70.55, 77.60,77.6,76.68,90646,69.51,829, 53617, 59.15
2023-05-03,WSI, EQ,77.6,81.45,81.45,81.45,81.45,81.45,81.45,9329,7.6,34, 9329, 100.00
2023-05-04,WSI, EQ,81.45,85.5,85.5,85.5, 85.50,85.5,85.5,1676,1.43,14, 1676, 100.00
2023-05-05,WSI, EQ,85.5,89.75,89.75,81.25, 89.75,89.75,88.92,406953,361.87,2270, 179762, 44.17
