DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,YUKEN, EQ,517.35,509.65,561.0,503.05, 542.55,550.9,544.86,34537,188.18,1701, 24252, 70.22
2023-01-03,YUKEN, EQ,550.9,569.0,569.0,531.2, 541.90,541.3,547.48,10158,55.61,1044, 5826, 57.35
2023-01-04,YUKEN, EQ,541.3,540.5,540.5,522.0, 527.80,525.7,529.38,2812,14.89,397, 1615, 57.43
2023-01-05,YUKEN, EQ,525.7,518.05,534.95,514.45,525.1,527.05,524.25,5357,28.08,732, 2521, 47.06
2023-01-06,YUKEN, EQ,527.05,530.0,540.9,525.1,530.5,533.25,530.26,2568,13.62,228, 1941, 75.58
2023-01-09,YUKEN, EQ,533.25,539.0,539.0,512.2,514.0,514.8,521.89,2504,13.07,251, 1476, 58.95
2023-01-10,YUKEN, EQ,514.8,515.0,527.7,512.35,521.3,521.5,521.01,3206,16.7,248, 2178, 67.94
2023-01-11,YUKEN, EQ,521.5,524.95,546.95,523.05, 528.00,533.45,535.51,12215,65.41,693, 7786, 63.74
2023-01-12,YUKEN, EQ,533.45,539.85,540.0,531.5, 533.25,533.35,535.66,1826,9.78,116, 1507, 82.53
2023-01-13,YUKEN, EQ,533.35,527.8,538.0,527.3,536.15,535.35,531.81,2316,12.32,370, 948, 40.93
2023-01-16,YUKEN, EQ,535.35,534.75,544.95,531.25, 531.25,532.0,533.75,2585,13.8,231, 1852, 71.64
2023-01-17,YUKEN, EQ,532.0,531.5,534.4,493.65,530.0,531.05,516.31,11000,56.79,873, 4721, 42.92
2023-01-18,YUKEN, EQ,531.05,535.0,535.0,525.0,528.0,529.65,528.37,1509,7.97,70, 959, 63.55
2023-01-19,YUKEN, EQ,529.65,524.75,546.8,524.7, 544.75,541.8,538.06,4647,25.0,340, 3840, 82.63
2023-01-20,YUKEN, EQ,541.8,531.05,548.8,530.0,548.8,540.3,534.17,1780,9.51,160, 573, 32.19
2023-01-23,YUKEN, EQ,540.3,536.1,545.55,532.5,535.4,537.4,538.81,2200,11.85,324, 1632, 74.18
2023-01-24,YUKEN, EQ,537.4,526.0,547.95,526.0,547.95,538.2,535.75,4161,22.29,522, 3052, 73.35
2023-01-25,YUKEN, EQ,538.2,532.3,539.0,532.3, 539.00,537.1,535.04,2562,13.71,95, 2449, 95.59
2023-01-27,YUKEN, EQ,537.1,539.0,555.8,535.0, 540.00,544.3,542.0,9056,49.08,495, 7716, 85.20
2023-01-30,YUKEN, EQ,544.3,537.25,544.75,535.0, 541.80,540.8,539.53,1833,9.89,64, 1737, 94.76
2023-01-31,YUKEN, EQ,540.8,537.65,585.0,525.0,566.0,572.1,546.06,66481,363.02,561, 63921, 96.15
2023-02-01,YUKEN, EQ,572.1,570.0,570.0,543.0, 543.15,544.65,553.51,4068,22.52,392, 2856, 70.21
