DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,ZENITHSTL, EQ,5.35,5.6,5.7,5.35, 5.60,5.55,5.55,417066,23.14,841, 298527, 71.58
2023-01-03,ZENITHSTL, EQ,5.55,5.65,5.7,5.55, 5.60,5.55,5.62,296007,16.64,704, 223362, 75.46
2023-01-04,ZENITHSTL, EQ,5.55,5.8,5.8,5.55, 5.65,5.7,5.68,345112,19.6,661, 241859, 70.08
2023-01-05,ZENITHSTL, EQ,5.7,5.8,5.8,5.6,5.8,5.75,5.69,299869,17.08,715, 206675, 68.92
2023-01-06,ZENITHSTL, EQ,5.75,5.75,5.8,5.6,5.7,5.7,5.72,380576,21.77,572, 221647, 58.24
2023-01-09,ZENITHSTL, EQ,5.7,5.85,5.85,5.6,5.7,5.7,5.75,188845,10.85,494, 110059, 58.28
2023-01-10,ZENITHSTL, EQ,5.7,5.85,5.85,4.6,5.35,5.4,5.33,382731,20.4,782, 181912, 47.53
2023-01-11,ZENITHSTL, EQ,5.4,5.25,5.55,5.25, 5.45,5.45,5.44,76126,4.14,385, 56793, 74.60
2023-01-12,ZENITHSTL, EQ,5.45,5.75,5.75,5.25, 5.55,5.5,5.48,219583,12.04,476, 124278, 56.60
2023-01-13,ZENITHSTL, EQ,5.5,5.65,5.65,5.35,5.6,5.55,5.54,92087,5.1,329, 59260, 64.35
2023-01-16,ZENITHSTL, EQ,5.55,5.8,5.8,5.5, 5.50,5.55,5.58,193353,10.79,497, 88509, 45.78
2023-01-17,ZENITHSTL, EQ,5.55,5.7,5.7,5.35,5.6,5.55,5.51,226707,12.49,409, 98984, 43.66
2023-01-18,ZENITHSTL, EQ,5.55,5.35,5.6,5.35,5.45,5.45,5.47,145534,7.96,364, 94556, 64.97
2023-01-19,ZENITHSTL, EQ,5.45,5.45,5.5,5.35, 5.40,5.4,5.42,125190,6.79,377, 85335, 68.16
2023-01-20,ZENITHSTL, EQ,5.4,5.35,5.5,5.35,5.35,5.4,5.41,166521,9.01,379, 92087, 55.30
2023-01-23,ZENITHSTL, EQ,5.4,5.45,5.45,5.3,5.35,5.4,5.37,90679,4.87,362, 50068, 55.21
2023-01-24,ZENITHSTL, EQ,5.4,5.3,5.45,5.3,5.35,5.3,5.35,82872,4.43,340, 64006, 77.23
2023-01-25,ZENITHSTL, EQ,5.3,5.45,5.45,4.95, 5.00,5.05,5.08,435156,22.09,660, 219125, 50.36
2023-01-27,ZENITHSTL, EQ,5.05,5.15,5.15,4.85, 5.00,4.95,4.93,234352,11.56,636, 167624, 71.53
2023-01-30,ZENITHSTL, EQ,4.95,5.0,5.1,4.85, 5.10,5.1,5.02,200142,10.04,489, 106977, 53.45
2023-01-31,ZENITHSTL, EQ,5.1,5.2,5.2,5.1,5.15,5.1,5.13,129277,6.63,366, 80732, 62.45
2023-02-01,ZENITHSTL, EQ,5.1,5.2,5.2,4.95, 4.95,5.0,5.09,106801,5.44,422, 73347, 68.68
2023-02-02,ZENITHSTL, EQ,5.0,5.1,5.1,4.95, 5.00,5.05,5.04,96065,4.84,291, 59611, 62.05
2023-02-03,ZENITHSTL, EQ,5.05,5.1,5.1,4.9, 4.95,4.95,4.98,130513,6.5,386, 77468, 59.36
2023-02-06,ZENITHSTL, EQ,4.95,5.05,5.05,4.85, 4.95,4.95,4.94,142766,7.06,425, 84830, 59.42
2023-02-07,ZENITHSTL, EQ,4.95,5.05,5.05,4.8, 4.90,4.85,4.89,115482,5.64,391, 72320, 62.62
2023-02-08,ZENITHSTL, EQ,4.85,4.95,5.0,4.7, 4.85,4.8,4.78,205365,9.82,601, 139535, 67.94
2023-02-09,ZENITHSTL, EQ,4.8,4.9,4.9,4.65, 4.75,4.75,4.73,207569,9.83,523, 152177, 73.31
2023-02-10,ZENITHSTL, EQ,4.75,4.75,4.75,4.25, 4.45,4.45,4.49,567475,25.46,1041, 380576, 67.06
2023-02-13,ZENITHSTL, EQ,4.45,4.35,5.25,4.35,5.15,5.1,4.94,1250043,61.8,1537, 392288, 31.38
2023-02-14,ZENITHSTL, EQ,5.1,5.25,5.7,5.2,5.4,5.35,5.43,1109080,60.24,1656, 466876, 42.10
2023-02-15,ZENITHSTL, EQ,5.35,5.5,5.5,4.7, 4.90,4.8,4.9,989898,48.48,1237, 555834, 56.15
2023-02-16,ZENITHSTL, EQ,4.8,5.0,5.0,4.65, 4.80,4.75,4.73,619873,29.34,711, 542525, 87.52
2023-02-17,ZENITHSTL, EQ,4.75,4.6,4.75,4.6, 4.75,4.7,4.7,181810,8.55,458, 141269, 77.70
2023-02-20,ZENITHSTL, EQ,4.7,4.75,4.75,4.6, 4.70,4.65,4.66,152587,7.11,346, 110826, 72.63
2023-02-21,ZENITHSTL, EQ,4.65,4.7,4.7,4.55, 4.65,4.65,4.65,114525,5.32,274, 68543, 59.85
2023-02-22,ZENITHSTL, EQ,4.65,4.65,4.65,4.45, 4.60,4.55,4.55,221193,10.07,491, 171207, 77.40
