DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,ZENTEC, EQ,184.25,189.95,189.95,184.55, 188.50,187.25,186.6,98722,184.21,3072, 46087, 46.68
2023-01-03,ZENTEC, EQ,187.25,188.0,190.0,186.3, 187.60,187.95,187.98,115136,216.43,3150, 61946, 53.80
2023-01-04,ZENTEC, EQ,187.95,187.9,205.0,186.0, 197.40,198.2,198.64,1725838,3428.25,23903, 309014, 17.91
2023-01-05,ZENTEC, EQ,198.2,198.0,202.9,196.05,198.65,199.35,199.53,645346,1287.65,12939, 249799, 38.71
2023-01-06,ZENTEC, EQ,199.35,198.95,199.55,193.25,193.8,194.5,195.88,168397,329.86,5660, 79462, 47.19
2023-01-09,ZENTEC, EQ,194.5,195.65,199.2,194.05,195.4,194.85,196.61,135894,267.18,4203, 47033, 34.61
2023-01-10,ZENTEC, EQ,194.85,192.55,196.0,192.5,193.7,193.35,193.73,93796,181.71,3033, 45446, 48.45
2023-01-11,ZENTEC, EQ,193.35,193.65,196.8,192.45, 193.85,193.2,194.44,145595,283.09,4202, 65402, 44.92
2023-01-12,ZENTEC, EQ,193.2,192.2,194.2,191.0, 191.50,191.75,191.97,86415,165.89,2651, 44990, 52.06
2023-01-13,ZENTEC, EQ,191.75,193.0,194.65,190.8,192.25,191.9,192.37,93195,179.28,3080, 44432, 47.68
2023-01-16,ZENTEC, EQ,191.9,192.75,198.9,192.0, 195.95,195.75,195.67,169326,331.32,4420, 70245, 41.49
2023-01-17,ZENTEC, EQ,195.75,196.55,196.55,192.05,192.8,193.45,194.07,87791,170.38,3157, 47880, 54.54
2023-01-18,ZENTEC, EQ,193.45,193.45,195.4,192.15,194.6,193.85,194.05,69201,134.28,2552, 32920, 47.57
2023-01-19,ZENTEC, EQ,193.85,192.5,196.0,192.5, 193.80,194.2,194.68,109638,213.44,3409, 56334, 51.38
2023-01-20,ZENTEC, EQ,194.2,193.05,195.2,192.25,193.5,192.65,193.6,65443,126.7,1845, 38707, 59.15
2023-01-23,ZENTEC, EQ,192.65,193.55,195.2,191.6,192.9,192.2,193.06,70324,135.77,2634, 40102, 57.02
2023-01-24,ZENTEC, EQ,192.2,193.0,198.0,193.0,195.45,195.8,195.47,175312,342.68,4657, 73888, 42.15
2023-01-25,ZENTEC, EQ,195.8,195.45,198.7,192.0, 195.80,195.6,195.2,148002,288.9,4322, 79239, 53.54
2023-01-27,ZENTEC, EQ,195.6,197.7,199.45,188.25, 192.00,192.1,193.14,282776,546.16,7069, 115872, 40.98
2023-01-30,ZENTEC, EQ,192.1,201.2,205.0,196.4, 201.30,200.1,199.94,1070725,2140.8,18886, 317906, 29.69
2023-01-31,ZENTEC, EQ,200.1,201.2,203.7,199.1,201.3,201.55,201.55,326047,657.15,7437, 157476, 48.30
2023-02-01,ZENTEC, EQ,201.55,204.5,211.5,191.0, 193.50,193.05,204.3,2054238,4196.76,35696, 601742, 29.29
2023-02-02,ZENTEC, EQ,193.05,193.4,201.5,193.1, 196.50,197.0,197.54,297062,586.83,7264, 116260, 39.14
2023-02-03,ZENTEC, EQ,197.0,198.9,202.0,195.2, 198.95,199.1,199.09,370622,737.86,7345, 180200, 48.62
2023-02-06,ZENTEC, EQ,199.1,199.95,200.5,197.15, 197.25,197.85,198.31,255934,507.55,4946, 186317, 72.80
2023-02-07,ZENTEC, EQ,197.85,198.0,204.9,197.85, 201.25,201.3,201.66,365219,736.48,7776, 194178, 53.17
2023-02-08,ZENTEC, EQ,201.3,202.7,207.9,200.1, 205.00,204.65,204.43,524179,1071.57,8685, 316621, 60.40
2023-02-09,ZENTEC, EQ,204.65,205.95,206.0,203.0, 205.00,205.15,204.21,140695,287.31,3293, 92098, 65.46
2023-02-10,ZENTEC, EQ,205.15,203.0,215.9,203.0, 212.65,212.85,212.46,1331167,2828.17,17796, 704073, 52.89
2023-02-13,ZENTEC, EQ,212.85,213.8,215.45,208.0,211.0,210.7,210.32,364973,767.61,7385, 187809, 51.46
2023-02-14,ZENTEC, EQ,210.7,211.75,215.0,209.2,212.8,212.7,211.94,388996,824.45,6445, 223365, 57.42
